sibid	childid	round	theta_eap	ppvt_score	yc	country	group	language
3	ET010002	3	-1.80178999900818	-1.06114315986633	1	1	4	1
3	ET010002	4	.493010014295578	2.62685489654541	1	1	5	1
3	ET010002	5	.886229991912842	3.25880312919617	1	1	6	1
5	ET010005	3	.641194999217987	2.86500453948975	1	1	4	1
9	ET010006	3	-.757842004299164	.61659699678421	1	1	4	1
9	ET010006	4	.945622980594635	3.35425424575806	1	1	5	1
7	ET010009	3	1.92593002319336	4.92971611022949	1	1	4	1
3	ET010010	3	-2.38539004325867	-1.9990531206131	1	1	4	1
3	ET010010	4	.376515001058578	2.4396345615387	1	1	5	1
3	ET010010	5	1.68412005901337	4.54110097885132	1	1	6	1
15	ET010011	3	.390900999307632	2.46275448799133	1	1	4	1
15	ET010011	4	.956498026847839	3.3717315196991	1	1	5	1
15	ET010011	5	1.23785996437073	3.82391142845154	1	1	6	1
17	ET010012	3	-.326732009649277	1.30943858623505	1	1	4	1
17	ET010012	4	.516493022441864	2.66459465026855	1	1	5	1
17	ET010012	5	2.36601996421814	5.63698959350586	1	1	6	1
15	ET010015	3	-.110238999128342	1.6573668718338	1	1	4	1
15	ET010015	4	.955033004283905	3.36937713623047	1	1	5	1
15	ET010015	5	1.33643996715546	3.98234033584595	1	1	6	1
15	ET010016	3	.81633597612381	3.14647555351257	1	1	4	1
15	ET010016	4	1.5248099565506	4.285071849823	1	1	5	1
15	ET010016	5	1.53781998157501	4.30598020553589	1	1	6	1
15	ET010017	3	1.16535997390747	3.70739579200745	1	1	4	1
15	ET010017	4	2.31346988677979	5.55253601074219	1	1	5	1
15	ET010017	5	1.85804998874664	4.82062530517578	1	1	6	1
5	ET010021	3	-.898719012737274	.390192031860352	1	1	4	1
5	ET010021	4	1.23416996002197	3.81798124313354	1	1	5	1
5	ET010021	5	1.308109998703	3.9368109703064	1	1	6	1
16	ET010025	3	-1.59784996509552	-.733388900756836	1	1	4	1
16	ET010025	4	.182897001504898	2.12846899032593	1	1	5	1
16	ET010025	5	1.50056004524231	4.2460994720459	1	1	6	1
16	ET010030	4	-.167555004358292	1.56525373458862	1	1	5	1
16	ET010030	5	.893984019756317	3.27126455307007	1	1	6	1
15	ET010031	3	1.08924996852875	3.58507871627808	1	1	4	1
15	ET010031	4	1.31857001781464	3.95362138748169	1	1	5	1
15	ET010031	5	-.0275277998298407	1.79029297828674	1	1	6	1
5	ET010035	3	1.00795996189117	3.45443654060364	1	1	4	1
15	ET010036	3	1.12264001369476	3.63874006271362	1	1	4	1
15	ET010036	4	.89630401134491	3.27499318122864	1	1	5	1
15	ET010036	5	1.92825996875763	4.93346071243286	1	1	6	1
15	ET010038	3	-.446597009897232	1.11680221557617	1	1	4	1
15	ET010038	4	.298684000968933	2.31455135345459	1	1	5	1
15	ET010038	5	1.26093995571136	3.86100339889526	1	1	6	1
16	ET010040	3	-.340207010507584	1.28778278827667	1	1	4	1
16	ET010040	4	1.4266300201416	4.12728595733643	1	1	5	1
16	ET010040	5	1.16530001163483	3.70729947090149	1	1	6	1
15	ET010041	3	.921938002109528	3.31618976593018	1	1	4	1
15	ET010041	4	.878006994724274	3.24558782577515	1	1	5	1
15	ET010041	5	1.48548996448517	4.2218804359436	1	1	6	1
16	ET010043	3	-.876709997653961	.425562977790833	1	1	4	1
16	ET010043	4	.511367976665497	2.65635824203491	1	1	5	1
16	ET010043	5	1.03263998031616	3.49410009384155	1	1	6	1
7	ET010044	3	.989920020103455	3.42544436454773	1	1	4	1
5	ET010045	3	-1.61997997760773	-.768954336643219	1	1	4	1
5	ET010045	4	.170420005917549	2.10841703414917	1	1	5	1
5	ET010045	5	.673187017440796	2.91641926765442	1	1	6	1
15	ET010046	3	.681940019130707	2.93048644065857	1	1	4	1
15	ET010046	4	2.21188998222351	5.38928556442261	1	1	5	1
15	ET010046	5	1.45214998722076	4.16829919815063	1	1	6	1
5	ET010048	4	-.417966991662979	1.16281390190125	1	1	5	1
4	ET010049	3	.380335986614227	2.44577527046204	1	1	4	1
6	ET010051	3	.86512702703476	3.22488832473755	1	1	4	1
5	ET010052	3	-.786472022533417	.570585370063782	1	1	4	1
5	ET010052	4	.614008009433746	2.82131218910217	1	1	5	1
5	ET010052	5	1.65828001499176	4.49957323074341	1	1	6	1
3	ET010054	3	1.12015998363495	3.63475441932678	1	1	4	1
15	ET010057	3	.78276801109314	3.0925281047821	1	1	4	1
15	ET010057	4	1.24950003623962	3.842618227005	1	1	5	1
15	ET010057	5	1.21580004692078	3.78845858573914	1	1	6	1
8	ET010059	3	-.163568004965782	1.57166123390198	1	1	4	1
8	ET010059	4	1.44975996017456	4.16445827484131	1	1	5	1
16	ET010062	3	.204677999019623	2.16347336769104	1	1	4	1
16	ET010062	4	.827386975288391	3.16423583030701	1	1	5	1
16	ET010062	5	1.52746999263763	4.28934669494629	1	1	6	1
2	ET010064	3	.754007995128632	3.04630756378174	1	1	4	1
15	ET010065	3	.881385028362274	3.25101661682129	1	1	4	1
15	ET010065	4	1.56213998794556	4.34506511688232	1	1	5	1
15	ET010065	5	1.83227002620697	4.77919435501099	1	1	6	1
15	ET010066	3	1.01412999629974	3.46435260772705	1	1	4	1
15	ET010066	4	.691586971282959	2.94599008560181	1	1	5	1
15	ET010066	5	1.44283998012543	4.15333700180054	1	1	6	1
5	ET010067	3	-1.61182999610901	-.755856394767761	1	1	4	1
5	ET010067	4	.686794996261597	2.93828892707825	1	1	5	1
5	ET010067	5	.927487015724182	3.32510757446289	1	1	6	1
15	ET010070	3	.747931003570557	3.036541223526	1	1	4	1
15	ET010070	4	1.62425005435944	4.44488286972046	1	1	5	1
15	ET010070	5	2.12757992744446	5.2537899017334	1	1	6	1
10	ET010071	3	.674719989299774	2.91888308525085	1	1	4	1
10	ET010071	4	2.3288300037384	5.57722139358521	1	1	5	1
6	ET010075	3	-.506914973258972	1.01986455917358	1	1	4	1
6	ET010075	4	.90999299287796	3.29699277877808	1	1	5	1
6	ET010075	5	2.24282002449036	5.43899345397949	1	1	6	1
15	ET010076	3	.873844027519226	3.2388973236084	1	1	4	1
15	ET010076	4	1.31703996658325	3.95116233825684	1	1	5	1
15	ET010076	5	1.63830995559692	4.46747875213623	1	1	6	1
15	ET010077	3	.370456993579865	2.4298985004425	1	1	4	1
15	ET010077	4	1.25916004180908	3.8581428527832	1	1	5	1
15	ET010077	5	1.49840998649597	4.24264430999756	1	1	6	1
6	ET010081	3	-1.9603099822998	-1.31590235233307	1	1	4	1
6	ET010081	4	.768890023231506	3.07022476196289	1	1	5	1
6	ET010081	5	.830817997455597	3.16974973678589	1	1	6	1
16	ET010082	3	-1.43585002422333	-.47303706407547	1	1	4	1
16	ET010082	4	-.784832000732422	.57322108745575	1	1	5	1
16	ET010082	5	.426191985607147	2.51947093009949	1	1	6	1
6	ET010083	3	.470045000314713	2.58994770050049	1	1	4	1
15	ET010084	3	.56214302778244	2.73795938491821	1	1	4	1
15	ET010084	4	1.59965002536774	4.40534830093384	1	1	5	1
15	ET010084	5	.440270006656647	2.54209589958191	1	1	6	1
3	ET010085	3	.802193999290466	3.12374782562256	1	1	4	1
3	ET010086	3	-1.88301002979279	-1.19167280197144	1	1	4	1
3	ET010086	4	.296397000551224	2.31087589263916	1	1	5	1
3	ET010086	5	.445216000080109	2.55004453659058	1	1	6	1
16	ET010089	3	-.908924996852875	.373789876699448	1	1	4	1
16	ET010089	4	.502574980258942	2.64222693443298	1	1	5	1
16	ET010089	5	1.12470996379852	3.64206671714783	1	1	6	1
16	ET010091	3	-.273975014686584	1.39422488212585	1	1	4	1
16	ET010091	4	.00422088010236621	1.8413165807724	1	1	5	1
16	ET010091	5	1.0373899936676	3.50173401832581	1	1	6	1
6	ET010092	3	1.4004100561142	4.08514738082886	1	1	4	1
15	ET010093	3	.70389199256897	2.96576571464539	1	1	4	1
15	ET010093	4	1.01406002044678	3.46424007415771	1	1	5	1
15	ET010093	5	2.16050004959106	5.30669641494751	1	1	6	1
5	ET010094	3	1.46854996681213	4.19465589523315	1	1	4	1
15	ET010095	3	.0474637001752853	1.91081261634827	1	1	4	1
15	ET010095	4	1.831169962883	4.77742624282837	1	1	5	1
15	ET010095	5	1.76575994491577	4.6723051071167	1	1	6	1
4	ET010096	3	1.38960003852844	4.06777429580688	1	1	4	1
4	ET010096	4	1.75292003154755	4.65166997909546	1	1	5	1
15	ET010097	3	.186280995607376	2.13390731811523	1	1	4	1
15	ET010097	4	1.61953997612	4.43731355667114	1	1	5	1
15	ET010097	5	1.24437999725342	3.83438968658447	1	1	6	1
16	ET010098	3	-.808322012424469	.535470068454742	1	1	4	1
16	ET010098	4	1.04512000083923	3.51415681838989	1	1	5	1
16	ET010098	5	.916988015174866	3.30823445320129	1	1	6	1
15	ET020001	4	.630129992961884	2.84722185134888	1	1	5	1
15	ET020001	5	2.31223011016846	5.55054330825806	1	1	6	1
8	ET020002	3	-1.10046994686127	.0659559145569801	1	1	4	1
8	ET020002	4	.12958300113678	2.0427873134613	1	1	5	1
8	ET020002	5	1.31582999229431	3.94921779632568	1	1	6	1
99	ET020005	4	.237878993153572	2.21683096885681	1	1	5	1
4	ET020008	3	1.29338002204895	3.91313815116882	1	1	4	1
15	ET020011	3	.49183401465416	2.62496495246887	1	1	4	1
15	ET020011	4	.974602997303009	3.40082812309265	1	1	5	1
15	ET020011	5	1.81885004043579	4.75762701034546	1	1	6	1
9	ET020013	3	.713051974773407	2.98048663139343	1	1	4	1
