formno	commid	CLUSTID	REGION	area	pop	popchg	land1	land2	land3	land4	land5	land6	land7	land8	land9	land10	land11	city	szcit	twndis	subzone	waste	airpol	watpol	contsoil	specpol	specpol1	shanty	semi	perm	story	bigmult	smalmult	lang1	lang2	lang3	lang4	lang5	lang6	lang7	lang8	lang9	szlang1	szlang2	szlang3	eth1	eth2	eth3	eth4	eth5	eth6	eth7	eth8	eth9	szeth1	szeth2	szeth3	rel1	rel2	rel3	rel4	szrel1	szrel2	szrel3	legal	council	elechow	conclive	concvist	chief	chfhow	chflive	chfcvist	thfcrm	violcrm	yuthcrm	proscrm	comcrm	forcrm	speccrm	toil1	toil2	toil3	toil4	water1	water2	water3	water4	garb1	garb2	garb3	garb4	cansel	shop1	shop2	shop3	shop4	shop5	road1	road2	road3	road4	road5	frqpass	pubtran1	pubtran2	pubtran3	pubtran4	pubtran5	pubtran6	pubtran7	pubtran8	pubtran9	outtran	dispub	frqpub	prog	comgrp1	comgrp2	comgrp3	comgrp4	comgrp5	comgrp6	comgrp7	comgrp8	comgrp9	income1	income2	income3	income4	income5	income6	income7	income8	income9	inc1	inc2	inc3	whown	aqu1	aqu2	aqu3	aqu4	aqu5	aqu6	fert	insect	frmhlp1	frmhlp2	frmhlp3	frmhlp4	frmhlp5	frmhlp6	frmhlp7	frmhlp8	plant	factoty	putout	schpay	nurpay	munpay	helcost	midwife	batten	tradhe	villhel	menthel	sochel	adultlit	currency
R1COMM	ET1011	1	1	 	14788	1	1	0	0	0	0	0	0	0	1	0	0	1	4000	 	3	3	3	2	3	1	1	1	1	2	2	2	2	0	1	1	0	0	1	0	1	0	2	3	8	0	1	1	0	0	1	0	1	0	2	3	8	0	1	1	1	2	4	3	1	1	1	1	8	2	8	8	8	1	1	1	1	2	2	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	1	1	1	0	0	0	12	0	1	1	0	1	0	0	0	0	1	1	1	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	7	10	6	8	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	8	2	2	805	500	150	20	2	1	2	1	2	2	2	1
R1COMM	ET1021	2	1	2	20000	1	1	0	0	0	1	0	0	0	1	0	0	1	 	26	3	2	1	2	1	1	1	2	2	1	2	2	2	0	1	1	0	0	1	0	1	0	2	6	3	0	1	1	0	0	1	0	0	0	6	2	3	0	1	1	1	2	4	3	1	2	8	8	8	2	8	8	8	1	1	2	1	2	2	2	0	0	1	1	1	0	1	0	1	0	1	0	2	0	0	1	1	1	1	1	0	0	0	99	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	0	0	4	10	7	2	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	8	1	2	760	565	9999	9999	2	1	1	2	2	2	2	1
R1COMM	ET1022	3	1	3	15000	1	1	1	0	0	1	0	0	0	1	0	0	1	 	19	3	2	2	2	2	2	2	2	2	1	2	2	2	0	1	1	0	0	1	0	1	0	6	2	10	0	1	0	0	0	1	0	0	0	6	2	10	0	1	1	1	2	4	3	1	2	8	8	8	2	8	8	8	1	1	1	2	2	2	2	0	1	1	1	1	0	1	0	0	1	1	1	2	0	0	1	1	0	1	1	0	0	0	12	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	4	7	88	8	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	8	1	2	760	595	227	9999	2	1	1	1	2	2	1	1
R1COMM	ET1031	4	1	 	7815	1	1	1	0	0	0	0	0	0	1	0	0	1	 	0	3	3	2	3	1	2	1	1	1	1	1	2	2	0	1	1	0	0	1	0	1	0	2	3	8	0	1	1	0	0	1	0	1	0	2	8	3	0	1	0	1	2	4	88	1	1	1	1	8	2	8	8	8	1	2	1	1	2	2	2	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	12	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	10	7	9	8	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	8	2	2	710	560	9999	9999	1	1	2	1	2	2	1	1
R1COMM	ET1032	5	1	 	10562	1	1	1	0	0	0	0	0	0	1	0	0	1	 	 	3	3	1	1	2	1	1	1	1	1	2	2	2	0	1	1	0	1	1	0	1	1	2	8	6	0	0	1	0	1	1	0	1	1	2	8	6	0	1	1	1	2	4	3	1	1	1	1	8	2	8	8	8	1	1	1	1	1	2	2	0	1	1	1	1	0	1	0	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	12	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	7	10	4	8	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	8	2	2	710	472	9999	5	2	2	1	1	2	1	1	1
R1COMM	ET2041	6	2	2780	10893	1	1	0	0	0	0	0	0	0	0	0	0	1	10893	180	5	3	3	3	3	1	1	1	1	1	2	2	2	0	1	0	0	0	0	0	0	0	2	10	10	0	1	0	0	0	0	0	0	0	2	88	88	0	1	0	0	2	88	88	1	1	1	2	1	1	1	1	8	2	2	2	1	2	2	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	1	0	1	0	0	0	12	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	7	10	2	1	0	1	0	0	0	2	2	1	0	0	0	1	0	1	0	2	2	2	805	523	222	5	1	1	1	1	2	2	1	1
R1COMM	ET2051	25	2	 	5279	1	0	1	1	0	0	0	0	0	0	0	1	2	 	33	4	3	3	2	3	2	3	2	2	1	2	2	2	0	1	0	0	0	0	0	0	0	2	88	88	0	1	0	0	0	0	0	0	0	2	88	88	0	1	0	0	2	88	88	1	1	1	2	2	2	8	8	8	1	2	2	1	2	1	9	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	7	9	2	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	1	2	2	2	9999	280	250	6	2	1	1	1	2	1	1	1
R1COMM	ET2061	7	2	10	7000	1	0	0	1	0	0	0	0	0	0	0	1	2	 	4	7	3	3	2	3	3	3	1	1	1	2	2	2	0	1	0	0	0	0	0	0	0	2	88	88	0	1	0	0	0	0	0	0	0	2	88	88	0	1	0	0	2	88	88	1	2	8	8	8	1	1	1	1	1	2	2	2	2	2	8	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	99	1	0	0	0	0	0	0	0	0	8	8	8	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	88	88	2	1	1	0	0	0	0	1	2	1	0	0	1	1	1	1	0	2	2	2	900	400	9999	100	2	2	1	1	2	2	2	1
R1COMM	ET2071	8	2	6461	230	1	0	0	1	0	0	0	0	0	0	0	0	2	 	 	4	3	3	3	3	3	3	1	1	1	2	2	2	0	1	0	0	0	0	0	0	0	2	88	88	0	1	0	0	0	0	0	0	0	2	88	88	0	1	0	1	2	88	4	1	2	8	8	8	1	5	1	8	1	2	2	2	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	9	0	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	10	88	2	1	1	0	0	0	0	2	 	0	1	0	0	0	0	1	0	2	2	2	920	9999	9999	9999	2	1	1	2	2	1	1	1
R1COMM	ET3081	9	3	750	570	1	0	1	1	1	0	0	0	0	0	0	1	2	 	8	6	3	3	3	3	3	3	2	1	2	2	2	2	0	1	0	0	0	1	0	0	0	6	2	10	0	0	0	0	0	1	0	0	0	10	6	88	0	1	0	1	2	4	88	1	1	2	1	8	1	1	1	8	2	2	2	2	2	2	2	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	1	1	0	0	0	0	1	99	0	0	0	0	0	0	0	0	0	2	8	8	2	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	3	5	1	0	1	0	0	1	0	2	2	0	0	0	0	0	0	0	1	2	2	2	9999	9999	9999	9999	2	1	1	1	2	2	2	1
