formno	commid	frmid	frman	frmwom	frmchld
R1COMM	ET2041	1	5.5	5.5	5.5
R1COMM	ET2041	2	5.5	5.5	5.5
R1COMM	ET2041	3	5.5	5.5	5.5
R1COMM	ET2041	4	5.5	5.5	5.5
R1COMM	ET2041	5	5.5	5.5	5.5
R1COMM	ET2051	1	5	8888	5
R1COMM	ET2051	2	5	5	5
R1COMM	ET2051	3	5	5	5
R1COMM	ET2051	4	5	5	5
R1COMM	ET2051	5	5	5	5
R1COMM	ET2061	1	10	8888	8888
R1COMM	ET2061	2	10	8888	8888
R1COMM	ET2061	3	5	5	8888
R1COMM	ET2061	4	5	5	8888
R1COMM	ET2061	5	5	5	8888
R1COMM	ET2071	1	1	9999	8888
R1COMM	ET2071	3	9999	9999	9999
R1COMM	ET2071	4	9999	9999	9999
R1COMM	ET2071	5	9999	9999	9999
R1COMM	ET3081	1	4	8888	8888
R1COMM	ET3081	2	4	4	4
R1COMM	ET3081	3	4	4	4
R1COMM	ET3081	4	5	8888	8888
R1COMM	ET3081	5	4	8888	8888
R1COMM	ET3091	1	5	8888	5
R1COMM	ET3091	2	15	8888	5
R1COMM	ET3091	3	5	4	9999
R1COMM	ET3091	4	5	4	8888
R1COMM	ET3091	5	5	8888	8888
R1COMM	ET3101	1	9999	9999	9999
R1COMM	ET3111	1	6	8888	8888
R1COMM	ET3111	2	9999	9999	9999
R1COMM	ET3111	3	15	8888	5
R1COMM	ET4121	1	4	8888	2
R1COMM	ET4121	2	4	8888	2
R1COMM	ET4121	3	4	8888	2
R1COMM	ET4121	4	4	8888	2
R1COMM	ET4121	5	4	3	3
R1COMM	ET4131	1	4	8888	8888
R1COMM	ET4131	2	5	8888	8888
R1COMM	ET4131	3	5	8888	8888
R1COMM	ET4131	4	5	9999	8888
R1COMM	ET4131	5	3	9999	8888
R1COMM	ET4151	1	5	8888	5
R1COMM	ET4151	3	4	8888	4
R1COMM	ET4151	4	2	8888	2
R1COMM	ET4161	1	3	8888	3
R1COMM	ET4161	2	3	8888	3
R1COMM	ET4161	3	2	8888	2
R1COMM	ET4161	4	3	8888	3
R1COMM	ET4161	5	3	8888	3
R1COMM	ET5171	1	6	9999	9999
R1COMM	ET5171	2	7	6	3
R1COMM	ET5171	3	5	5	3
R1COMM	ET5171	4	12	6	3
R1COMM	ET5171	5	12	9999	5
R1COMM	ET5181	1	8	8888	8888
R1COMM	ET5181	2	8	8888	8888
R1COMM	ET5181	3	8	8	8
R1COMM	ET5181	4	8	8	8
R1COMM	ET5181	5	8	8888	8
R1COMM	ET5191	1	10	9999	9999
R1COMM	ET5191	2	10	10	9999
R1COMM	ET5191	4	10	10	9999
R1COMM	ET5191	5	10	10	9999
R1COMM	ET5201	1	2	2	1
R1COMM	ET5201	2	2	2	.5
R1COMM	ET5201	3	2	2	.5
R1COMM	ET5201	4	1	1	.5
R1COMM	ET5201	5	1	1	.5
