COMMID	CLUSTID	DISTRID	suprdate	area	unit	arable	irigland	pop	popchg	land1	land2	land3	land4	land5	land6	land7	land8	land9	land10	city	szcit	twndis	subzone	waste	airpol	watpol	contsoil	pestmen	specpol	shanty	semi	perm	story	bigmult	smalmult	shansc	shanst	shanbc	shanoc	semisc	semist	semibc	semioc	permsc	permst	permbc	permoc	storsc	storst	storbc	storoc	bigmsc	bigmst	bigmbc	bigmoc	smalsc	smalst	smalbc	smaloc	lang1	lang2	lang3	lang4	lang5	lang6	lang7	szlang1	szlang2	szlang3	eth1	eth2	eth3	eth4	szeth1	szeth2	szeth3	rel1	rel2	rel3	rel4	rel5	rel6	szrel1	szrel2	szrel3	legal	council	elechow	conclive	concvist	grievpol	chief	chiefsc	chiefst	chiefbc	chiefoc	chfhowsc	chfhowst	chfhowbc	chfhowoc	chflivsc	chflivst	chflivbc	chflivoc	chfvissc	chfvisst	chfvisbc	chfvisoc	thfcrm	violcrm	yuthcrm	proscrm	comcrm	speccrm	toil1	toil2	toil3	toil4	water1	water2	water3	water4	garb1	garb2	garb3	garb4	cansel	shop1	shop2	shop3	shop4	shop5	road1	road2	road3	road4	road5	frqpass	pubtran1	pubtran2	pubtran3	pubtran4	pubtran5	pubtran6	pubtran7	pubtran8	pubtran9	outtran	dispub	frqpub	prog	comgrp1	comgrp2	comgrp3	comgrp4	comgrp5	comgrp6	comgrp7	comgrp8	income1	income2	income3	income4	income5	income6	income7	income8	income9	inc1	inc2	inc3	whown	aqu1	aqu2	aqu3	aqu4	aqu5	aqu6	irigsrc	fert	insect	frmhlp1	frmhlp2	frmhlp3	frmhlp4	frmhlp5	frmhlp6	frmhlp7	plant	factoty	putout	schpay	nurpay	munpay	helcost	midwife	batten	tradhe	villhel	menthel	sochel	adultlit	currency
IN001	5	1	11/18/2002	789.599975585938	ACRES	586.599975585938	138.600006103516	1374	1	1	0	1	0	0	1	0	0	0	0	2	 	60	3	3	3	3	2	2	3	1	1	1	2	2	2	5	0	20	1	44	18	122	4	1	0	25	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	 	 	1	1	1	0	3	1	2	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	 	2	2	2	2	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	1	2	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	0	1	1	0	0	1	1	1	 	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	 	 	2	0	1	1	0	1	1	2	1	1	1	1	1	0	1	0	0	2	2	2	133	150	35	150	2	2	1	1	2	2	1	RUPEE
IN002	5	1	11/21/2002	514.900024414063	 	403.399993896484	329.399993896484	1149	1	1	0	1	0	0	1	0	0	0	0	2	 	52	3	1	1	3	2	2	3	1	1	1	2	2	2	0	0	50	20	16	0	70	40	4	0	78	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	 	 	1	0	1	1	3	4	1	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	 	0	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	4	7	2	0	1	1	0	1	0	2	1	1	0	1	0	0	0	1	0	2	1	2	133	150	35	150	1	2	2	1	2	2	1	RUPEE
IN003	5	1	11/11/2002	551.599975585938	ACRES	436	244.300003051758	1147	1	1	0	1	0	0	0	0	0	0	0	2	 	60	3	3	3	3	3	1	3	1	1	1	2	2	2	16	0	37	0	7	0	40	12	12	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	 	 	1	0	1	1	3	1	4	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	1	1	9	1	1	4	 	4	4	1	 	 	 	 	 	 	 	2	2	2	2	2	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	 	0	0	1	0	0	0	1	0	0	1	2	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	10	7	2	1	1	0	0	1	0	4	1	1	1	1	0	0	0	1	0	2	1	2	133	150	35	150	2	1	2	1	2	2	1	RUPEE
IN004	5	1	11/9/2002	391.200012207031	ACRES	344.899993896484	344.899993896484	1124	1	1	0	1	0	0	0	0	0	0	0	2	 	50	3	1	1	1	3	1	3	1	1	1	2	2	2	0	0	71	4	33	0	45	0	2	0	22	0	0	0	0	 	0	0	0	 	0	0	 	 	1	0	0	0	0	0	0	1	 	 	1	1	0	1	1	2	4	0	0	0	1	0	0	4	 	 	1	1	1	1	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	 	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	4	3	2	0	1	1	0	1	0	 	1	1	1	0	0	0	0	1	0	2	1	2	133	150	35	150	2	2	1	1	2	2	1	RUPEE
IN005	5	1	11/15/2002	431.399993896484	 	415.899993896484	114	1187	1	1	0	1	0	0	0	0	0	0	0	2	 	43	3	3	3	3	3	1	3	1	1	1	2	2	2	0	0	100	1	3	0	95	4	0	0	40	0	0	0	0	0	0	0	0	0	0	0	 	 	1	0	0	0	0	0	0	1	 	 	1	0	1	1	3	4	1	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	1	2	9	1	2	8	 	4	8	8	 	 	8	8	 	 	8	2	2	2	2	2	2	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	 	0	0	0	0	0	1	1	0	0	1	2	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	 	 	2	1	1	1	0	1	0	2	1	1	1	0	0	0	0	1	0	2	2	2	133	150	35	150	2	2	2	1	2	2	1	RUPEE
IN006	5	1	11/26/2002	679.400024414063	 	613.5	502.299987792969	1425	1	1	0	1	0	0	0	0	0	0	0	2	 	50	3	1	1	1	3	1	3	1	1	1	2	2	2	10	0	150	0	70	0	100	6	3	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	 	 	1	0	1	1	3	1	4	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	 	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	1	4	7	2	0	1	1	0	1	0	2	1	1	1	0	0	0	0	0	0	2	1	2	133	150	35	150	2	1	2	1	2	2	1	RUPEE
IN007	4	1	 	 	 	 	 	 	1	1	0	1	0	0	0	0	0	0	0	99	 	 	99	3	3	3	3	2	88	 	 	 	 	 	 	 	 	 	 	 	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	 	 	0	1	1	0	2	3	 	0	0	0	1	0	0	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	 	0	1	0	0	0	0	1	0	0	1	1	1	 	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	 	2	1	0	1	1	0	0	1	2	2	1	0	1	0	0	1	0	 	 	 	153	150	113	20	1	1	2	2	2	2	2	 
IN008	4	1	12/12/2002	544.700012207031	ACRES	115.790000915527	 	5000	1	1	0	0	0	1	0	0	0	0	0	2	3000	85	4	3	3	1	3	1	3	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	1	8	 	1	1	1	0	2	3	1	1	0	0	1	0	0	4	1	 	1	2	88	8	8	8	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	1	2	2	 	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0	0	 	0	1	0	0	0	0	0	0	0	2	8	1	 	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	 	 	2	1	0	1	0	0	0	1	2	2	1	1	1	0	0	0	0	 	2	2	153	150	113	 	1	1	1	1	2	1	1	RUPEE
IN009	4	1	 	467	ACRES	324.179992675781	 	 	99	1	1	0	0	0	0	0	0	0	0	2	 	60	4	3	3	3	3	1	1	 	 	 	 	 	 	 	40	2	 	 	25	4	2	2	35	1	4	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	8	 	1	1	1	0	2	1	3	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	1	 	1	 	 	 	4	 	 	 	8	 	 	 	8	 	 	2	2	2	2	2	 	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	2	5	1	1	0	1	0	0	0	7	 	 	1	1	1	1	0	1	0	2	2	2	153	150	113	200	1	1	2	1	2	2	1	rupee
IN010	4	1	12/20/2003	31.3700008392334	 	30.3199996948242	 	689	2	1	1	0	0	0	0	0	0	0	0	2	 	70	4	3	3	3	3	2	88	 	 	 	 	 	 	 	30	 	 	 	50	 	 	 	28	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	1	8	 	0	1	0	0	2	 	 	1	0	0	1	0	0	4	1	 	1	1	 	2	1	1	 	 	1	 	 	 	4	 	 	 	1	 	 	 	 	 	 	1	2	2	2	 	 	0	0	0	1	0	0	0	1	0	1	0	1	2	0	0	0	1	0	0	0	0	0	1	 	1	0	0	0	0	0	0	0	0	 	4	 	 	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	2	5	2	1	0	1	0	0	0	1	2	2	1	1	1	0	0	0	0	2	2	2	153	150	113	500	1	1	2	1	2	2	2	RUPEE
