formno	COMMID	prodid	problem
R1COMM	IN001	1	4
R1COMM	IN001	2	4
R1COMM	IN001	3	1
R1COMM	IN001	9	1
R1COMM	IN002	1	4
R1COMM	IN002	2	4
R1COMM	IN002	3	1
R1COMM	IN002	9	1
R1COMM	IN003	1	4
R1COMM	IN003	2	4
R1COMM	IN003	3	1
R1COMM	IN003	9	1
R1COMM	IN004	1	4
R1COMM	IN004	2	4
R1COMM	IN004	3	 
R1COMM	IN004	9	 
R1COMM	IN005	1	4
R1COMM	IN005	2	4
R1COMM	IN005	3	1
R1COMM	IN005	9	1
R1COMM	IN006	1	4
R1COMM	IN006	2	4
R1COMM	IN006	3	1
R1COMM	IN006	9	1
R1COMM	IN007	1	1
R1COMM	IN007	2	1
R1COMM	IN007	3	1
R1COMM	IN008	1	3
R1COMM	IN008	2	3
R1COMM	IN008	3	3
R1COMM	IN009	1	4
R1COMM	IN009	2	1
R1COMM	IN009	3	1
R1COMM	IN010	1	2
R1COMM	IN010	2	3
R1COMM	IN010	3	2
R1COMM	IN011	1	1
R1COMM	IN011	2	1
R1COMM	IN011	3	1
R1COMM	IN012	1	4
R1COMM	IN012	2	4
R1COMM	IN012	3	1
R1COMM	IN012	9	1
R1COMM	IN013	1	4
R1COMM	IN013	2	4
R1COMM	IN013	3	1
R1COMM	IN013	9	1
R1COMM	IN014	1	3
R1COMM	IN014	2	1
R1COMM	IN014	3	1
R1COMM	IN014	9	1
R1COMM	IN015	1	1
R1COMM	IN015	2	1
R1COMM	IN015	3	1
R1COMM	IN015	9	1
R1COMM	IN016	1	4
R1COMM	IN016	2	1
R1COMM	IN016	3	1
R1COMM	IN016	9	1
R1COMM	IN017	1	4
R1COMM	IN017	2	1
R1COMM	IN017	3	1
R1COMM	IN018	1	4
R1COMM	IN018	2	4
R1COMM	IN018	3	1
R1COMM	IN018	9	1
R1COMM	IN019	1	4
R1COMM	IN019	2	4
R1COMM	IN019	3	1
R1COMM	IN019	9	1
R1COMM	IN020	1	4
R1COMM	IN020	2	4
R1COMM	IN020	3	4
R1COMM	IN021	1	4
R1COMM	IN021	2	4
R1COMM	IN021	3	4
R1COMM	IN021	9	1
R1COMM	IN022	1	4
R1COMM	IN022	2	4
R1COMM	IN022	3	1
R1COMM	IN022	9	1
R1COMM	IN023	1	4
R1COMM	IN023	2	4
R1COMM	IN023	3	1
R1COMM	IN023	9	1
R1COMM	IN027	1	 
R1COMM	IN027	2	 
R1COMM	IN027	3	 
R1COMM	IN027	9	 
R1COMM	IN028	1	 
R1COMM	IN028	2	 
R1COMM	IN028	3	 
R1COMM	IN028	9	 
R1COMM	IN029	1	 
R1COMM	IN029	2	 
R1COMM	IN029	3	 
R1COMM	IN030	1	 
R1COMM	IN030	2	 
R1COMM	IN030	3	 
R1COMM	IN031	1	 
R1COMM	IN031	3	 
R1COMM	IN032	1	 
R1COMM	IN032	2	 
R1COMM	IN032	3	 
R1COMM	IN033	1	 
R1COMM	IN033	2	 
R1COMM	IN033	3	 
R1COMM	IN033	9	 
R1COMM	IN034	1	 
R1COMM	IN034	2	 
R1COMM	IN034	3	 
R1COMM	IN034	9	 
R1COMM	IN035	1	 
R1COMM	IN035	2	 
R1COMM	IN035	3	 
R1COMM	IN036	1	 
R1COMM	IN036	2	 
R1COMM	IN037	1	4
R1COMM	IN037	2	4
R1COMM	IN038	1	4
R1COMM	IN038	2	4
R1COMM	IN040	1	4
R1COMM	IN040	2	3
R1COMM	IN040	3	1
R1COMM	IN041	1	4
R1COMM	IN041	2	4
R1COMM	IN041	3	4
R1COMM	IN042	1	 
R1COMM	IN042	2	 
R1COMM	IN042	3	 
R1COMM	IN043	1	 
R1COMM	IN043	2	 
R1COMM	IN043	3	 
R1COMM	IN044	1	 
R1COMM	IN044	2	 
R1COMM	IN044	3	 
R1COMM	IN045	1	4
R1COMM	IN045	2	4
R1COMM	IN045	3	4
R1COMM	IN046	1	4
R1COMM	IN046	2	4
R1COMM	IN046	3	4
R1COMM	IN048	1	 
R1COMM	IN048	2	2
R1COMM	IN048	3	3
R1COMM	IN049	3	4
R1COMM	IN050	1	2
R1COMM	IN050	2	2
R1COMM	IN050	3	2
R1COMM	IN051	1	4
R1COMM	IN051	2	4
R1COMM	IN051	3	4
R1COMM	IN052	1	2
R1COMM	IN052	2	1
R1COMM	IN052	3	2
R1COMM	IN053	1	2
R1COMM	IN053	2	2
R1COMM	IN053	3	2
R1COMM	IN054	1	2
R1COMM	IN054	2	2
R1COMM	IN054	3	2
R1COMM	IN055	1	2
R1COMM	IN055	2	1
R1COMM	IN055	3	2
R1COMM	IN056	1	2
R1COMM	IN056	2	1
R1COMM	IN056	3	2
R1COMM	IN057	1	3
R1COMM	IN057	2	3
R1COMM	IN058	1	4
R1COMM	IN058	2	4
R1COMM	IN058	3	4
R1COMM	IN059	1	4
R1COMM	IN059	2	4
R1COMM	IN059	3	4
R1COMM	IN060	1	4
R1COMM	IN060	2	4
R1COMM	IN060	3	4
R1COMM	IN061	1	4
R1COMM	IN061	2	1
R1COMM	IN061	3	4
R1COMM	IN061	9	1
R1COMM	IN062	1	4
R1COMM	IN062	2	1
R1COMM	IN062	3	1
R1COMM	IN062	9	1
R1COMM	IN063	1	1
R1COMM	IN063	2	1
R1COMM	IN063	3	1
R1COMM	IN063	9	1
R1COMM	IN064	1	4
