formno	COMMID	services	seraval	serchng	serdis	sertme
R1COMM	IN001	1	2	1	4	3
R1COMM	IN001	2	2	3	4	2
R1COMM	IN001	3	2	3	4	2
R1COMM	IN001	4	1	3	1	1
R1COMM	IN001	5	1	3	1	1
R1COMM	IN001	6	1	3	1	1
R1COMM	IN001	7	1	2	1	1
R1COMM	IN001	8	2	3	4	2
R1COMM	IN001	9	1	1	1	1
R1COMM	IN001	10	1	1	1	1
R1COMM	IN001	11	2	1	4	2
R1COMM	IN001	12	1	1	1	1
R1COMM	IN001	13	2	3	4	2
R1COMM	IN001	14	1	3	1	1
R1COMM	IN001	15	2	8	3	1
R1COMM	IN002	1	2	8	2	1
R1COMM	IN002	2	2	8	4	2
R1COMM	IN002	3	2	8	4	2
R1COMM	IN002	4	1	1	1	1
R1COMM	IN002	5	2	8	2	2
R1COMM	IN002	6	1	1	1	1
R1COMM	IN002	7	1	2	1	1
R1COMM	IN002	8	2	3	1	1
R1COMM	IN002	9	1	1	1	1
R1COMM	IN002	10	1	1	1	1
R1COMM	IN002	11	2	3	2	2
R1COMM	IN002	12	1	1	1	1
R1COMM	IN002	13	2	8	4	2
R1COMM	IN002	14	1	1	1	1
R1COMM	IN002	15	2	8	2	2
R1COMM	IN003	1	2	3	4	3
R1COMM	IN003	2	2	3	4	2
R1COMM	IN003	3	2	3	4	2
R1COMM	IN003	4	1	3	1	1
R1COMM	IN003	5	2	3	2	1
R1COMM	IN003	6	1	3	1	1
R1COMM	IN003	7	1	2	1	1
R1COMM	IN003	8	2	3	4	2
R1COMM	IN003	9	1	3	1	1
R1COMM	IN003	10	1	1	1	1
R1COMM	IN003	11	2	2	3	2
R1COMM	IN003	12	1	3	1	1
R1COMM	IN003	13	2	3	4	2
R1COMM	IN003	14	1	3	1	1
R1COMM	IN003	15	1	3	2	2
R1COMM	IN004	1	2	3	3	2
R1COMM	IN004	2	2	3	4	2
R1COMM	IN004	3	2	3	4	2
R1COMM	IN004	4	1	3	1	1
R1COMM	IN004	5	1	3	1	1
R1COMM	IN004	6	1	3	1	1
R1COMM	IN004	7	2	3	2	1
R1COMM	IN004	8	2	3	2	1
R1COMM	IN004	9	1	2	1	1
R1COMM	IN004	10	1	1	1	1
R1COMM	IN004	11	2	3	3	2
R1COMM	IN004	12	1	1	1	1
R1COMM	IN004	13	2	3	4	2
R1COMM	IN004	14	1	1	1	1
R1COMM	IN004	15	2	3	2	1
R1COMM	IN005	1	2	3	4	3
R1COMM	IN005	2	2	3	2	2
R1COMM	IN005	3	2	3	2	2
R1COMM	IN005	4	1	3	1	1
R1COMM	IN005	5	2	3	2	1
R1COMM	IN005	6	1	3	1	1
R1COMM	IN005	7	2	3	2	2
R1COMM	IN005	8	2	3	2	2
R1COMM	IN005	9	1	3	1	1
R1COMM	IN005	10	2	3	4	3
R1COMM	IN005	11	2	3	4	3
R1COMM	IN005	12	1	3	1	1
R1COMM	IN005	13	2	3	4	3
R1COMM	IN005	14	1	3	1	1
R1COMM	IN005	15	2	3	2	1
R1COMM	IN006	1	1	3	2	2
R1COMM	IN006	2	1	3	3	2
R1COMM	IN006	3	1	3	3	2
R1COMM	IN006	4	1	3	1	1
R1COMM	IN006	5	1	3	1	1
R1COMM	IN006	6	1	3	1	1
R1COMM	IN006	7	1	3	2	1
R1COMM	IN006	8	1	3	2	1
R1COMM	IN006	9	1	3	1	1
R1COMM	IN006	10	1	3	1	1
R1COMM	IN006	11	2	8	2	2
R1COMM	IN006	12	1	3	1	1
R1COMM	IN006	13	1	3	4	2
R1COMM	IN006	14	1	3	1	1
R1COMM	IN006	15	1	3	1	1
R1COMM	IN007	1	1	3	2	2
R1COMM	IN007	2	2	8	 	 
R1COMM	IN007	3	2	8	 	 
R1COMM	IN007	4	2	8	 	 
R1COMM	IN007	5	1	 	 	 
R1COMM	IN007	6	 	 	 	 
R1COMM	IN007	7	1	 	 	 
R1COMM	IN007	8	1	 	 	 
R1COMM	IN007	9	1	 	 	 
R1COMM	IN007	10	 	 	 	 
R1COMM	IN007	11	2	8	8	8
R1COMM	IN007	12	1	 	 	 
R1COMM	IN007	13	2	8	8	8
R1COMM	IN007	14	1	 	 	 
R1COMM	IN007	15	1	 	 	 
R1COMM	IN008	1	2	8	4	4
R1COMM	IN008	2	2	8	4	4
R1COMM	IN008	3	2	8	4	4
R1COMM	IN008	4	2	8	4	4
R1COMM	IN008	5	2	8	2	2
R1COMM	IN008	6	2	8	2	2
R1COMM	IN008	7	2	8	4	3
R1COMM	IN008	8	2	8	4	3
R1COMM	IN008	9	1	1	1	1
R1COMM	IN008	10	1	2	1	1
R1COMM	IN008	11	2	8	4	3
R1COMM	IN008	12	1	1	1	1
R1COMM	IN008	13	2	8	3	2
R1COMM	IN008	14	2	8	2	2
R1COMM	IN008	15	2	8	3	3
R1COMM	IN009	1	2	8	2	1
R1COMM	IN009	2	2	8	4	3
R1COMM	IN009	3	2	8	4	3
R1COMM	IN009	4	2	8	2	2
R1COMM	IN009	5	1	3	1	1
R1COMM	IN009	6	1	3	1	1
R1COMM	IN009	7	1	3	1	1
R1COMM	IN009	8	1	3	1	1
R1COMM	IN009	9	1	3	1	1
R1COMM	IN009	10	2	8	2	2
R1COMM	IN009	11	1	3	1	1
R1COMM	IN009	12	1	1	1	1
R1COMM	IN009	13	2	3	2	2
R1COMM	IN009	14	2	8	2	2
R1COMM	IN009	15	2	8	2	2
R1COMM	IN010	1	2	8	4	4
R1COMM	IN010	2	2	8	4	4
R1COMM	IN010	3	2	8	4	2
R1COMM	IN010	4	1	1	1	1
R1COMM	IN010	5	2	8	2	4
R1COMM	IN010	6	2	3	3	3
R1COMM	IN010	7	 	 	 	 
R1COMM	IN010	8	2	3	3	3
R1COMM	IN010	9	1	2	1	1
R1COMM	IN010	10	 	 	 	 
R1COMM	IN010	11	2	8	4	4
R1COMM	IN010	12	2	8	3	3
R1COMM	IN010	13	2	8	3	3
R1COMM	IN010	14	2	8	3	3
R1COMM	IN010	15	2	8	4	4
R1COMM	IN011	1	1	1	1	1
R1COMM	IN011	2	2	8	4	3
R1COMM	IN011	3	2	8	4	3
R1COMM	IN011	4	1	3	1	1
R1COMM	IN011	5	1	3	1	1
R1COMM	IN011	6	1	3	1	1
R1COMM	IN011	7	1	3	1	1
R1COMM	IN011	8	1	3	1	1
R1COMM	IN011	9	1	3	1	1
R1COMM	IN011	10	2	8	3	1
R1COMM	IN011	11	1	3	1	1
R1COMM	IN011	12	1	3	1	1
R1COMM	IN011	13	1	3	1	1
R1COMM	IN011	14	1	3	1	1
R1COMM	IN011	15	1	3	1	1
R1COMM	IN012	1	2	8	3	2
R1COMM	IN012	2	2	8	4	2
R1COMM	IN012	3	2	8	3	2
R1COMM	IN012	4	1	3	1	1
R1COMM	IN012	5	2	8	2	2
R1COMM	IN012	6	1	3	1	1
R1COMM	IN012	7	1	3	1	1
R1COMM	IN012	8	2	8	3	2
R1COMM	IN012	9	1	3	3	2
R1COMM	IN012	10	2	8	3	2
R1COMM	IN012	11	2	8	9	2
R1COMM	IN012	12	1	3	1	1
R1COMM	IN012	13	2	8	3	2
R1COMM	IN012	14	1	3	1	1
R1COMM	IN012	15	2	8	2	3
R1COMM	IN013	1	2	8	3	2
R1COMM	IN013	2	2	8	3	3
R1COMM	IN013	3	2	8	3	3
R1COMM	IN013	4	1	3	 	 
R1COMM	IN013	5	2	8	2	1
R1COMM	IN013	6	1	3	1	1
R1COMM	IN013	7	2	8	2	2
R1COMM	IN013	8	2	8	3	3
R1COMM	IN013	9	1	2	1	1
R1COMM	IN013	10	2	8	2	3
R1COMM	IN013	11	2	8	2	3
R1COMM	IN013	12	2	8	8	3
R1COMM	IN013	13	2	8	3	3
R1COMM	IN013	14	1	2	1	1
R1COMM	IN013	15	2	8	3	3
R1COMM	IN014	1	2	8	3	1
R1COMM	IN014	2	2	8	3	1
R1COMM	IN014	3	2	8	3	1
R1COMM	IN014	4	1	3	 	 
R1COMM	IN014	5	1	3	 	 
R1COMM	IN014	6	1	3	 	 
R1COMM	IN014	7	1	3	 	 
R1COMM	IN014	8	2	8	3	1
R1COMM	IN014	9	1	3	8	8
R1COMM	IN014	10	1	3	8	8
R1COMM	IN014	11	2	8	3	1
R1COMM	IN014	12	2	8	3	1
R1COMM	IN014	13	2	8	3	1
R1COMM	IN014	14	1	3	8	8
R1COMM	IN014	15	2	8	3	3
R1COMM	IN015	1	2	8	4	2
R1COMM	IN015	2	2	8	2	1
R1COMM	IN015	3	2	8	2	1
R1COMM	IN015	4	1	3	1	1
R1COMM	IN015	5	2	8	2	1
R1COMM	IN015	6	1	1	 	 
R1COMM	IN015	7	1	1	1	 
R1COMM	IN015	8	1	 	1	1
R1COMM	IN015	9	1	1	8	8
R1COMM	IN015	10	1	1	8	8
R1COMM	IN015	11	1	1	8	8
R1COMM	IN015	12	1	 	 	 
R1COMM	IN015	13	1	1	8	8
R1COMM	IN015	14	1	1	8	8
R1COMM	IN015	15	2	8	8	8
