formno	COMMID	credid	crdnme
R1COMM	IN001	1	3
R1COMM	IN001	2	4
R1COMM	IN001	3	1
R1COMM	IN002	1	4
R1COMM	IN002	2	1
R1COMM	IN003	1	4
R1COMM	IN003	2	1
R1COMM	IN003	3	3
R1COMM	IN004	1	1
R1COMM	IN005	1	4
R1COMM	IN005	2	1
R1COMM	IN005	3	3
R1COMM	IN006	1	1
R1COMM	IN006	2	3
R1COMM	IN006	3	4
R1COMM	IN008	1	1
R1COMM	IN008	2	4
R1COMM	IN008	3	3
R1COMM	IN009	1	5
R1COMM	IN009	2	1
R1COMM	IN009	3	3
R1COMM	IN009	4	4
R1COMM	IN009	5	1
R1COMM	IN011	1	1
R1COMM	IN011	2	3
R1COMM	IN011	3	4
R1COMM	IN012	1	4
R1COMM	IN012	2	2
R1COMM	IN012	3	3
R1COMM	IN013	1	5
R1COMM	IN013	2	4
R1COMM	IN013	3	2
R1COMM	IN014	1	4
R1COMM	IN014	2	3
R1COMM	IN014	3	1
R1COMM	IN014	4	1
R1COMM	IN015	1	1
R1COMM	IN015	2	3
R1COMM	IN015	3	4
R1COMM	IN016	1	1
R1COMM	IN016	2	4
R1COMM	IN016	3	3
R1COMM	IN017	1	4
R1COMM	IN017	2	1
R1COMM	IN017	3	5
R1COMM	IN017	4	3
R1COMM	IN018	1	3
R1COMM	IN018	2	4
R1COMM	IN019	1	4
R1COMM	IN019	2	4
R1COMM	IN019	3	1
R1COMM	IN020	1	3
R1COMM	IN020	2	4
R1COMM	IN021	1	1
R1COMM	IN021	2	4
R1COMM	IN022	1	4
R1COMM	IN022	2	4
R1COMM	IN023	1	4
R1COMM	IN023	2	1
R1COMM	IN024	1	5
R1COMM	IN024	2	1
R1COMM	IN024	3	3
R1COMM	IN024	4	4
R1COMM	IN025	1	4
R1COMM	IN025	2	2
R1COMM	IN025	3	1
R1COMM	IN025	4	1
R1COMM	IN026	1	1
R1COMM	IN026	2	4
R1COMM	IN027	1	 
R1COMM	IN027	2	 
R1COMM	IN028	1	 
R1COMM	IN028	2	 
R1COMM	IN028	3	 
R1COMM	IN028	4	 
R1COMM	IN029	1	 
R1COMM	IN029	2	 
R1COMM	IN029	3	 
R1COMM	IN030	1	1
R1COMM	IN030	2	4
R1COMM	IN030	3	2
R1COMM	IN031	1	1
R1COMM	IN031	2	1
R1COMM	IN031	3	1
R1COMM	IN032	1	1
R1COMM	IN032	2	1
R1COMM	IN032	3	4
R1COMM	IN033	1	1
R1COMM	IN033	2	1
R1COMM	IN033	3	4
R1COMM	IN034	1	1
R1COMM	IN034	2	4
R1COMM	IN035	1	1
R1COMM	IN035	2	4
R1COMM	IN036	1	1
R1COMM	IN036	2	1
R1COMM	IN036	3	4
R1COMM	IN037	1	1
R1COMM	IN037	2	4
