formno	COMMID	crpid	crop	harvest
R1COMM	IN001	1	28	1
R1COMM	IN001	2	1	5
R1COMM	IN001	3	13	1
R1COMM	IN002	1	1	5
R1COMM	IN002	2	28	1
R1COMM	IN002	3	28	1
R1COMM	IN003	1	1	1
R1COMM	IN003	2	13	1
R1COMM	IN003	3	28	1
R1COMM	IN004	1	1	1
R1COMM	IN004	2	28	1
R1COMM	IN004	3	2	 
R1COMM	IN005	1	1	1
R1COMM	IN005	2	28	1
R1COMM	IN005	3	28	1
R1COMM	IN006	1	1	5
R1COMM	IN006	2	13	1
R1COMM	IN006	3	28	5
R1COMM	IN007	2	28	 
R1COMM	IN008	1	 	5
R1COMM	IN008	2	28	1
R1COMM	IN008	3	 	1
R1COMM	IN009	1	1	5
R1COMM	IN009	2	2	5
R1COMM	IN009	3	24	1
R1COMM	IN010	1	1	 
R1COMM	IN010	2	2	 
R1COMM	IN010	3	24	 
R1COMM	IN011	1	1	 
R1COMM	IN011	2	2	 
R1COMM	IN011	3	10	 
R1COMM	IN012	1	1	4
R1COMM	IN012	2	28	4
R1COMM	IN012	3	8	1
R1COMM	IN013	1	1	1
R1COMM	IN013	2	28	1
R1COMM	IN013	3	28	1
R1COMM	IN014	1	1	4
R1COMM	IN014	2	28	4
R1COMM	IN014	3	9	4
R1COMM	IN015	1	1	5
R1COMM	IN015	2	28	1
R1COMM	IN015	3	28	1
R1COMM	IN016	1	1	1
R1COMM	IN016	2	28	1
R1COMM	IN016	3	28	1
R1COMM	IN017	1	1	5
R1COMM	IN017	2	28	1
R1COMM	IN017	3	28	1
R1COMM	IN018	1	1	1
R1COMM	IN018	2	28	1
R1COMM	IN018	3	28	1
R1COMM	IN019	1	1	5
R1COMM	IN019	2	28	1
R1COMM	IN019	3	28	1
R1COMM	IN020	1	1	 
R1COMM	IN020	2	28	 
R1COMM	IN020	3	28	 
R1COMM	IN021	1	1	1
R1COMM	IN021	2	28	1
R1COMM	IN021	3	28	1
R1COMM	IN022	1	19	1
R1COMM	IN022	2	28	1
R1COMM	IN023	1	1	1
R1COMM	IN023	2	28	5
R1COMM	IN023	3	28	1
R1COMM	IN027	1	28	1
R1COMM	IN027	2	9	4
R1COMM	IN027	3	15	2
R1COMM	IN028	1	1	5
R1COMM	IN028	2	15	2
R1COMM	IN028	3	28	3
R1COMM	IN029	1	15	2
R1COMM	IN029	2	1	5
R1COMM	IN029	3	28	4
R1COMM	IN030	1	1	5
R1COMM	IN030	2	14	4
R1COMM	IN030	3	15	2
R1COMM	IN031	1	1	5
R1COMM	IN031	2	28	1
R1COMM	IN031	3	9	1
R1COMM	IN032	1	13	3
R1COMM	IN032	2	15	2
R1COMM	IN032	3	1	4
