comnro	rsid	ageres	sexres	capac	livres
1	1	37	2	1	37
1	2	99	1	7	99
1	3	99	1	7	99
1	4	45	1	4	99
2	1	21	2	1	21
3	1	52	1	1	52
4	1	46	1	2	46
4	2	40	1	4	0
4	3	42	1	1	42
5	1	53	1	2	53
5	2	37	1	1	37
5	3	44	1	1	44
6	1	24	1	2	24
6	2	25	1	3	2
6	3	40	1	4	0
7	1	35	1	2	35
8	1	30	2	4	0
8	2	64	1	2	42
9	1	33	2	6	15
9	2	37	1	2	37
10	1	48	1	2	48
11	1	99	1	9	51
12	1	33	1	2	33
13	1	29	2	3	4
13	2	40	1	2	40
14	1	25	1	1	25
14	2	35	2	7	5
15	1	48	1	1	48
15	2	28	2	3	0
15	3	19	1	7	5
16	1	33	1	2	2
17	1	40	1	2	40
17	2	48	1	2	48
18	1	26	1	1	26
19	1	39	1	2	39
19	2	46	1	7	46
19	3	28	2	3	1
20	1	23	1	7	23
21	1	33	1	1	33
21	2	42	1	1	42
21	3	23	1	7	23
22	1	44	1	3	14
23	1	34	2	2	6
24	1	30	1	2	5
24	2	47	1	2	7
25	1	39	2	6	21
26	1	45	1	2	4
27	1	42	1	2	13
28	1	41	1	1	22
29	1	38	1	2	5
30	1	39	1	2	18
31	1	48	1	2	20
32	1	45	1	4	6
32	2	44	2	3	99
32	3	55	1	2	20
33	1	48	1	3	12
33	2	99	2	3	99
33	3	99	1	3	99
33	4	99	2	6	99
33	5	54	2	3	15
34	1	46	2	6	30
34	2	56	1	2	30
34	3	41	2	7	5
35	1	38	1	3	2
35	2	32	2	6	32
35	3	99	1	7	99
35	4	56	1	2	30
36	1	50	1	1	3
36	2	42	1	1	14
36	3	49	1	1	17
36	4	36	1	7	10
36	5	31	2	3	1
37	1	21	2	4	21
37	2	32	1	1	26
37	3	44	1	2	42
37	4	44	2	4	44
38	1	42	2	3	99
38	2	36	2	1	99
38	3	42	1	7	99
39	1	42	1	2	99
39	2	99	1	4	99
40	1	42	1	2	42
40	2	51	1	2	51
40	3	42	1	2	42
40	4	37	2	3	4
41	1	57	1	2	36
41	2	31	2	4	2
42	1	51	1	2	26
42	2	51	1	4	25
42	3	99	2	3	17
42	4	32	1	3	1
43	1	47	1	2	18
43	2	32	2	1	10
43	3	36	2	7	18
43	4	51	2	6	18
43	5	35	2	3	4
43	6	29	2	3	99
43	7	99	2	3	3
43	8	37	2	7	18
43	9	43	1	1	18
44	1	38	2	3	1
44	2	70	1	2	20
44	3	65	1	2	30
44	4	25	2	7	20
44	5	39	2	4	20
44	6	50	2	4	10
45	1	53	1	3	20
45	2	24	2	3	0
45	3	99	2	4	0
46	1	35	1	2	35
46	2	44	1	2	44
46	3	32	1	2	32
46	4	40	1	4	12
46	5	99	2	2	99
46	6	99	1	2	99
47	1	30	1	2	8
47	2	27	1	2	27
47	3	38	1	2	15
48	1	52	1	4	52
48	2	45	2	4	16
49	1	34	1	1	2
50	1	33	1	3	1
50	2	35	1	3	35
51	1	38	1	2	38
51	2	31	1	3	31
52	1	38	2	3	10
53	1	29	1	2	29
54	1	28	1	3	1
55	1	30	1	2	30
56	1	54	1	7	54
57	1	34	2	3	0
57	2	48	1	4	0
58	1	30	1	2	30
58	2	33	2	3	10
58	3	27	2	7	18
58	4	21	2	7	0
59	1	34	1	3	27
60	1	26	2	7	1
61	1	39	1	4	6
62	1	44	1	1	12
63	1	35	2	7	35
64	1	37	1	7	37
65	1	31	2	3	2
66	1	25	1	7	25
67	1	31	1	7	11
68	1	33	1	3	0
69	1	37	1	1	37
70	1	46	1	7	23
70	2	42	2	7	15
70	3	38	1	7	38
70	4	50	1	4	14
71	1	32	1	7	32
71	2	47	2	4	18
71	3	38	2	3	38
72	1	35	2	3	1
72	2	25	2	4	0
72	3	32	2	6	2
73	1	38	2	3	7
73	2	42	1	7	99
73	3	48	1	7	99
73	4	32	1	4	99
73	5	27	2	4	99
74	1	27	1	2	10
74	2	40	2	3	20
74	3	40	1	4	10
74	4	45	2	7	15
75	1	30	2	3	3
75	2	27	1	3	27
75	3	55	1	1	55
76	1	47	2	3	3
76	2	31	1	3	31
77	1	45	1	3	45
77	2	35	1	2	35
78	1	28	1	2	28
78	2	24	2	2	2
78	3	45	1	7	45
78	4	38	1	2	38
78	5	55	1	2	55
78	6	42	1	2	42
79	1	39	1	2	39
79	2	23	1	2	23
79	3	24	1	2	24
79	4	58	1	2	58
80	1	38	1	4	2
80	2	34	1	2	34
80	3	30	1	2	20
80	4	38	2	2	38
81	1	26	1	1	8
81	2	38	1	2	38
81	3	42	1	2	42
82	1	37	1	2	37
82	2	28	1	2	28
82	3	48	1	2	48
82	4	47	1	2	47
