comnro	prid	exists
1	1	1
1	2	1
1	3	2
1	4	2
1	5	2
1	6	2
1	7	1
1	8	1
1	9	1
1	10	2
1	11	2
1	12	1
1	13	2
1	14	1
1	15	1
1	16	1
1	17	1
1	18	1
1	19	1
1	20	1
1	21	1
1	22	1
1	23	1
1	24	1
1	25	1
1	26	2
1	27	2
1	28	2
1	29	2
1	30	2
1	31	2
1	32	2
1	33	2
1	34	2
1	35	2
1	36	2
1	37	9
1	38	9
1	39	1
1	40	1
1	41	9
1	42	2
1	43	2
1	44	2
2	1	1
2	2	2
2	3	2
2	4	1
2	5	2
2	6	2
2	7	2
2	8	2
2	9	2
2	10	2
2	11	2
2	12	1
2	13	2
2	14	2
2	15	1
2	16	1
2	17	1
2	18	1
2	19	2
2	20	2
2	21	2
2	22	1
2	23	2
2	24	2
2	25	2
2	26	2
2	27	2
2	28	2
2	29	2
2	30	2
2	31	2
2	32	2
2	33	2
2	34	2
2	35	2
2	36	2
2	37	1
2	38	2
2	39	2
2	40	2
2	41	2
2	42	2
2	43	2
2	44	2
3	1	1
3	2	1
3	3	2
3	4	2
3	5	2
3	6	2
3	7	2
3	8	1
3	9	2
3	10	2
3	11	2
3	12	1
3	13	1
3	14	2
3	15	1
3	16	1
3	17	2
3	18	1
3	19	1
3	20	1
3	21	2
3	22	1
3	23	2
3	24	2
3	25	1
3	26	2
3	27	2
3	28	2
3	29	2
3	30	2
3	31	2
3	32	2
3	33	2
3	34	2
3	35	2
3	36	2
3	37	2
3	38	2
3	39	2
3	40	2
3	41	2
3	42	2
3	43	2
3	44	2
4	1	1
4	2	1
4	3	2
4	4	1
4	5	2
4	6	2
4	7	2
4	8	1
4	9	2
4	10	2
4	11	2
4	12	1
4	13	1
4	14	2
4	15	1
4	16	1
4	17	1
4	18	1
4	19	1
4	20	1
4	21	2
4	22	1
4	23	2
4	24	2
4	25	2
4	26	2
4	27	1
4	28	1
4	29	2
4	30	2
4	31	2
4	32	2
4	33	2
4	34	2
4	35	2
4	36	2
4	37	2
4	38	2
4	39	2
4	40	1
4	41	2
4	42	2
4	43	2
4	44	2
5	1	1
5	2	1
5	3	2
5	4	1
5	5	2
5	6	2
5	7	1
5	8	1
5	9	2
5	10	2
5	11	2
5	12	1
5	13	2
5	14	2
5	15	1
5	16	1
5	17	1
5	18	1
5	19	1
5	20	2
5	21	2
5	22	1
5	23	2
5	24	2
5	25	2
5	26	1
5	27	1
5	28	1
5	29	2
5	30	2
5	31	2
5	32	2
5	33	2
5	34	1
5	35	2
5	36	2
5	37	2
5	38	2
5	39	2
5	40	1
5	41	2
5	42	2
5	43	2
5	44	2
6	1	1
6	2	2
6	3	2
6	4	1
6	5	2
6	6	2
6	7	2
6	8	2
6	9	1
6	10	2
6	11	1
6	12	1
6	13	2
6	14	2
6	15	1
6	16	1
6	17	1
6	18	1
6	19	1
6	20	1
6	21	1
6	22	1
6	23	2
6	24	2
6	25	1
6	26	2
6	27	2
6	28	2
6	29	2
6	30	2
6	31	2
6	32	2
6	33	1
6	34	2
6	35	2
6	36	2
6	37	2
6	38	2
6	39	2
6	40	2
6	41	2
6	42	2
6	43	2
6	44	2
7	1	1
7	2	2
7	3	2
7	4	2
7	5	2
7	6	2
7	7	2
7	8	2
7	9	1
7	10	2
7	11	1
7	12	1
7	13	2
7	14	2
7	15	2
7	16	2
7	17	2
7	18	2
7	19	2
7	20	2
7	21	2
7	22	2
7	23	2
7	24	2
7	25	2
7	26	2
7	27	2
7	28	2
7	29	2
7	30	2
7	31	2
7	32	2
7	33	2
7	34	2
