comnro	credid	crdnme
2	1	5
2	2	4
3	1	5
3	2	4
4	1	5
4	2	2
4	3	5
4	4	4
5	1	5
5	2	5
5	3	4
6	1	8
7	1	4
8	1	8
9	1	8
10	1	4
11	1	8
12	1	8
13	1	2
14	1	2
15	1	9
16	1	1
17	1	8
18	1	4
18	2	88
19	1	4
19	2	88
20	1	4
20	2	88
21	1	88
22	1	4
22	2	88
23	1	2
23	2	88
24	1	88
25	1	3
26	1	8
27	1	8
28	1	5
28	2	8
29	1	8
30	1	3
30	2	8
31	1	4
31	2	8
32	1	3
32	2	3
32	3	5
32	4	8
33	1	88
34	1	88
35	1	88
36	1	88
37	1	88
38	1	88
39	1	88
40	1	8
41	1	8
42	1	2
42	2	8
43	1	8
44	1	8
44	2	8
44	3	8
45	1	8
46	1	8
47	1	8
48	1	8
49	1	1
49	2	3
49	3	3
49	4	8
50	1	2
50	2	4
50	3	8
51	1	4
51	2	8
52	1	8
53	1	8
54	1	8
55	1	8
56	1	88
56	2	88
57	1	88
58	1	5
58	2	88
59	1	88
60	1	88
61	1	9
61	2	88
62	1	9
62	2	9
62	3	9
62	4	9
62	5	9
63	1	88
64	1	88
65	1	88
66	1	88
68	1	88
69	1	1
69	2	88
70	1	88
70	2	88
70	3	88
70	4	88
71	1	88
72	1	88
73	1	1
73	2	4
73	3	2
73	4	88
74	1	88
