comnro	factid	factyp	factsz	factwgm	factwgf	factwgc
1	1	8	200	20	10	0
2	1	88	8888	8888	8888	8888
3	1	88	8888	8888	8888	8888
4	1	88	8888	8888	8888	8888
5	1	88	8888	8888	8888	8888
6	1	88	8888	8888	8888	8888
7	1	88	8888	8888	8888	8888
8	1	88	8888	8888	8888	8888
9	1	88	8888	8888	8888	8888
10	1	88	8888	8888	8888	8888
11	1	88	8888	8888	8888	8888
12	1	88	8888	8888	8888	8888
13	1	88	8888	8888	8888	8888
14	1	88	8888	8888	8888	8888
15	1	88	8888	8888	8888	8888
16	1	88	8888	8888	8888	8888
17	1	88	8888	8888	8888	8888
18	1	88	8888	8888	8888	8888
19	1	88	8888	8888	8888	8888
20	1	88	8888	8888	8888	8888
21	1	88	8888	8888	8888	8888
22	1	88	8888	8888	8888	8888
23	1	88	8888	8888	8888	8888
24	1	88	8888	8888	8888	8888
25	1	88	8888	8888	8888	8888
26	1	88	8888	8888	8888	8888
27	1	88	8888	8888	8888	8888
28	1	88	8888	8888	8888	8888
29	1	88	8888	8888	8888	8888
30	1	88	8888	8888	8888	8888
31	1	88	8888	8888	8888	8888
32	1	88	8888	8888	8888	8888
33	1	1	850	25	25	15
33	2	88	8888	8888	8888	8888
34	1	88	8888	8888	8888	8888
35	1	88	8888	8888	8888	8888
36	1	88	8888	8888	8888	8888
37	1	88	8888	8888	8888	8888
38	1	16	12	25	8888	8888
38	2	11	12	15	15	10
39	1	88	8888	8888	8888	8888
40	1	88	8888	8888	8888	8888
41	1	88	8888	8888	8888	8888
42	1	88	8888	8888	8888	8888
43	1	88	8888	8888	8888	8888
44	1	88	8888	8888	8888	8888
45	1	88	8888	8888	8888	8888
46	1	88	8888	8888	8888	8888
47	1	88	8888	8888	8888	8888
48	1	88	8888	8888	8888	8888
49	1	88	8888	8888	8888	8888
50	1	88	8888	8888	8888	8888
51	1	88	8888	8888	8888	8888
52	1	88	8888	8888	8888	8888
53	1	88	8888	8888	8888	8888
54	1	88	8888	8888	8888	8888
55	1	88	8888	8888	8888	8888
56	1	88	8888	8888	8888	8888
57	1	88	8888	8888	8888	8888
58	1	88	8888	8888	8888	8888
59	1	88	8888	8888	8888	8888
60	1	88	8888	8888	8888	8888
61	1	88	8888	8888	8888	8888
62	1	88	8888	8888	8888	8888
63	1	88	8888	8888	8888	8888
64	1	88	8888	8888	8888	8888
65	1	88	8888	8888	8888	8888
66	1	88	8888	8888	8888	8888
68	1	88	8888	8888	8888	8888
69	1	88	8888	8888	8888	8888
70	1	88	8888	8888	8888	8888
71	1	88	8888	8888	8888	8888
72	1	88	8888	8888	8888	8888
73	1	88	8888	8888	8888	8888
74	1	12	3	800	800	8888
74	2	4	4	8888	8888	8888
74	3	88	8888	8888	8888	8888
75	1	88	8888	8888	8888	8888
76	1	88	8888	8888	8888	8888
77	1	88	8888	8888	8888	8888
78	1	88	8888	8888	8888	8888
79	1	88	8888	8888	8888	8888
80	1	88	8888	8888	8888	8888
81	1	88	8888	8888	8888	8888
82	1	88	8888	8888	8888	8888
