comnro	helid	facility	heldis	heltme
1	1	1	1	5
1	2	2	88	88
1	3	2	88	88
1	4	2	88	88
1	5	2	88	88
1	6	1	1	5
1	7	2	88	88
1	8	1	1	10
1	9	2	88	88
1	10	8	88	88
2	1	2	12	60
2	2	2	12	60
2	3	1	0	0
2	4	2	12	60
2	5	2	12	60
2	6	2	12	60
2	7	2	12	60
2	8	1	0	0
2	9	2	12	60
2	10	2	12	60
3	1	2	88	88
3	2	2	88	88
3	3	1	0	0
3	4	2	88	88
3	5	2	88	88
3	6	2	88	88
3	7	2	88	88
3	8	2	88	88
3	9	2	88	88
3	10	8	88	88
4	1	2	88	88
4	2	2	88	88
4	3	1	0	88
4	4	2	88	88
4	5	1	2	88
4	6	2	88	88
4	7	2	2	88
4	8	2	88	88
4	9	2	88	88
4	10	8	88	88
5	1	2	12	15
5	2	2	12	15
5	3	1	0	0
5	4	2	12	15
5	5	2	12	15
5	6	2	12	15
5	7	2	12	15
5	8	1	0	0
5	9	2	12	15
5	10	2	12	15
6	1	2	99	99
6	2	2	99	99
6	3	2	99	99
6	4	2	99	99
6	5	2	99	99
6	6	2	99	99
6	7	2	99	99
6	8	2	99	99
6	9	2	99	99
6	10	1	0	0
7	1	2	99	88
7	2	2	88	88
7	3	2	88	88
7	4	2	88	88
7	5	2	88	88
7	6	2	88	88
7	7	2	88	88
7	8	2	88	88
7	9	2	88	88
7	10	1	0	0
8	1	2	88	88
8	2	2	88	88
8	3	2	88	88
8	4	2	88	88
8	5	3	99	60
8	6	2	88	88
8	7	2	88	88
8	8	3	9	60
8	9	2	88	88
8	10	8	88	88
9	1	2	99	99
9	2	2	99	99
9	3	1	0	88
9	4	2	99	99
9	5	2	99	99
9	6	2	99	99
9	7	2	99	99
9	8	2	99	99
9	9	2	99	99
9	10	8	99	99
10	1	2	88	88
10	2	2	88	88
10	3	2	88	88
10	4	2	88	88
10	5	2	88	88
10	6	2	88	88
10	7	2	88	88
10	8	2	88	88
10	9	2	88	88
10	10	1	0	0
11	1	2	99	99
11	2	2	99	99
11	3	3	4	80
11	4	2	99	99
11	5	2	99	99
11	6	2	99	99
11	7	2	99	99
11	8	3	4	80
11	9	9	99	99
11	10	9	99	99
12	1	2	88	88
12	2	2	88	88
12	3	3	2	120
12	4	2	88	88
12	5	2	88	88
12	6	2	88	88
12	7	2	88	88
12	8	3	2	120
12	9	2	88	88
12	10	8	88	88
13	1	2	88	88
13	2	2	88	88
13	3	1	0	10
13	4	2	88	88
13	5	2	88	88
13	6	2	88	88
13	7	2	88	88
13	8	1	0	10
13	9	2	88	88
13	10	8	88	88
14	1	2	77	180
14	2	2	77	180
14	3	1	0	0
14	4	2	77	180
14	5	2	77	180
14	6	2	77	180
14	7	2	77	180
14	8	1	0	0
14	9	2	77	180
14	10	8	88	88
15	1	2	80	180
15	2	2	80	180
15	3	1	0	0
15	4	2	80	180
15	5	2	80	180
15	6	2	80	180
15	7	2	80	180
15	8	1	0	0
15	9	2	80	180
15	10	2	80	180
16	1	2	78	180
16	2	2	78	180
16	3	1	0	0
16	4	2	78	180
16	5	2	78	180
16	6	2	78	180
16	7	2	78	180
16	8	1	0	0
16	9	2	78	180
16	10	2	78	180
17	1	2	99	99
17	2	2	99	99
17	3	2	99	99
17	4	2	99	99
17	5	2	99	99
17	6	2	99	99
17	7	2	99	99
17	8	2	99	99
17	9	2	99	99
17	10	8	99	99
18	1	2	99	240
18	2	2	99	240
18	3	2	99	60
18	4	2	99	240
18	5	2	99	240
18	6	2	99	240
18	7	2	99	240
18	8	2	99	240
18	9	2	99	240
18	10	8	99	99
19	1	2	99	180
19	2	2	99	180
19	3	1	0	0
19	4	2	99	180
19	5	2	99	180
19	6	2	99	180
19	7	2	99	180
19	8	2	99	180
19	9	2	99	180
19	10	1	2	60
20	1	2	88	88
20	2	2	88	88
20	3	2	99	60
20	4	2	88	88
20	5	2	88	60
20	6	2	88	88
20	7	2	88	88
20	8	2	99	60
20	9	2	88	88
20	10	8	88	88
21	1	2	99	180
21	2	2	99	180
21	3	2	0	0
21	4	2	99	180
21	5	2	99	180
21	6	2	99	180
21	7	2	99	180
21	8	1	0	0
21	9	2	99	180
21	10	2	99	180
22	1	2	8	8
22	2	2	8	8
22	3	2	3	90
22	4	2	8	8
22	5	2	8	8
22	6	2	8	8
22	7	2	8	8
22	8	2	3	90
22	9	2	8	8
22	10	8	8	8
23	1	3	40	120
23	2	2	8	8
23	3	2	8	8
23	4	2	8	8
23	5	1	0	5
23	6	2	8	8
23	7	2	8	8
23	8	1	0	5
23	9	2	8	8
23	10	2	8	8
24	1	2	99	60
