comnro	scid	schname	schdis	schtme
1	1	1	0	2
1	2	1	0	5
1	3	2	0	10
1	4	1	0	5
1	5	2	0	99
1	6	1	0	5
1	7	1	0	5
1	8	2	99	99
1	9	2	99	99
2	1	1	0	0
2	2	1	0	0
2	3	2	12	60
2	4	1	0	0
2	5	2	12	60
2	6	2	12	60
2	7	2	99	99
2	8	2	12	60
2	9	2	12	60
3	1	2	88	45
3	2	1	0	0
3	3	2	88	45
3	4	1	0	0
3	5	2	88	45
3	6	2	88	45
3	7	2	88	90
3	8	2	88	45
3	9	2	88	45
4	1	1	0	0
4	2	1	0	0
4	3	2	88	88
4	4	1	0	0
4	5	2	88	88
4	6	2	88	88
4	7	2	88	88
4	8	2	88	88
4	9	1	0	0
5	1	2	12	15
5	2	1	0	0
5	3	2	12	15
5	4	1	0	0
5	5	2	12	15
5	6	2	12	15
5	7	2	12	15
5	8	2	12	15
5	9	2	12	15
6	1	1	0	0
6	2	1	0	0
6	3	2	88	88
6	4	2	88	88
6	5	2	88	88
6	6	2	88	88
6	7	2	88	88
6	8	2	88	88
6	9	2	88	88
7	1	2	88	88
7	2	1	0	0
7	3	2	88	88
7	4	2	88	88
7	5	2	88	88
7	6	2	88	88
7	7	2	88	88
7	8	2	88	88
7	9	2	88	88
8	1	2	88	88
8	2	1	0	0
8	3	2	88	88
8	4	2	88	88
8	5	2	88	88
8	6	2	88	88
8	7	2	88	88
8	8	2	88	88
8	9	2	88	88
9	1	1	0	0
9	2	1	0	0
9	3	2	88	88
9	4	1	0	0
9	5	2	88	88
9	6	2	88	88
9	7	2	88	88
9	8	2	88	88
9	9	2	88	88
10	1	1	0	0
10	2	1	0	0
10	3	2	99	99
10	4	2	4	45
10	5	2	99	99
10	6	2	99	99
10	7	2	99	99
10	8	2	99	99
10	9	2	99	99
11	1	1	0	3
11	2	1	0	3
11	3	2	88	99
11	4	2	88	99
11	5	2	88	99
11	6	2	88	99
11	7	2	88	99
11	8	2	88	99
11	9	2	88	99
12	1	1	0	5
12	2	1	0	5
12	3	2	88	88
12	4	2	88	88
12	5	2	88	88
12	6	2	88	88
12	7	2	88	88
12	8	2	88	88
12	9	2	88	88
13	1	1	0	10
13	2	1	0	8
13	3	2	88	88
13	4	1	0	15
13	5	2	88	88
13	6	1	0	10
13	7	2	88	88
13	8	2	88	88
13	9	2	88	88
14	1	1	0	0
14	2	1	0	0
14	3	2	77	180
14	4	1	0	0
14	5	2	77	180
14	6	2	77	180
14	7	2	77	180
14	8	2	77	180
14	9	2	77	180
15	1	1	0	0
15	2	1	0	0
15	3	2	80	180
15	4	1	0	0
15	5	2	80	180
15	6	2	80	180
15	7	2	80	180
15	8	2	80	180
15	9	2	80	180
16	1	1	0	0
16	2	1	0	0
16	3	2	78	180
16	4	1	0	0
16	5	2	78	180
16	6	2	78	180
16	7	2	78	180
16	8	2	78	180
16	9	2	78	180
17	1	1	0	0
17	2	1	0	0
17	3	2	99	99
17	4	2	99	40
17	5	2	99	99
17	6	2	99	99
17	7	2	99	99
17	8	2	99	99
17	9	2	99	99
18	1	1	0	0
18	2	1	0	0
18	3	2	99	99
18	4	2	99	99
18	5	2	99	99
18	6	2	99	99
18	7	2	99	99
18	8	2	99	99
18	9	2	99	99
19	1	1	0	0
19	2	1	0	0
19	3	2	99	180
19	4	2	2	60
19	5	2	99	180
19	6	2	99	180
19	7	2	99	180
19	8	2	99	180
19	9	2	99	180
20	1	1	0	5
20	2	1	0	5
20	3	2	88	88
20	4	2	99	60
20	5	2	88	88
20	6	2	88	88
20	7	2	88	88
20	8	2	88	88
20	9	2	88	88
21	1	1	0	0
21	2	1	0	0
21	3	2	99	180
21	4	2	99	30
21	5	2	99	180
21	6	2	99	180
21	7	2	99	180
21	8	2	99	180
21	9	2	99	180
22	1	1	0	5
22	2	1	0	5
22	3	2	8	8
22	4	2	8	8
22	5	2	8	8
22	6	2	8	8
22	7	2	8	8
22	8	2	8	8
22	9	2	8	8
23	1	1	0	1
23	2	1	0	5
23	3	2	88	88
23	4	1	0	5
23	5	2	8	8
23	6	2	8	8
23	7	2	8	8
23	8	2	8	8
23	9	2	8	8
24	1	1	0	0
24	2	1	0	0
24	3	2	8	0
24	4	2	8	5
24	5	2	8	90
24	6	2	8	90
24	7	2	8	90
24	8	2	8	90
24	9	2	8	99
25	1	1	0	0
25	2	1	0	3
25	3	2	88	88
25	4	1	0	3
25	5	2	88	88
25	6	2	88	88
25	7	2	88	88
25	8	2	88	88
25	9	2	88	88
26	1	1	0	0
26	2	1	0	0
26	3	2	99	90
26	4	1	0	0
26	5	2	99	90
26	6	2	99	90
26	7	2	99	99
26	8	2	99	99
26	9	2	99	99
27	1	1	0	0
27	2	1	0	0
27	3	2	88	0
27	4	2	3	3
27	5	2	88	0
27	6	2	88	0
27	7	2	88	0
27	8	2	88	0
27	9	2	9	9
28	1	2	99	60
28	2	1	0	0
28	3	2	99	120
28	4	2	99	60
28	5	2	99	120
28	6	2	99	120
28	7	2	99	120
28	8	2	99	120
28	9	2	99	120
29	1	2	99	60
29	2	1	0	0
29	3	2	99	60
29	4	2	99	60
29	5	2	99	60
29	6	2	99	60
29	7	2	99	60
29	8	2	99	60
29	9	2	99	60
30	1	2	88	88
30	2	1	0	15
30	3	2	88	88
30	4	2	88	88
30	5	2	88	88
30	6	2	88	88
30	7	2	88	88
30	8	2	88	88
30	9	2	88	88
31	1	1	0	2
31	2	1	0	2
31	3	2	88	88
31	4	2	88	88
31	5	2	88	88
31	6	2	88	88
31	7	2	88	88
31	8	2	88	88
31	9	2	88	88
32	1	2	0	8
32	2	1	0	5
32	3	1	9	5
32	4	1	3	5
32	5	2	9	8
32	6	1	3	5
32	7	1	2	5
32	8	2	8	8
32	9	2	8	8
33	1	1	88	88
33	2	1	88	88
33	3	1	88	88
33	4	1	88	88
33	5	1	88	88
33	6	1	88	88
33	7	1	88	88
33	8	1	88	88
33	9	2	88	88
34	1	1	5	20
34	2	1	5	20
34	3	1	5	20
34	4	1	5	20
34	5	2	88	88
34	6	2	88	88
34	7	2	88	88
34	8	2	88	88
34	9	2	88	88
35	1	1	8	88
35	2	1	8	88
35	3	1	8	88
35	4	1	8	88
35	5	1	8	88
35	6	2	8	60
35	7	2	8	60
35	8	2	8	88
35	9	2	8	60
36	1	1	88	88
36	2	1	88	88
36	3	2	3	30
36	4	1	88	88
36	5	2	3	30
36	6	2	8	180
36	7	2	8	180
36	8	2	3	180
36	9	2	8	180
37	1	1	88	88
37	2	1	88	88
37	3	2	88	88
37	4	1	88	88
37	5	2	88	88
37	6	2	88	88
37	7	2	88	88
37	8	2	88	88
37	9	2	88	88
38	1	1	0	5
38	2	1	0	5
38	3	1	0	5
38	4	1	0	5
38	5	1	0	5
38	6	1	0	10
38	7	1	0	10
38	8	1	0	5
38	9	1	0	5
39	1	1	88	88
39	2	1	88	88
39	3	1	88	88
39	4	1	88	88
39	5	1	88	88
39	6	1	88	88
39	7	2	0	15
39	8	1	88	8
39	9	2	0	15
40	1	1	88	88
40	2	1	88	88
40	3	2	35	190
40	4	1	88	88
40	5	2	35	190
40	6	2	80	88
40	7	2	80	88
40	8	2	35	190
40	9	2	88	88
41	1	1	88	88
41	2	1	88	88
41	3	2	15	195
41	4	2	15	195
41	5	2	15	195
41	6	2	15	195
41	7	2	40	88
41	8	2	15	195
41	9	2	99	99
42	1	1	88	88
42	2	1	88	88
42	3	1	88	88
42	4	1	88	88
42	5	1	88	88
42	6	2	2	15
42	7	2	15	120
42	8	2	1	10
42	9	2	1	5
43	1	1	0	10
43	2	1	0	10
43	3	1	0	10
43	4	1	0	10
43	5	1	0	10
43	6	2	88	88
43	7	2	88	88
43	8	2	88	88
43	9	1	0	10
44	1	1	0	5
44	2	1	0	5
44	3	1	0	5
44	4	2	88	88
44	5	2	88	88
44	6	2	88	88
44	7	2	88	88
44	8	8	88	88
44	9	1	0	5
45	1	2	2	20
45	2	1	88	88
45	3	2	2	20
45	4	2	2	20
45	5	2	2	20
45	6	2	25	180
45	7	2	25	180
45	8	2	2	20
45	9	2	99	99
46	1	2	8	30
46	2	1	88	88
46	3	2	8	30
46	4	2	8	30
46	5	2	8	30
46	6	2	25	150
46	7	2	99	99
46	8	2	25	150
46	9	2	99	99
47	1	2	8	30
47	2	1	88	88
47	3	2	8	30
47	4	2	8	30
47	5	2	8	30
47	6	2	25	150
47	7	2	30	30
47	8	2	20	120
47	9	2	99	99
48	1	2	88	88
48	2	1	0	2
48	3	2	88	88
48	4	2	88	88
48	5	2	88	88
48	6	2	88	88
48	7	2	88	88
48	8	2	88	88
48	9	1	0	1
49	1	1	0	5
49	2	1	0	5
49	3	2	88	88
49	4	1	0	10
49	5	2	88	88
49	6	2	88	88
49	7	2	88	88
49	8	2	88	88
49	9	2	88	88
50	1	1	0	1
50	2	1	0	1
50	3	2	88	88
50	4	1	0	5
50	5	2	88	88
50	6	2	88	88
50	7	2	88	88
50	8	2	88	88
50	9	2	88	88
51	1	1	0	2
51	2	1	0	2
51	3	2	88	88
51	4	2	88	88
51	5	2	88	88
51	6	2	88	88
51	7	2	88	88
51	8	2	88	88
51	9	1	0	0
52	1	2	88	88
52	2	1	0	5
52	3	2	88	88
52	4	2	88	88
52	5	1	0	5
52	6	2	88	88
52	7	2	88	88
52	8	2	88	88
52	9	2	88	88
53	1	1	0	5
53	2	1	0	5
53	3	2	88	88
53	4	1	0	5
53	5	2	88	88
53	6	2	88	88
53	7	2	88	88
53	8	2	88	88
53	9	2	88	88
54	1	1	0	5
54	2	1	0	10
54	3	2	88	88
54	4	1	0	10
54	5	2	88	88
54	6	2	88	88
54	7	2	88	88
54	8	2	88	88
54	9	2	88	88
55	1	1	0	5
55	2	1	0	10
55	3	2	88	88
55	4	1	0	10
55	5	2	88	88
55	6	2	88	88
55	7	2	88	88
55	8	2	88	88
55	9	2	88	88
56	1	1	0	1
56	2	1	0	1
56	3	2	88	88
56	4	1	0	1
56	5	2	88	88
56	6	1	0	1
56	7	2	88	88
56	8	2	88	88
56	9	2	88	88
57	1	9	99	88
57	2	0	10	120
57	3	2	88	88
57	4	1	0	88
57	5	2	88	88
57	6	1	0	5
57	7	2	88	88
57	8	2	88	88
57	9	2	88	88
58	1	2	88	88
58	2	1	0	5
58	3	2	88	88
58	4	1	0	5
58	5	2	88	88
58	6	2	88	88
58	7	2	88	88
58	8	2	88	88
58	9	2	88	88
59	1	2	88	88
59	2	2	0	5
59	3	2	88	88
59	4	2	88	88
59	5	2	88	88
59	6	2	88	88
59	7	2	88	88
59	8	2	88	88
59	9	2	88	88
60	1	1	0	3
60	2	1	0	3
60	3	2	88	88
60	4	2	88	88
60	5	2	88	88
60	6	2	88	88
60	7	2	88	88
60	8	2	88	88
60	9	2	88	88
61	1	2	88	88
61	2	1	0	2
61	3	2	88	88
61	4	2	88	88
61	5	2	88	88
61	6	2	88	88
61	7	2	88	88
61	8	2	88	88
61	9	2	88	88
62	1	1	0	2
62	2	1	0	2
62	3	2	88	88
62	4	2	88	88
62	5	2	88	88
62	6	2	88	88
62	7	2	88	88
62	8	2	88	88
62	9	2	88	88
63	1	2	88	88
63	2	1	0	2
63	3	2	88	88
63	4	2	88	88
63	5	2	88	88
63	6	2	88	88
63	7	2	88	88
63	8	2	88	88
63	9	2	88	88
64	1	2	88	88
64	2	1	0	2
64	3	2	88	88
64	4	2	88	88
64	5	2	88	88
64	6	2	88	88
64	7	2	88	88
64	8	2	88	88
64	9	2	88	88
65	1	2	88	88
65	2	1	0	3
65	3	2	88	88
65	4	1	0	8
65	5	2	88	88
65	6	2	88	88
65	7	2	88	88
65	8	2	88	88
65	9	2	88	88
66	1	2	88	88
66	2	1	0	2
66	3	2	88	88
66	4	2	88	88
66	5	2	88	88
66	6	2	88	88
66	7	2	88	88
66	8	2	88	88
66	9	2	88	88
67	1	1	0	5
67	2	1	0	5
67	3	2	88	88
67	4	1	0	5
67	5	2	88	88
67	6	2	88	88
67	7	2	88	88
67	8	2	88	88
67	9	2	88	88
68	1	1	0	88
68	2	1	2	10
68	3	2	8	88
68	4	1	2	10
68	5	2	88	88
68	6	2	88	88
68	7	2	88	88
68	8	2	88	88
68	9	2	88	88
69	1	1	0	15
69	2	1	0	15
69	3	2	88	88
69	4	2	88	88
69	5	2	88	88
69	6	2	88	88
69	7	2	88	88
69	8	2	88	88
69	9	1	0	15
70	1	1	0	2
70	2	1	0	5
70	3	2	88	88
70	4	1	0	5
70	5	2	88	88
70	6	2	88	88
70	7	2	88	88
70	8	2	88	88
70	9	2	88	88
71	1	2	88	88
71	2	1	0	5
71	3	2	88	88
71	4	2	88	88
71	5	2	88	88
71	6	2	88	88
71	7	2	88	88
71	8	2	88	88
71	9	2	88	88
72	1	1	0	5
72	2	1	0	5
72	3	2	88	88
72	4	2	88	88
72	5	2	88	88
72	6	2	88	88
72	7	2	88	88
72	8	2	88	88
72	9	2	88	88
73	1	1	0	10
73	2	1	0	5
73	3	1	0	5
73	4	1	0	5
73	5	2	88	88
73	6	2	88	88
73	7	2	88	88
73	8	2	88	88
73	9	2	88	88
74	1	2	88	88
74	2	1	0	3
74	3	1	0	3
74	4	1	0	5
74	5	1	0	5
74	6	1	0	5
74	7	2	88	88
74	8	2	88	88
74	9	2	88	88
75	1	1	0	88
75	2	1	0	88
75	3	2	9	60
75	4	2	9	60
75	5	2	9	60
75	6	2	9	60
75	7	2	9	60
75	8	2	9	60
75	9	2	9	60
76	1	1	88	88
76	2	1	88	88
76	3	2	6	30
76	4	1	88	88
76	5	2	6	30
76	6	2	6	30
76	7	2	6	30
76	8	2	6	30
76	9	2	6	30
77	1	1	0	5
77	2	1	0	5
77	3	2	16	75
77	4	1	88	88
77	5	2	16	75
77	6	2	16	75
77	7	2	16	75
77	8	2	16	75
77	9	2	16	75
78	1	2	8	90
78	2	1	0	5
78	3	2	40	180
78	4	2	8	90
78	5	2	40	180
78	6	2	40	180
78	7	2	40	180
78	8	2	40	180
78	9	2	40	180
79	1	1	0	5
79	2	1	0	5
79	3	2	0	180
79	4	2	6	120
79	5	2	30	240
79	6	2	30	240
79	7	2	180	164
