formno	commid	marid	market	typmark	posell	mardis	martme
R1COMM	VN001	1	1	4	1	1	1
R1COMM	VN001	2	2	88	88	88	88
R1COMM	VN001	3	2	88	88	88	88
R1COMM	VN002	1	1	4	1	2	2
R1COMM	VN002	2	2	88	88	88	88
R1COMM	VN002	3	2	88	88	88	88
R1COMM	VN003	1	1	4	1	1	1
R1COMM	VN003	2	2	88	88	88	88
R1COMM	VN003	3	2	88	88	88	88
R1COMM	VN004	1	1	4	1	1	1
R1COMM	VN004	2	2	88	88	88	88
R1COMM	VN004	3	2	88	88	88	88
R1COMM	VN005	1	2	88	88	88	88
R1COMM	VN005	2	2	88	88	88	88
R1COMM	VN005	3	2	88	88	88	88
R1COMM	VN006	1	1	4	1	1	1
R1COMM	VN006	2	2	88	88	88	88
R1COMM	VN006	3	2	88	88	88	88
R1COMM	VN007	1	1	4	1	1	1
R1COMM	VN007	2	2	88	88	88	88
R1COMM	VN007	3	2	88	88	88	88
R1COMM	VN008	1	1	4	1	1	1
R1COMM	VN008	2	2	88	88	88	88
R1COMM	VN008	3	2	88	88	88	88
R1COMM	VN009	1	1	4	1	1	1
R1COMM	VN009	2	2	88	88	88	88
R1COMM	VN009	3	2	88	88	88	88
R1COMM	VN010	1	1	4	1	1	1
R1COMM	VN010	2	2	88	88	88	88
R1COMM	VN010	3	2	88	88	88	88
R1COMM	VN011	1	1	4	1	1	1
R1COMM	VN011	2	2	88	88	88	88
R1COMM	VN011	3	2	88	88	88	88
R1COMM	VN012	1	1	4	1	1	1
R1COMM	VN012	2	2	88	88	88	88
R1COMM	VN012	3	2	88	88	88	88
R1COMM	VN013	1	1	4	1	1	1
R1COMM	VN013	2	2	88	88	88	88
R1COMM	VN013	3	2	88	88	88	88
R1COMM	VN014	1	1	4	1	1	1
R1COMM	VN014	2	2	88	88	88	88
R1COMM	VN014	3	2	88	88	88	88
R1COMM	VN015	1	2	88	88	88	88
R1COMM	VN015	2	2	88	88	88	88
R1COMM	VN015	3	2	88	88	88	88
R1COMM	VN016	1	1	4	1	1	1
R1COMM	VN016	2	1	4	1	1	1
R1COMM	VN017	1	2	88	88	88	88
R1COMM	VN017	2	1	4	1	1	1
R1COMM	VN017	3	2	88	88	88	88
R1COMM	VN018	2	1	4	1	1	1
R1COMM	VN019	1	1	4	1	1	1
R1COMM	VN019	2	1	4	1	1	1
R1COMM	VN020	1	1	4	1	1	1
R1COMM	VN020	2	1	4	1	1	1
R1COMM	VN021	1	2	88	88	88	88
R1COMM	VN021	2	1	4	1	3	2
R1COMM	VN021	3	2	88	88	88	88
R1COMM	VN022	1	1	1	1	1	1
R1COMM	VN022	2	2	88	88	88	88
R1COMM	VN022	3	2	88	88	88	88
R1COMM	VN023	1	1	1	1	1	1
R1COMM	VN023	2	2	88	88	88	88
R1COMM	VN023	3	2	88	88	88	88
R1COMM	VN024	1	1	4	1	2	1
R1COMM	VN024	2	2	88	88	88	88
R1COMM	VN024	3	2	88	88	88	88
R1COMM	VN025	1	2	88	88	88	88
R1COMM	VN025	2	2	88	88	88	88
R1COMM	VN025	3	2	88	88	88	88
R1COMM	VN026	1	1	4	1	1	1
R1COMM	VN026	2	2	88	88	88	88
R1COMM	VN026	3	2	88	88	88	88
R1COMM	VN027	1	2	88	88	88	88
R1COMM	VN027	2	1	1	1	1	1
R1COMM	VN027	3	2	88	88	88	88
R1COMM	VN028	1	1	1	1	1	1
R1COMM	VN029	1	1	4	1	1	1
R1COMM	VN029	2	2	88	88	88	88
R1COMM	VN029	3	2	88	88	88	88
R1COMM	VN030	1	1	4	1	1	1
R1COMM	VN031	1	1	4	1	1	1
R1COMM	VN031	2	2	88	88	88	88
R1COMM	VN031	3	2	88	88	88	88
