formno	commid	credid	crdnme	v4040203	v4040204	v4040205	v4040206	v4040207
R1COMM	VN001	2	3	4	12	3	1	1
R1COMM	VN001	1	1	1	12	5	0	5
R1COMM	VN001	3	4	1	24	10	0	1
R1COMM	VN002	2	1	2	6	3	3	4
R1COMM	VN002	1	1	1	12	5	1	4
R1COMM	VN002	3	4	1	18	10	2	2
R1COMM	VN003	4	1	4	0	1	1	4
R1COMM	VN003	2	1	2	6	3	3	4
R1COMM	VN003	1	1	1	10.8000001907349	4	3	4
R1COMM	VN003	3	1	1	6	2	2	4
R1COMM	VN003	5	4	1	36	1	0	1
R1COMM	VN004	2	1	4	7.19999980926514	5	2	18
R1COMM	VN004	4	4	4	6	2	2	1
R1COMM	VN004	1	1	2	4.80000019073486	2	2	18
R1COMM	VN004	3	4	2	0	.300000011920929	0	1
R1COMM	VN005	1	1	4	12	7	2	12
R1COMM	VN005	3	1	4	6	3	2	12
R1COMM	VN005	4	1	4	6	3	2	12
R1COMM	VN005	2	1	2	6	3	2	12
R1COMM	VN006	1	1	1	12	10	1	13
R1COMM	VN006	2	4	1	48	3	0	1
R1COMM	VN007	3	3	4	6	2	3	0
R1COMM	VN007	2	1	2	6	7	1	2
R1COMM	VN007	1	1	1	6	5	3	2
R1COMM	VN007	4	1	1	11.3999996185303	8	3	2
R1COMM	VN007	5	1	1	96	5	1	0
R1COMM	VN008	1	1	2	6	2	2	2
R1COMM	VN008	2	1	1	7.19999980926514	10	3	2
R1COMM	VN008	3	1	1	10.8000001907349	15	2	2
R1COMM	VN008	4	4	1	84	5	1	1
R1COMM	VN009	1	1	1	12	10	2	5
R1COMM	VN009	2	4	1	36	3	0	1
R1COMM	VN010	1	1	1	12	18	1	1
R1COMM	VN010	2	4	1	34	5	0	1
R1COMM	VN011	1	1	2	6	5	2	1
R1COMM	VN011	2	1	1	1.20000004768372	7	2	1
R1COMM	VN011	3	4	1	36	4	1	1
R1COMM	VN012	2	1	2	6	3	1	8
R1COMM	VN012	1	1	1	8.39999961853027	3	2	34
R1COMM	VN012	3	4	1	108	5	1	1
R1COMM	VN013	1	1	2	6	3	1	9
R1COMM	VN013	2	1	1	13.1999998092651	10	2	9
R1COMM	VN014	1	1	1	12	5	1	1
R1COMM	VN014	2	4	1	60	10	0	1
R1COMM	VN015	1	1	2	2	5	5	38
R1COMM	VN016	3	3	4	12	3	2	0
R1COMM	VN016	1	1	1	12	10	5	1
R1COMM	VN016	2	4	1	14	2	1	0
R1COMM	VN017	1	1	1	8.39999961853027	30	0	0
R1COMM	VN018	1	1	1	11.7600002288818	10	3	4
R1COMM	VN019	1	1	1	9	10	1	26
R1COMM	VN020	1	1	2	12	5	3	1
R1COMM	VN021	1	1	1	2.70000004768372	10.1999998092651	2	40
R1COMM	VN022	2	1	4	6	2	3	0
R1COMM	VN022	4	1	3	6	2	3	0
R1COMM	VN022	1	1	1	11	10	3	0
R1COMM	VN022	3	4	1	18	5	1	1
R1COMM	VN023	2	1	4	6	3	2	0
R1COMM	VN023	3	1	3	6	3	2	0
R1COMM	VN023	1	1	1	12	10	3	5
R1COMM	VN024	1	1	1	10.8000001907349	5	3	3
R1COMM	VN024	2	1	1	18	10	0	1
R1COMM	VN025	1	1	1	8.39999961853027	5	1	2
R1COMM	VN025	2	4	1	15.6000003814697	2	0	1
R1COMM	VN026	1	1	1	9.60000038146973	30	5	3
R1COMM	VN026	2	4	1	12	20	0	1
R1COMM	VN027	1	1	1	11.3999996185303	30	1	5
R1COMM	VN027	2	4	1	12	10	1	1
R1COMM	VN028	3	3	4	0	1	1	0
R1COMM	VN028	2	1	3	8	5	2	1
R1COMM	VN028	4	3	3	1	1	1	0
R1COMM	VN028	1	1	2	5	5	3	1
R1COMM	VN029	1	1	2	12	5	3	1
R1COMM	VN029	2	3	2	12	1	1	1
R1COMM	VN029	3	3	2	12	1	1	1
R1COMM	VN030	2	3	3	12	1	1	1
R1COMM	VN030	1	1	2	12	2	2	2
R1COMM	VN031	1	1	2	12	5	3	1
R1COMM	VN031	2	3	2	12	10	3	1
R1COMM	VN031	3	3	2	12	10	3	1
