formno	commid	crpid	crop	harvest
R1COMM	VN001	1	1	5
R1COMM	VN001	2	13	4
R1COMM	VN001	3	2	5
R1COMM	VN002	1	1	5
R1COMM	VN002	2	13	2
R1COMM	VN002	3	7	1
R1COMM	VN003	1	13	2
R1COMM	VN003	2	28	4
R1COMM	VN003	3	1	5
R1COMM	VN004	1	1	5
R1COMM	VN004	2	19	4
R1COMM	VN004	3	28	4
R1COMM	VN005	1	13	2
R1COMM	VN005	2	28	4
R1COMM	VN005	3	1	5
R1COMM	VN006	1	1	5
R1COMM	VN006	2	19	4
R1COMM	VN006	3	28	4
R1COMM	VN007	1	1	5
R1COMM	VN007	2	19	4
R1COMM	VN007	3	27	4
R1COMM	VN008	1	1	5
R1COMM	VN008	2	19	4
R1COMM	VN008	3	13	4
R1COMM	VN009	1	28	4
R1COMM	VN009	2	27	4
R1COMM	VN009	3	28	4
R1COMM	VN010	1	27	4
R1COMM	VN010	2	1	5
R1COMM	VN010	3	19	4
R1COMM	VN011	1	1	5
R1COMM	VN011	2	19	4
R1COMM	VN011	3	27	4
R1COMM	VN012	1	27	5
R1COMM	VN012	2	27	4
R1COMM	VN012	3	19	4
R1COMM	VN013	1	27	4
R1COMM	VN013	2	1	5
R1COMM	VN013	3	19	4
R1COMM	VN014	1	19	4
R1COMM	VN014	2	27	4
R1COMM	VN014	3	28	4
R1COMM	VN015	1	1	5
R1COMM	VN015	2	28	1
R1COMM	VN015	3	10	5
R1COMM	VN016	1	1	5
R1COMM	VN016	2	2	1
R1COMM	VN016	3	28	1
R1COMM	VN017	1	28	4
R1COMM	VN017	2	17	2
R1COMM	VN017	3	13	4
R1COMM	VN018	1	17	2
R1COMM	VN018	2	20	4
R1COMM	VN018	3	27	4
R1COMM	VN019	1	1	5
R1COMM	VN019	2	2	5
R1COMM	VN019	3	4	5
R1COMM	VN020	1	2	5
R1COMM	VN020	2	28	1
R1COMM	VN020	3	1	5
R1COMM	VN021	1	1	5
R1COMM	VN021	2	20	4
R1COMM	VN021	3	17	2
R1COMM	VN022	1	1	5
R1COMM	VN022	2	10	1
R1COMM	VN022	3	23	1
R1COMM	VN023	1	2	5
R1COMM	VN023	2	10	5
R1COMM	VN023	3	28	1
R1COMM	VN024	1	1	5
R1COMM	VN024	2	27	1
R1COMM	VN024	3	23	1
R1COMM	VN025	1	1	5
R1COMM	VN025	2	2	5
R1COMM	VN025	3	27	1
R1COMM	VN026	1	1	1
R1COMM	VN026	2	27	4
R1COMM	VN026	3	10	1
R1COMM	VN027	1	1	5
R1COMM	VN027	2	3	5
R1COMM	VN027	3	27	4
R1COMM	VN030	1	1	1
R1COMM	VN030	2	3	4
R1COMM	VN030	3	1	5
