formno	commid	clustid1	region	supcode	suprdate	datacode	dedate
R1COMM	VN001	1	4	23	9/21/2002	1	11/30/2002
R1COMM	VN002	2	4	23	10/9/2002	1	11/30/2002
R1COMM	VN003	3	4	63	9/28/2002	1	11/30/2002
R1COMM	VN004	4	4	63	10/17/2002	1	11/30/2002
R1COMM	VN005	3	4	63	10/2/2002	1	11/30/2002
R1COMM	VN006	4	4	23	10/14/2002	1	11/30/2002
R1COMM	VN007	6	7	63	10/28/2002	1	11/30/2002
R1COMM	VN008	5	7	23	11/5/2002	1	11/30/2002
R1COMM	VN009	7	7	23	11/12/2002	1	11/30/2002
R1COMM	VN010	8	7	63	11/16/2002	2	11/30/2002
R1COMM	VN011	6	7	23	10/25/2002	2	11/30/2002
R1COMM	VN012	5	7	63	11/2/2002	1	11/30/2002
R1COMM	VN013	7	7	63	11/9/2002	1	11/30/2002
R1COMM	VN014	8	7	23	11/19/2002	1	11/30/2002
R1COMM	VN015	9	1	3	10/21/2002	1	11/30/2002
R1COMM	VN016	10	1	22	11/1/2002	1	11/30/2002
R1COMM	VN017	11	1	3	11/1/2002	1	11/30/2002
R1COMM	VN018	12	1	22	11/10/2002	1	11/30/2002
R1COMM	VN019	9	1	22	10/27/2002	1	11/30/2002
R1COMM	VN020	10	1	22	11/2/2002	1	11/30/2002
R1COMM	VN021	12	1	3	11/18/2002	1	11/30/2002
R1COMM	VN022	13	2	3	7/27/2002	2	11/30/2002
R1COMM	VN023	14	2	23	8/2/2002	2	10/30/2002
R1COMM	VN024	15	2	43	7/29/2002	2	11/30/2002
R1COMM	VN025	16	2	 	7/22/2002	2	11/30/2002
R1COMM	VN026	16	2	63	7/22/2002	2	11/30/2002
R1COMM	VN027	15	2	63	8/1/2002	2	11/30/2002
R1COMM	VN028	17	4	3	9/24/2002	2	11/30/2002
R1COMM	VN029	18	4	22	10/8/2002	2	11/30/2002
R1COMM	VN030	19	4	22	10/14/2002	2	11/30/2002
R1COMM	VN031	20	4	3	9/29/2002	2	11/3/2002
