formno	commid	area	pop	v4010301	popchg	land1	land2	land3	land4	land5	land6	land7	land8	land9	land10	v4010511	city	szcit	twndis	subzone	waste	airpol	watpol	contsoil	shanty	semi	perm	story	bigmult	smalmult
R1COMM	VN001	1378	12120	2587	1	1	 	1	 	 	 	 	 	 	 	1	2	 	5	2	3	3	2	3	2	1	1	2	2	1
R1COMM	VN002	2319	11266	2439	1	1	 	1	 	 	 	 	 	 	 	1	2	 	17	2	3	3	2	3	1	1	1	2	2	2
R1COMM	VN003	3564	4828	1091	1	1	 	1	 	 	 	 	 	 	1	 	2	 	4	5	3	2	2	2	1	1	1	2	2	2
R1COMM	VN004	1184	3485	675	1	1	1	1	 	 	 	 	 	 	 	 	2	 	18	2	3	3	3	3	1	1	1	2	2	2
R1COMM	VN005	9195	2978	633	1	1	1	1	 	 	 	 	 	 	 	 	2	 	12	5	3	3	2	3	1	1	2	2	2	2
R1COMM	VN006	2220	4989	1123	2	1	 	1	 	 	 	 	 	 	 	1	2	 	13	2	3	2	3	3	1	1	1	2	2	2
R1COMM	VN007	2300	7797	1813	1	1	 	1	1	 	 	 	 	 	 	 	2	 	3	2	3	3	1	3	1	1	1	2	2	2
R1COMM	VN008	2147.30004882813	7276	1625	1	1	 	1	 	 	 	 	 	1	 	 	2	 	2	2	3	2	1	3	1	1	1	2	2	2
R1COMM	VN009	2580.19995117188	13492	2993	1	1	 	1	1	 	 	 	 	 	 	 	2	 	21	2	3	3	2	3	2	1	1	2	2	2
R1COMM	VN010	1612.40002441406	11039	2787	1	1	 	1	 	 	 	 	 	 	 	1	2	 	6	2	3	2	2	3	2	1	1	2	2	2
R1COMM	VN011	1106	5472	1242	1	1	 	1	1	 	 	 	 	 	 	 	2	 	25	2	3	3	1	3	1	1	1	2	2	2
R1COMM	VN012	797.299987792969	4697	1113	3	1	 	1	 	 	 	 	 	1	 	 	2	 	34	2	3	3	2	3	1	1	1	2	2	2
R1COMM	VN013	368.200012207031	4260	1059	1	1	 	1	 	 	 	1	 	 	 	 	2	 	9	2	3	3	1	3	1	1	1	2	2	2
R1COMM	VN014	889	12492	3156	1	1	 	1	1	 	 	 	 	 	 	 	2	 	3	2	3	3	2	2	2	1	1	2	2	2
R1COMM	VN015	2594	2377	384	3	1	 	1	 	 	 	 	 	 	 	1	2	 	40	5	3	3	3	3	1	2	2	2	2	2
R1COMM	VN016	6224	5087	1095	1	 	 	1	 	 	 	 	 	 	1	1	2	 	25	5	3	2	2	2	1	1	1	2	2	2
R1COMM	VN017	5837	11825	2647	1	1	 	1	1	 	 	 	 	 	 	 	2	 	14	5	3	2	2	2	1	1	1	2	2	2
R1COMM	VN018	4303	5546	1145	1	1	1	1	 	 	 	 	 	 	1	 	2	 	17	5	3	3	2	2	2	1	1	2	2	2
R1COMM	VN019	1460	1598	303	1	1	 	1	 	 	 	 	 	 	 	1	2	 	26	5	3	3	3	3	1	1	2	2	2	2
R1COMM	VN020	385	2094	478	1	1	 	1	 	 	 	 	 	 	 	 	2	 	1	5	3	3	3	3	1	2	2	2	2	2
R1COMM	VN021	9489	8292	1791	1	1	 	1	1	 	 	 	 	 	 	 	2	 	40	5	3	3	3	3	1	1	1	2	2	2
R1COMM	VN022	400	11558	2649	1	1	 	1	1	 	 	 	 	 	 	 	2	 	3	3	3	3	3	3	2	1	1	2	2	2
R1COMM	VN023	6546	6606	1605	1	1	 	1	1	 	 	 	 	 	 	 	2	 	4	3	3	3	3	3	2	1	1	2	2	2
R1COMM	VN024	720	6782	1888	3	1	 	1	1	 	 	 	 	 	 	 	2	 	3	3	3	2	3	3	2	1	1	1	2	2
R1COMM	VN025	594	5400	1285	1	1	 	1	1	 	 	 	 	 	 	 	2	 	9	3	3	3	2	3	2	1	2	2	2	2
R1COMM	VN026	920	11750	2735	1	1	 	1	1	 	 	 	 	 	 	 	2	 	3	3	3	3	3	3	2	1	1	1	2	2
R1COMM	VN027	120	7547	2003	1	1	 	1	1	 	 	 	 	 	 	 	2	 	5	3	3	2	3	3	2	1	1	1	2	1
R1COMM	VN028	72	18206	3614	2	1	 	 	 	 	 	1	1	 	 	 	1	734821	 	3	3	1	2	1	1	1	1	2	2	2
R1COMM	VN029	94	15552	3255	1	1	 	 	 	 	 	 	 	1	 	1	1	734821	 	2	3	1	2	1	2	1	1	1	1	1
R1COMM	VN030	5372	21730	4846	1	1	 	1	 	1	 	 	 	 	 	 	1	734821	 	3	3	2	1	2	2	1	1	2	2	2
R1COMM	VN031	229	23764	4490	1	1	 	1	 	 	 	 	 	 	 	1	1	734821	 	2	3	2	3	2	1	1	1	2	1	1
