CHILDID	REMID	REMREL	REMQNT	REMTYPE
ET011006	1	2	3	1
ET011009	1	6	1	1
ET011016	1	2	3	1
ET011017	1	2	2	2
ET011020	1	5	3	1
ET011041	1	4	6	3
ET021011	1	2	3	1
ET021013	1	2	2	2
ET021019	1	3	2	2
ET021019	2	1	5	1
ET021022	1	3	3	1
ET021028	1	5	5	2
ET021030	1	5	1	1
ET031001	1	6	5	1
ET031005	1	2	2	1
ET031007	1	2	1	2
ET031015	1	6	4	1
ET031033	1	2	1	1
ET031035	1	1	3	1
ET031037	1	2	3	3
ET031040	1	2	2	1
ET031045	1	1	3	1
ET041010	1	2	3	1
ET041025	1	3	1	2
ET041031	1	2	2	3
ET041040	1	1	3	1
ET041045	1	2	1	1
ET041048	1	2	3	1
ET051013	1	1	2	3
ET051022	1	1	1	2
ET051028	1	1	8	1
ET051030	1	1	1	3
ET051040	1	4	1	2
ET061022	1	6	2	2
ET071005	1	2	1	1
ET071017	1	2	1	2
ET071048	1	1	5	1
ET091010	1	3	1	2
ET091031	1	4	2	2
ET111022	5	5	2	1
ET111039	1	5	1	2
ET111039	2	2	1	2
ET111039	3	2	1	2
ET121015	1	1	2	2
ET121023	1	1	2	1
ET121023	2	4	1	2
ET121023	3	4	1	3
ET121025	1	1	4	2
ET121025	2	4	2	2
ET121025	3	5	7	2
ET121026	1	4	2	3
ET121026	2	5	3	3
ET121027	1	1	2	2
ET121029	1	4	2	3
ET121029	2	5	2	3
ET121030	1	1	2	3
ET121030	2	2	2	3
ET121030	3	4	3	3
ET121030	4	5	2	3
ET121034	1	1	3	3
ET121034	2	2	2	3
ET121034	3	4	4	3
ET121034	4	5	4	3
ET121040	1	1	2	1
ET121041	1	2	2	3
ET121041	2	4	2	3
ET121045	1	4	5	3
ET121048	1	1	2	3
ET121048	2	4	4	3
ET121053	1	1	3	1
ET121053	2	2	2	2
ET121053	3	4	4	2
ET121053	4	5	4	2
ET121056	1	1	1	1
ET121056	2	3	1	1
ET121056	3	5	1	2
ET121057	1	1	4	2
ET121057	2	2	2	2
ET121057	3	4	4	2
ET121057	4	5	4	2
ET131015	1	1	3	3
ET131028	1	1	3	1
ET141011	1	2	4	3
ET141013	1	5	1	1
ET141014	1	2	2	3
ET141014	2	5	3	3
ET141027	1	1	9	1
ET141036	1	5	2	1
ET141038	1	2	2	1
ET141047	1	4	3	1
ET161007	1	2	2	3
ET161015	1	2	1	2
ET161020	1	2	2	3
ET161021	1	5	1	2
ET161024	1	5	3	3
ET161026	1	2	3	2
ET161027	1	2	1	2
ET161028	1	5	2	2
ET161032	1	5	2	2
ET161034	1	5	1	1
ET161035	1	5	2	2
ET161038	1	4	3	3
ET161040	1	2	3	2
ET161041	1	2	3	2
ET161042	1	5	2	2
ET161044	1	2	2	2
ET161048	1	5	4	2
ET161049	1	6	3	3
ET161050	1	5	1	2
ET171038	1	1	3	3
ET191039	1	1	3	1
ET201015	1	2	1	2
ET201038	1	1	8	2
ET201041	1	1	4	1
ET201050	1	1	2	1
