CHILDID	OUTID	REMREL	REMQNT	REMTYPE
ET011001	1	2	7	3
ET011018	1	1	2	1
ET011025	1	1	3	1
ET011041	1	5	5	3
ET011042	1	1	2	3
ET021006	1	1	7	3
ET021008	1	4	1	2
ET021015	1	3	3	3
ET021022	1	3	3	1
ET021024	1	3	1	2
ET021032	1	4	1	2
ET021039	1	4	12	1
ET021043	1	3	1	3
ET021045	1	6	1	3
ET031002	1	1	2	1
ET031005	1	5	2	2
ET031007	1	2	6	3
ET031014	1	3	6	1
ET031018	1	3	2	99
ET031022	1	3	2	2
ET031022	2	3	12	1
ET031029	1	2	1	2
ET031032	1	2	2	1
ET031036	1	3	1	2
ET031036	2	3	1	2
ET031039	1	2	3	2
ET031050	1	5	3	3
ET041007	1	2	2	2
ET041010	1	3	1	99
ET041011	1	2	2	1
ET041031	1	3	12	3
ET041043	1	2	1	1
ET041043	2	3	12	1
ET051012	1	1	5	3
ET051012	2	4	4	3
ET051015	1	1	6	2
ET051039	1	3	6	2
ET051040	1	4	1	2
ET061011	1	2	1	2
ET071014	1	4	3	2
ET071015	1	4	1	3
ET071025	1	1	1	1
ET071049	1	4	1	2
ET071049	2	5	1	2
ET081040	1	4	5	2
ET091018	1	4	3	3
ET091027	1	3	9	3
ET091042	1	2	1	2
ET091050	1	6	1	2
ET101003	1	3	12	1
ET101019	1	6	4	2
ET101021	1	2	2	3
ET101023	1	6	3	2
ET101042	1	2	12	1
ET111015	1	2	3	3
ET111016	1	1	12	2
ET111020	1	3	2	3
ET111038	1	2	2	3
ET111038	2	3	2	3
ET111039	1	5	1	2
ET111039	2	2	1	2
ET111039	3	5	1	2
ET121003	1	1	12	2
ET121004	1	1	2	2
ET121004	2	1	1	2
ET121005	1	2	2	2
ET121005	2	1	1	2
ET121007	1	1	1	3
ET121007	2	3	1	2
ET121009	1	1	1	3
ET121010	1	1	1	3
ET121013	1	1	1	2
ET121013	2	2	1	1
ET121015	1	3	2	3
ET121017	1	1	1	1
ET121018	1	2	3	3
ET121018	2	3	3	3
ET121020	1	3	1	3
ET121022	1	3	1	3
ET121024	1	2	3	1
ET121024	2	4	4	2
ET121025	1	1	2	2
ET121025	2	4	4	2
ET121025	3	5	7	2
ET121026	1	1	2	3
ET121026	2	4	2	3
ET121028	1	3	1	2
ET121028	2	5	1	2
ET121029	1	1	4	3
ET121029	2	4	3	3
ET121029	3	5	3	3
ET121030	1	1	2	1
ET121030	2	2	2	2
ET121030	3	4	2	3
ET121030	4	5	6	3
ET121033	1	1	2	2
ET121034	1	1	3	3
ET121034	2	2	2	3
ET121034	3	4	6	3
ET121034	4	5	6	3
ET121040	1	1	1	2
ET121040	2	2	1	2
ET121041	1	2	3	2
ET121041	2	3	3	2
ET121043	1	1	2	2
ET121043	2	3	1	2
ET121044	1	3	3	2
ET121044	2	1	1	2
ET121046	1	1	2	3
ET121046	2	3	1	1
ET121047	1	1	1	3
ET121049	1	3	1	3
ET121053	1	1	2	3
ET121053	2	4	3	3
ET121053	3	5	5	3
ET121055	1	2	2	1
ET121057	1	1	4	99
ET121057	2	2	2	99
ET121057	3	4	4	99
ET121057	4	5	10	99
ET141001	1	3	3	1
ET141004	1	3	2	2
ET141004	2	6	5	2
ET141005	1	5	2	2
ET141008	1	2	12	3
ET141017	1	3	2	2
ET141029	1	5	1	1
ET141031	1	5	2	1
ET141033	1	5	2	1
ET141035	1	3	2	2
ET141040	1	5	6	1
ET141047	1	5	6	3
ET141048	1	5	4	1
ET141049	1	2	2	1
ET181018	1	4	5	2
ET201010	1	2	4	3
