CHILDID	PLOT	LAREA	LOWN	LUSE
ET041001	1	5000	4	1
ET041003	1	7500	4	1
ET041005	1	5000	4	1
ET041006	1	5000	4	1
ET041007	1	5000	4	1
ET041008	1	5000	4	1
ET041012	1	5000	4	1
ET041015	1	2500	4	1
ET041021	1	7500	4	1
ET041026	1	2500	4	1
ET041028	1	5000	4	1
ET041030	1	5000	4	1
ET041034	1	5000	4	1
ET041034	2	5000	4	1
ET041034	3	2500	4	1
ET041034	4	1250	4	2
ET041037	1	2500	4	1
ET041038	1	2500	4	1
ET041041	1	2500	4	1
ET041041	2	2500	4	1
ET041042	1	2500	3	1
ET041045	1	2500	4	1
ET041047	1	5000	4	1
ET041049	1	2500	3	1
ET041050	1	7500	4	1
ET051002	1	10000	4	1
ET051002	2	12500	4	1
ET051002	3	7500	4	1
ET051003	1	5000	4	1
ET051003	2	7500	4	1
ET051004	1	10000	4	1
ET051004	2	5000	4	1
ET051004	3	5000	4	1
ET051005	1	2500	4	1
ET051006	1	2500	4	1
ET051006	2	1250	4	1
ET051007	1	15000	4	1
ET051007	2	10000	3	1
ET051007	3	5000	3	1
ET051008	1	5000	4	1
ET051009	1	5000	4	1
ET051010	1	5000	4	1
ET051011	1	2500	4	1
ET051011	2	7500	4	1
ET051012	1	5000	4	1
ET051013	1	5000	4	1
ET051015	1	5000	4	1
ET051016	1	7500	4	1
ET051017	1	5000	4	1
ET051017	2	2500	4	1
ET051018	1	7500	4	1
ET051018	2	10000	4	1
ET051019	1	5000	4	1
ET051019	2	2500	4	1
ET051019	3	2500	4	1
ET051020	1	5000	4	1
ET051020	2	5000	4	1
ET051021	1	7500	4	1
ET051022	1	7500	4	1
ET051024	1	5000	4	1
ET051025	1	5000	4	1
ET051025	2	5000	3	1
ET051025	3	1250	3	1
ET051025	4	3750	3	1
ET051026	1	5000	4	1
ET051026	2	5000	4	1
ET051027	1	15000	3	1
ET051027	2	10000	3	1
ET051027	3	7500	3	1
ET051028	1	2500	3	1
ET051030	1	5000	3	1
ET051030	2	5000	3	1
ET051030	3	5000	3	1
ET051031	1	5000	4	1
ET051032	1	5000	4	1
ET051032	2	5000	4	1
ET051032	3	5000	4	1
ET051035	1	10000	4	1
ET051036	1	7500	4	1
ET051037	1	7500	4	1
ET051038	1	2500	4	1
ET051038	2	2500	4	1
ET051038	3	5000	3	1
ET051038	4	2500	3	1
ET051039	1	20000	4	1
ET051039	2	3750	4	1
ET051039	3	20000	4	1
ET051039	4	20000	4	1
ET051040	1	12500	4	1
ET051040	2	7500	4	1
ET051040	3	7500	4	1
ET051040	4	2500	4	1
ET051041	1	5000	4	1
ET051041	2	5000	4	1
ET051042	1	30000	4	1
ET051042	2	30000	4	1
ET051044	1	15000	4	1
ET051044	2	10000	4	1
ET051044	3	7500	4	1
ET051045	1	5000	4	1
ET051045	2	5000	4	1
ET051046	1	5000	4	1
ET051046	2	2500	4	1
ET051047	1	7500	4	1
ET051048	1	12500	4	1
ET051048	2	10000	4	1
ET051048	3	7500	3	1
ET051049	1	5000	4	1
ET051049	2	2500	4	1
ET051049	3	5000	4	1
