childid	id	age	sex	relate	still	yrschool	disabled	support	grading
IN011001	1	35	1	1	2	24	2	1	7
IN011001	2	27	2	1	2	23	2	2	5
IN011001	3	10	1	5	1	23	2	2	5
IN011002	1	75	2	3	2	0	1	2	0
IN011002	2	35	1	2	2	25	2	1	10
IN011002	3	30	2	1	2	24	2	1	7
IN011002	4	13	1	5	1	25	2	2	9
IN011002	5	12	1	5	1	25	2	2	8
IN011003	1	30	1	1	2	23	2	1	5
IN011003	2	23	2	1	2	24	2	1	7
IN011003	3	7	2	5	1	23	2	2	1
IN011003	28	4	1	5	 	 	2	 	2
IN011004	1	40	1	1	2	24	2	1	7
IN011004	2	27	2	1	2	0	2	1	2
IN011004	3	11	1	5	1	24	2	2	6
IN011005	1	63	2	3	2	23	2	2	5
IN011005	2	35	1	1	2	25	2	1	15
IN011005	3	29	2	1	2	25	2	2	15
IN011005	4	7	1	5	1	23	2	2	1
IN011006	1	38	1	1	2	23	2	1	5
IN011006	2	26	2	1	2	0	2	1	0
IN011006	3	11	1	5	1	23	2	2	5
IN011007	1	40	1	1	2	24	2	1	7
IN011007	2	30	2	1	2	23	2	1	5
IN011007	3	15	1	5	2	23	2	2	5
IN011007	4	11	2	5	1	23	2	2	5
IN011008	1	40	1	1	2	25	2	1	10
IN011008	2	33	2	1	2	25	2	2	10
IN011008	3	15	1	5	2	25	2	2	12
IN011008	4	11	2	5	1	24	2	2	6
IN011009	1	30	1	1	2	0	2	1	0
IN011009	2	28	2	1	2	0	2	1	0
IN011009	3	12	2	5	1	24	2	2	6
IN011010	1	55	2	3	2	23	2	2	5
IN011010	2	30	1	1	2	25	2	1	15
IN011010	3	24	2	1	2	25	2	1	10
IN011010	4	20	2	4	1	25	2	2	15
IN011010	5	6	1	5	1	22	2	2	0
IN011011	1	60	1	3	2	25	2	2	10
IN011011	2	57	2	3	2	0	2	2	0
IN011011	3	30	1	1	2	24	2	1	7
IN011011	4	25	2	1	2	23	2	1	5
IN011011	5	6	2	5	1	23	2	2	1
IN011012	1	70	2	3	2	23	2	2	5
IN011012	2	35	1	1	2	25	2	1	10
IN011012	3	30	2	1	2	25	2	2	10
IN011012	4	14	2	5	1	24	2	2	6
IN011012	5	11	1	5	1	23	2	2	5
IN011013	1	42	2	1	2	25	2	1	15
IN011014	1	52	1	1	2	23	2	1	5
IN011014	2	45	2	1	2	25	2	2	15
IN011014	3	18	2	5	2	24	2	2	7
IN011015	1	28	1	1	2	25	2	1	10
IN011015	2	25	2	1	2	23	2	1	5
IN011015	3	6	1	5	1	23	2	2	1
IN011016	1	38	1	1	2	25	2	1	10
IN011016	2	31	2	1	2	25	2	2	10
IN011016	3	6	1	5	1	23	2	2	1
IN011017	1	36	1	1	2	0	2	1	0
IN011017	2	29	2	1	2	0	2	2	0
IN011017	3	11	2	5	1	23	2	2	5
IN011018	1	80	1	3	2	0	2	2	0
IN011018	2	70	2	3	2	0	2	2	0
IN011018	3	40	1	1	2	0	2	1	0
IN011018	4	31	2	1	2	0	2	2	0
IN011018	5	30	1	4	2	23	2	2	5
IN011018	6	23	2	4	2	23	2	2	4
IN011018	7	15	1	5	1	25	2	2	10
IN011018	8	14	1	5	2	23	2	2	5
IN011018	9	13	1	5	1	24	2	2	6
IN011018	10	10	1	5	1	23	2	2	3
IN011018	11	6	2	6	1	22	2	2	0
IN011018	28	3	1	6	 	 	2	 	0
IN011019	1	32	1	1	2	0	2	1	0
IN011019	2	30	2	1	2	23	2	2	4
IN011020	1	35	1	1	2	25	2	1	15
IN011020	2	33	2	1	2	25	2	1	15
IN011020	3	6	1	5	1	23	2	2	2
IN011021	1	80	2	3	2	0	1	2	0
IN011021	2	51	2	3	2	0	2	1	0
IN011021	3	28	2	1	2	0	1	2	0
IN011021	4	13	2	5	1	24	2	2	6
IN011021	5	6	2	5	1	22	2	2	0
IN011021	6	5	2	5	1	22	2	2	0
IN011022	1	55	1	3	2	25	2	1	10
IN011022	2	53	2	3	2	24	2	2	7
IN011022	3	37	1	4	2	25	2	1	15
IN011022	4	33	1	1	2	25	2	2	12
IN011022	5	32	2	4	2	25	2	2	15
IN011022	6	29	2	1	2	25	2	2	15
IN011022	7	12	1	5	1	25	2	2	8
IN011022	8	6	2	5	1	23	2	2	3
IN011023	1	35	1	1	2	0	2	1	0
IN011023	2	30	2	1	2	23	2	1	3
IN011023	3	14	2	5	1	25	2	2	10
IN011023	4	13	1	5	1	25	2	2	9
IN011024	1	45	1	3	2	25	2	1	9
IN011024	2	40	2	3	2	24	2	1	6
IN011024	3	26	1	1	2	24	2	1	7
IN011024	4	24	2	2	2	24	2	1	6
IN011024	5	22	1	4	2	25	2	1	10
IN011024	6	22	1	4	2	24	2	1	7
IN011025	1	30	1	1	2	24	2	1	6
IN011025	2	27	2	1	2	25	2	1	8
IN011025	3	6	1	5	1	22	2	2	0
IN011026	1	36	1	1	2	25	2	2	10
IN011026	2	29	2	1	2	25	2	2	12
IN011026	3	7	1	5	1	23	2	2	2
IN011027	1	39	1	1	2	25	2	1	10
IN011027	2	35	2	1	2	25	2	2	12
IN011027	3	13	1	5	1	25	2	2	8
IN011028	1	45	1	1	2	0	2	1	0
IN011028	2	40	2	1	2	0	2	2	0
IN011028	3	17	2	5	2	0	2	2	0
IN011028	4	12	1	5	1	23	2	2	4
IN011029	1	35	1	1	2	25	2	1	12
IN011029	2	30	2	1	2	25	2	2	12
IN011029	3	7	1	5	1	23	2	2	1
IN011030	1	60	2	3	2	23	2	2	3
IN011030	2	35	1	1	2	25	2	1	8
IN011030	3	32	2	1	2	25	2	2	9
IN011031	1	55	1	3	2	23	2	1	4
IN011031	2	50	2	3	2	0	2	2	0
IN011031	3	18	2	4	2	24	2	2	7
IN011031	4	16	2	4	2	25	2	2	10
IN011032	1	32	1	1	2	0	2	1	0
IN011032	2	29	2	1	2	23	2	2	5
IN011032	3	13	2	5	1	25	2	2	8
