CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
IN011001	1	1	2	12	2	45
IN011001	2	2	2	12	4	17
IN011001	3	2	2	12	3	74
IN011002	1	1	1	12	1	75
IN011003	1	1	1	12	1	45
IN011004	1	1	1	12	1	45
IN011005	1	1	1	12	1	17
IN011006	1	1	2	12	2	45
IN011006	2	1	2	8	2	45
IN011007	1	1	2	8	3	15
IN011007	2	3	2	10	2	93
IN011008	1	1	2	12	1	45
IN011009	1	1	2	12	2	45
IN011010	1	1	2	12	1	1
IN011011	1	3	1	12	1	75
IN011011	2	4	2	12	1	74
IN011012	1	2	1	12	1	52
IN011012	2	3	2	12	1	74
IN011013	1	1	2	12	1	80
IN011014	1	1	1	12	1	50
IN011015	1	1	1	12	1	60
IN011016	1	1	1	12	1	52
IN011017	1	1	2	12	1	45
IN011018	1	3	2	12	1	1
IN011018	2	5	2	12	1	45
IN011019	1	1	1	12	2	45
IN011020	1	1	2	12	1	74
IN011021	1	2	2	12	3	17
IN011022	1	1	2	12	1	65
IN011022	2	3	2	12	1	52
IN011022	3	4	2	12	1	52
IN011023	1	1	2	12	1	17
IN011024	1	1	1	12	1	74
IN011024	2	3	1	12	1	17
IN011024	3	4	1	12	1	17
IN011024	4	5	1	12	1	17
IN011025	1	1	2	12	1	36
IN011026	1	1	2	12	1	52
IN011027	1	1	2	12	1	17
IN011027	2	2	2	12	1	52
IN011028	1	1	2	12	1	93
IN011028	2	2	2	12	2	93
IN011028	3	3	2	12	2	95
IN011029	1	1	1	12	1	75
IN011030	1	1	1	12	1	17
IN011031	1	1	2	12	1	17
IN011031	2	2	2	12	3	45
IN011032	1	1	2	12	1	45
IN011033	1	1	2	12	1	93
IN011033	2	2	2	12	1	93
IN011034	1	2	1	12	1	75
IN011034	2	3	1	12	1	74
IN011035	1	1	2	12	1	74
IN011036	1	3	2	12	1	74
IN011037	1	1	2	12	1	74
IN011038	1	1	1	10	1	17
IN011038	2	2	1	12	1	16
IN011039	1	1	2	12	1	74
IN011039	2	3	1	12	1	74
IN011040	1	1	1	12	1	17
IN011041	1	2	1	12	1	93
IN011042	1	3	2	12	1	93
IN011043	1	1	2	12	2	1
IN011043	2	3	2	12	1	1
IN011043	3	4	2	12	1	74
IN011043	4	5	2	12	1	74
IN011044	1	1	1	12	1	45
IN011045	1	2	1	12	1	93
IN011046	1	1	2	12	1	45
IN011047	1	1	2	12	1	93
IN011048	1	1	2	12	2	15
IN011049	1	2	1	12	1	75
IN011050	1	1	2	12	1	60
IN011050	2	2	2	12	1	74
IN011050	3	3	2	12	2	17
