CHILDID	REMID	REMREL	REMQNT	REMTYPE
IN011010	1	3	2	2
IN011012	1	2	2	2
IN011014	1	2	3	2
IN011020	1	2	4	2
IN011022	1	3	3	2
IN011029	1	3	3	2
IN011031	1	1	1	2
IN011037	1	2	5	1
IN011040	1	2	5	2
IN011049	1	3	4	3
IN011049	2	2	2	2
IN021001	1	3	2	3
IN021009	1	2	2	2
IN021011	1	3	3	2
IN021017	1	3	5	2
IN021025	1	2	5	2
IN031008	1	1	2	1
IN031008	2	2	3	3
IN041028	1	4	2	2
IN041031	1	2	2	2
IN041039	1	2	5	2
IN041039	2	3	2	3
IN041042	1	3	2	2
IN051001	1	2	1	2
IN051010	1	2	1	3
IN051024	1	3	1	2
IN051039	1	3	1	1
IN051045	1	3	1	2
IN051049	1	3	1	3
IN061018	1	3	4	3
IN061018	2	2	3	3
IN061020	1	1	1	1
IN071005	1	3	2	2
IN071006	1	2	4	1
IN071037	1	4	1	2
IN071039	1	3	9	3
IN071039	2	2	3	3
IN071046	1	2	3	3
IN081001	1	3	2	2
IN081004	1	2	1	1
IN081006	1	4	4	1
IN081011	1	1	1	1
IN081024	1	6	2	1
IN111021	1	3	3	3
IN111029	1	4	1	2
IN121006	1	3	2	3
IN121014	1	2	2	3
IN121018	1	3	4	3
IN121028	1	2	2	3
IN141028	1	3	9	1
IN151026	1	3	2	3
IN151030	1	1	3	1
IN151031	1	99	3	3
IN151048	1	6	1	3
IN151048	2	6	1	3
IN171006	1	2	2	2
IN171030	1	3	2	2
IN171036	1	3	2	2
IN181020	1	4	2	2
IN181021	1	2	3	3
IN191031	1	3	2	3
IN191039	1	2	3	1
IN191040	1	4	2	3
IN201005	1	3	2	2
IN201005	2	2	1	2
