childid	remid	remrel	remqnt	remtype
PE018001	1	3	12	3
PE018002	1	3	12	3
PE018006	1	2	1	2
PE018011	1	6	1	2
PE018012	1	3	12	2
PE018013	1	2	12	3
PE018014	1	1	12	1
PE018014	2	2	12	3
PE018015	1	3	1	2
PE018015	2	3	1	2
PE018017	1	2	12	1
PE018019	1	3	12	2
PE018020	1	1	3	3
PE018022	1	1	2	1
PE018029	1	6	9	3
PE018035	1	1	5	1
PE018035	2	2	7	1
PE018035	3	6	7	1
PE018036	1	3	12	2
PE018039	1	3	12	3
PE018039	2	2	1	2
PE018045	1	3	16	3
PE018048	1	3	12	2
PE018049	1	2	48	1
PE018050	1	2	1	1
PE028005	1	2	4	2
PE028011	1	3	8	1
PE028012	1	3	12	2
PE028019	1	2	2	2
PE038007	1	1	1	1
PE038008	1	4	1	1
PE038009	1	2	2	1
PE038010	1	1	1	2
PE038015	1	2	10	2
PE038015	2	2	2	1
PE038020	1	1	2	3
PE038021	1	3	1	2
PE038021	2	3	1	2
PE038022	1	2	2	1
PE038022	2	2	3	3
PE038024	1	3	2	2
PE048002	1	2	12	3
PE048004	1	3	3	2
PE048005	1	4	3	2
PE048006	1	1	2	2
PE058003	1	2	1	2
PE058012	1	3	2	2
PE058016	1	3	36	2
PE058029	1	2	30	3
PE068012	1	4	12	3
PE068019	1	4	3	1
PE068022	1	2	6	1
PE068022	2	2	6	3
PE078012	1	2	12	1
PE078018	1	2	12	1
PE078018	2	1	12	1
PE078025	1	3	3	3
PE078042	1	2	12	3
PE078047	1	4	12	1
PE078048	1	4	7	1
PE088003	1	3	3	2
PE088018	1	1	12	1
PE088022	1	4	11	1
PE088030	1	1	6	1
PE088030	2	3	6	1
PE098003	1	4	4	1
PE098004	1	2	7	3
PE098011	1	4	4	3
PE098021	1	2	12	1
PE108008	1	3	3	2
PE108024	1	2	4	2
PE118005	1	4	2	1
PE118017	1	2	1	1
PE118018	1	4	2	3
PE118020	1	2	1	2
PE118024	1	3	3	1
PE128001	1	1	12	1
PE128005	1	1	12	1
PE128008	1	2	1	1
PE128009	1	2	1	1
PE128009	2	2	3	1
PE128011	1	2	1	1
PE128018	1	7	11	1
PE128024	1	4	1	1
PE128025	1	3	2	1
PE128027	1	4	30	3
PE128029	1	3	2	3
PE128029	2	5	1	2
PE128036	1	1	1	2
PE128036	2	1	12	1
PE128038	1	3	5	2
PE128038	2	2	3	2
PE128042	1	3	1	3
PE128048	1	1	12	1
PE128048	2	1	12	3
PE128048	3	1	12	3
PE128050	1	6	1	1
PE128050	2	1	1	1
PE138007	1	6	8	1
PE138010	1	1	6	3
PE138021	1	1	6	1
PE138021	2	3	5	3
PE138022	1	1	48	1
PE138025	1	1	12	1
PE138028	1	3	8	3
PE138029	1	2	3	1
PE138030	1	2	48	3
PE138033	1	1	12	1
PE138034	1	1	3	1
PE138036	1	3	5	2
PE138050	1	1	1	2
PE148001	1	2	12	2
PE148001	2	2	2	2
PE148003	1	3	11	1
PE148003	2	1	7	1
PE148003	3	3	12	1
PE148009	1	1	12	1
PE148013	1	3	1	2
PE148013	2	2	1	1
PE148020	1	7	2	2
PE148025	1	1	3	2
PE148025	2	3	3	2
PE148028	1	1	3	1
PE148028	2	5	2	2
PE148036	1	3	2	1
PE148036	2	2	1	2
PE148036	3	6	2	3
PE148039	1	3	3	1
PE148042	1	2	48	2
PE148048	1	1	8	1
PE158007	1	3	6	2
PE158015	1	3	1	1
PE158025	1	2	1	1
PE158042	1	2	3	2
PE158046	1	3	4	2
PE158048	1	7	1	2
PE158055	1	4	1	1
PE168004	1	2	2	2
PE168009	1	4	1	1
PE178002	1	1	1	1
PE178007	1	3	12	1
PE178009	1	3	12	1
PE178009	2	2	12	1
PE178019	1	4	2	2
PE178020	1	4	3	2
PE178020	2	4	3	1
PE178024	1	4	12	1
PE178028	1	4	2	3
PE178030	1	2	3	2
PE188010	1	3	1	2
PE198001	1	3	12	2
PE198002	1	1	2	1
PE198009	1	3	1	2
PE198021	1	3	24	2
PE198025	1	1	12	1
PE198026	1	1	1	1
PE208006	1	1	5	2
PE208012	1	4	1	1
PE208019	1	2	6	1
PE208023	1	1	3	1
PE208031	1	3	2	2
PE208033	1	1	5	2
PE208034	1	1	5	2
PE208036	1	1	1	2
PE208038	1	1	2	2
PE208040	1	3	12	2
PE208041	1	3	12	2
PE208043	1	3	3	2
PE208045	1	2	3	2
PE208047	1	1	2	2
