childid	planid	plan	peplan	penplan
PE018001	1	1	1	1
PE018002	1	2	2	 
PE018003	1	4	1	4
PE018004	1	4	1	4
PE018005	1	1	1	1
PE018006	1	4	1	4
PE018006	2	10	 	10
PE018007	1	2	1	2
PE018008	1	10	10	1
PE018009	1	4	1	4
PE018010	1	10	1	10
PE018010	2	4	 	4
PE018011	1	1	1	1
PE018012	1	4	1	4
PE018013	1	4	1	4
PE018013	2	2	 	2
PE018014	1	2	1	2
PE018015	1	8	1	8
PE018016	1	1	1	1
PE018017	1	2	1	2
PE018018	1	4	1	4
PE018019	1	2	1	2
PE018020	1	2	1	2
PE018021	1	4	4	1
PE018022	1	2	1	2
PE018023	1	4	1	4
PE018024	1	10	1	10
PE018025	1	4	1	4
PE018026	1	4	4	 
PE018026	2	10	10	 
PE018027	1	4	4	 
PE018028	1	2	1	2
PE018028	2	10	 	10
PE018029	1	10	1	10
PE018029	2	4	 	4
PE018030	1	7	7	 
PE018031	1	1	1	1
PE018032	1	2	1	2
PE018033	1	7	7	 
PE018034	1	7	7	 
PE018035	1	1	1	 
PE018036	1	4	4	 
PE018037	1	1	1	1
PE018038	1	4	1	4
PE018039	1	1	1	1
PE018040	1	5	1	5
PE018041	1	1	1	1
PE018042	1	10	10	 
PE018043	1	1	1	1
PE018044	1	7	1	7
PE018045	1	4	1	4
PE018045	2	3	 	3
PE018046	1	10	1	10
PE018047	1	4	1	4
PE018048	1	4	1	4
PE018049	1	7	1	7
PE018050	1	10	10	 
PE028001	1	6	6	 
PE028002	1	6	6	 
PE028003	1	4	1	4
PE028004	1	2	2	 
PE028005	1	10	1	10
PE028006	1	6	1	6
PE028007	1	2	1	2
PE028008	1	7	7	 
PE028008	2	10	10	 
PE028009	1	7	7	 
PE028010	1	6	1	6
PE028011	1	2	1	2
PE028012	1	10	10	 
PE028013	1	2	1	2
PE028014	1	4	4	 
PE028015	1	2	1	2
PE028016	1	10	1	10
PE028017	1	5	1	5
PE028018	1	4	1	4
PE028018	2	10	 	10
PE028019	1	4	1	4
PE028020	1	4	4	 
PE028021	1	10	1	10
PE028022	1	3	1	3
PE028023	1	10	10	 
PE028024	1	2	2	 
PE028025	1	4	1	4
PE038001	1	4	4	 
PE038002	1	4	4	 
PE038003	1	10	 	10
PE038004	1	6	1	6
PE038005	1	6	6	 
PE038006	1	9	1	9
PE038007	1	10	10	 
PE038008	1	6	1	6
PE038009	1	3	1	3
PE038010	1	4	4	 
PE038010	2	10	10	 
PE038011	1	6	1	6
PE038011	2	2	 	2
PE038012	1	4	1	4
PE038013	1	4	1	4
PE038014	1	10	10	 
PE038014	2	10	10	 
PE038015	1	4	4	 
PE038016	1	2	2	 
PE038017	1	10	10	 
PE038017	2	4	4	 
PE038018	1	4	4	 
PE038019	1	4	1	4
PE038020	1	8	1	8
PE038021	1	4	4	 
PE038022	1	4	1	4
PE038023	1	4	1	4
PE038024	1	4	1	4
PE038024	2	10	 	10
PE038025	1	1	1	1
