CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
VN011001	1	2	2	6	1	1
VN011001	2	2	2	8	1	1
VN011001	3	2	2	8	2	24
VN011002	1	1	2	6	2	1
VN011002	2	1	2	10	2	5
VN011002	3	1	2	4	3	1
VN011002	4	2	2	6	2	1
VN011002	5	2	2	10	2	52
VN011002	6	2	2	4	3	1
VN011002	7	3	2	4	2	1
VN011002	8	4	2	4	2	1
VN011003	1	1	2	6	2	1
VN011003	2	1	1	6	1	5
VN011003	3	1	2	5	1	5
VN011003	4	2	2	6	3	1
VN011003	5	2	1	3	1	93
VN011003	6	2	2	10	1	1
VN011004	1	1	1	12	1	5
VN011004	2	1	2	6	2	1
VN011004	3	1	2	4	2	5
VN011004	4	2	2	9	1	1
VN011004	5	2	2	6	2	1
VN011004	6	2	1	6	2	1
VN011004	7	3	2	3	1	1
VN011004	8	3	2	4	2	52
VN011005	1	1	2	8	2	1
VN011005	2	1	1	3	1	45
VN011005	3	1	1	4	1	93
VN011005	4	2	2	8	2	1
VN011005	5	2	2	12	1	1
VN011005	6	2	2	12	1	1
VN011005	7	3	1	3	1	93
VN011005	8	4	2	12	1	1
VN011006	1	1	2	9	2	1
VN011006	2	1	2	12	1	1
VN011006	3	2	2	7	2	1
VN011006	4	2	2	12	1	1
VN011007	1	1	2	12	1	1
VN011007	2	1	2	12	1	1
VN011007	3	1	2	6	2	1
VN011007	4	2	2	12	1	1
VN011007	5	2	2	12	1	1
VN011007	6	2	2	6	2	1
VN011007	7	3	1	2	1	93
VN011008	1	1	2	12	1	52
VN011008	2	1	1	4	2	45
VN011008	3	1	2	12	3	1
VN011008	4	2	2	12	1	52
VN011008	5	2	2	5	2	1
VN011008	6	2	2	12	1	1
VN011008	7	3	2	3	2	1
VN011008	8	3	2	12	1	1
VN011008	9	4	2	3	3	1
VN011008	10	4	2	12	2	1
VN011009	1	1	1	12	1	0
VN011009	2	1	2	2	2	20
VN011009	3	1	1	12	1	1
VN011009	4	2	1	11	1	20
VN011009	5	2	2	8	2	1
VN011009	6	2	2	8	1	1
VN011010	1	1	1	2	3	93
VN011010	2	1	2	6	4	1
VN011010	3	2	1	6	2	20
VN011010	4	2	2	6	4	1
VN011010	5	3	2	6	4	1
VN011010	6	3	1	6	2	93
VN011011	1	1	2	12	1	52
VN011011	2	1	2	8	2	1
VN011011	3	1	1	3	2	1
VN011012	1	1	2	8	2	1
VN011012	2	1	1	7	2	20
VN011012	3	1	2	12	4	52
VN011012	4	2	2	12	2	52
VN011012	5	2	2	8	2	1
VN011012	6	2	2	4	1	1
VN011012	7	3	1	5	1	93
VN011013	1	1	2	2	3	1
VN011013	2	2	2	12	1	0
VN011013	3	2	2	8	2	1
VN011013	4	3	1	3	2	20
VN011013	5	3	2	8	2	1
VN011013	6	3	1	3	2	93
VN011013	7	4	1	5	2	93
VN011013	8	5	1	5	2	93
VN011013	9	6	1	3	3	93
VN011013	10	7	1	3	3	93
VN011013	11	8	1	2	4	93
VN011014	1	1	2	12	1	20
VN011014	2	1	2	6	2	1
VN011014	3	2	2	6	2	1
VN011014	4	2	1	12	1	20
VN011014	5	2	2	12	1	1
VN011014	6	3	1	3	3	20
VN011015	1	1	2	6	2	1
VN011015	2	1	2	6	1	1
VN011015	3	2	2	6	2	1
VN011015	4	2	1	10	2	45
VN011015	5	3	2	6	2	1
VN011015	6	4	1	12	1	93
VN011016	1	2	1	10	2	45
VN011016	2	2	2	11	3	1
VN011016	3	2	2	10	3	93
VN011016	4	3	1	4	2	45
VN011016	5	3	2	12	3	1
VN011016	6	3	1	4	4	93
VN011016	7	4	1	4	2	45
VN011016	8	4	1	10	2	93
VN011016	9	4	2	12	2	1
VN011016	10	5	2	2	4	1
VN011017	1	1	1	11	1	60
VN011017	2	2	2	12	1	18
VN011017	3	2	2	12	1	0
VN011018	1	1	1	4	1	5
VN011018	3	1	1	5	1	93
VN011018	5	2	2	12	1	1
VN011019	1	2	2	12	1	15
VN011019	2	2	2	6	3	1
VN011019	3	2	2	12	1	1
VN011019	4	3	1	12	1	80
VN011019	5	3	2	6	3	1
VN011019	6	3	2	12	1	1
VN011020	1	1	2	6	3	1
VN011020	2	1	2	12	1	1
VN011020	3	1	2	10	2	15
VN011020	4	2	2	10	1	15
VN011020	5	2	2	12	1	1
VN011020	6	2	2	6	3	1
VN011020	7	3	2	10	2	15
VN011020	8	4	2	10	2	15
VN011021	1	1	1	9	1	45
VN011021	2	1	2	6	2	1
VN011021	3	1	2	4	1	1
VN011021	4	2	1	5	2	20
VN011021	5	2	2	4	1	1
VN011021	6	2	2	6	2	1
VN011022	1	1	1	7	3	93
VN011022	2	1	2	7	3	1
VN011022	3	1	2	7	1	1
VN011022	4	2	1	10	3	93
VN011022	5	2	2	12	3	1
VN011022	6	2	2	12	1	1
VN011022	7	3	1	12	1	93
VN011022	8	4	1	6	1	19
VN011022	9	5	2	12	1	1
VN011024	1	1	2	8	2	1
VN011024	2	2	2	6	2	1
VN011024	3	3	1	12	1	93
VN011024	4	3	2	3	3	1
VN011024	5	4	2	6	2	1
VN011024	6	1	2	6	1	1
VN011024	7	2	2	6	1	1
VN011025	1	1	2	10	2	1
VN011025	2	1	2	12	1	1
VN011025	3	1	2	12	2	1
VN011025	4	2	2	10	2	1
VN011025	5	2	2	12	1	1
VN011025	6	2	2	12	2	1
VN011025	7	3	1	12	1	93
VN011025	8	4	2	12	2	1
VN011026	1	1	2	8	2	1
VN011026	2	1	2	12	1	1
VN011026	3	1	2	5	3	93
VN011026	4	2	2	8	3	1
VN011026	5	2	2	12	2	1
VN011026	6	2	1	1	3	93
VN011026	7	3	1	8	2	93
VN011026	8	3	2	2	4	1
VN011026	9	4	2	12	3	1
VN011026	10	4	1	1	2	93
VN011028	1	1	2	7	2	1
VN011028	2	1	1	8	2	45
VN011028	3	1	1	4	2	93
VN011028	4	2	2	7	2	1
VN011028	5	2	1	10	2	93
VN011029	1	1	2	8	2	1
VN011029	2	1	1	4	1	93
VN011029	3	1	2	8	1	1
VN011029	4	2	1	7	1	20
VN011029	5	2	2	8	2	1
VN011029	6	2	2	12	1	1
VN011030	1	1	1	6	1	93
VN011030	2	1	2	8	2	1
VN011030	3	1	1	1	1	20
VN011030	4	2	2	8	2	1
VN011030	5	2	1	12	1	18
VN011031	1	1	2	12	1	1
VN011031	2	2	2	4	1	51
VN011031	3	2	2	6	2	1
VN011031	4	3	2	6	1	52
VN011031	5	3	2	6	3	1
VN011031	6	3	1	2	1	20
VN011032	1	1	2	6	2	1
VN011032	2	1	1	12	1	20
VN011032	3	2	1	12	1	1
VN011033	1	1	1	12	1	80
VN011033	2	1	2	6	2	1
VN011033	3	2	2	12	1	52
VN011033	4	2	2	6	3	1
VN011033	5	4	2	12	2	52
VN011034	1	1	1	12	1	45
VN011034	2	1	2	9	3	1
VN011034	3	1	2	12	2	52
VN011034	4	2	2	9	3	1
VN011034	5	2	2	12	1	1
VN011034	6	2	2	12	1	52
VN011035	1	1	2	6	1	1
VN011035	2	2	1	12	1	45
VN011035	3	2	2	2	3	1
VN011035	4	1	1	2	2	1
VN011037	1	1	1	12	2	26
VN011037	2	1	2	12	3	1
VN011037	3	1	2	11	3	1
VN011037	4	2	2	12	1	1
VN011037	5	2	2	12	3	1
VN011037	6	2	1	9	1	20
VN011038	1	2	2	7	3	1
VN011038	2	3	2	12	1	52
VN011038	3	3	2	7	2	1
VN011038	4	3	2	2	1	1
VN011038	5	4	2	12	1	52
VN011038	6	4	2	7	2	1
VN011038	7	4	2	2	1	1
VN011038	8	5	2	2	2	1
VN011039	1	1	2	12	1	1
VN011039	2	1	2	8	2	1
VN011039	3	1	1	9	4	93
