CHILDID	REMID	REMREL	REMQNT	REMTYPE	V2070403
VN011009	1	3	72	1	1
VN011009	2	2	7	2	1
VN011009	3	5	4	1	1
VN011016	1	2	20	3	2
VN011016	2	5	5	2	2
VN011017	1	2	6	3	2
VN011017	2	3	2	1	2
VN011022	1	2	6	3	2
VN011026	1	2	120	3	1
VN011026	2	3	12	3	1
VN011026	3	4	36	2	1
VN011028	1	2	5	3	1
VN011028	2	3	3	3	1
VN011029	1	2	15	3	1
VN011029	2	3	8	3	1
VN011029	3	5	8	2	1
VN011031	1	2	3	1	2
VN011034	1	3	60	2	2
VN011034	2	2	20	1	2
VN011034	3	5	10	1	2
VN011037	1	3	9	2	2
VN011037	2	2	6	2	2
VN011037	3	5	6	1	2
VN011041	1	2	36	3	2
VN011041	2	3	12	1	1
VN011041	3	5	144	2	1
VN011048	1	3	10	3	1
VN011048	2	2	4	2	1
VN011048	3	3	7	2	1
VN011063	1	2	3	3	1
VN021002	1	3	20	3	2
VN021002	2	2	5	1	1
VN021004	1	3	10	1	2
VN021004	2	2	8	3	2
VN021005	1	3	3	3	1
VN021007	1	2	3	3	1
VN021013	1	2	36	1	2
VN021013	2	3	371	3	2
VN021013	3	4	1	1	1
VN021013	4	5	36	2	1
VN021017	1	3	240	2	2
VN021017	2	2	4	2	2
VN021017	3	5	2	2	2
VN021020	1	2	5	3	1
VN021020	2	3	3	3	1
VN021023	1	3	120	3	2
VN021023	2	2	5	3	2
VN021023	3	5	12	2	2
VN021024	1	2	5	1	2
VN021029	1	2	1	1	2
VN021031	1	3	12	2	2
VN021031	2	2	1	1	2
VN021032	1	3	30	3	1
VN021034	1	3	2	3	1
VN021041	1	1	5	2	1
VN021043	1	2	10	3	2
VN021043	2	5	2	1	2
VN021044	1	2	3	3	2
VN021044	2	3	4	3	2
VN021044	3	5	5	2	1
VN021047	1	2	24	3	1
VN021047	2	3	24	3	1
VN021048	1	3	10	1	1
VN021048	2	2	9	1	1
VN021056	1	3	10	3	1
VN021056	2	2	10	3	1
VN021065	1	2	1	3	2
VN021072	1	3	7	3	2
VN021072	2	2	5	1	1
VN021078	1	3	3	1	2
VN021083	1	2	12	3	2
VN021083	2	3	72	3	1
VN021083	3	2	1	1	1
VN021083	4	5	25	2	1
VN031001	1	3	3	2	1
VN031001	2	2	5	2	1
VN031003	1	2	2	1	2
VN031003	2	3	1	2	2
VN031004	1	3	2	3	1
VN031005	1	2	3	1	1
VN031008	1	2	8	2	1
VN031008	2	4	9	2	1
VN031008	3	5	5	2	1
VN031009	1	2	2	1	1
VN031009	2	4	3	1	1
VN031011	1	2	1	2	2
VN031011	2	3	3	2	1
VN031011	3	5	11	3	2
VN031023	1	4	2	1	1
VN031023	2	2	9	3	1
VN031023	3	3	3	2	1
VN031025	1	2	2	3	1
VN031027	1	3	7	1	2
VN031032	1	2	4	3	1
VN031033	1	3	5	2	2
VN031033	2	2	4	2	2
VN031034	1	2	4	2	2
VN031041	1	2	1	1	2
VN031043	1	2	3	2	1
VN031043	2	3	2	2	1
VN031047	1	5	2	1	1
VN031049	1	2	2	3	2
VN031050	1	3	1	1	1
VN031050	2	2	1	1	1
VN031050	3	4	2	1	2
VN031050	4	5	1	1	1
VN031052	1	3	1	1	2
VN031052	2	2	1	1	2
VN031058	1	3	5	3	1
VN041002	1	2	5	1	1
VN041002	2	3	2	1	1
VN041003	1	2	2	1	1
VN041004	1	3	9	3	2
VN041004	2	2	5	3	2
VN041009	1	3	20	3	2
VN041009	2	2	30	3	2
VN041009	3	5	10	2	2
VN041011	1	2	2	3	1
VN041011	2	3	10	2	1
VN041013	1	2	3	3	1
VN041013	2	3	2	3	1
VN041017	1	2	2	3	1
VN041022	1	2	6	1	1
VN041023	1	2	2	1	2
VN041025	1	2	24	2	1
VN041025	2	1	24	2	1
VN041027	1	2	1	1	1
