CHILDID	OUTID	REMREL	REMQNT	REMTYPE	V2070505
VN011001	1	2	10	2	200000
VN011001	2	3	10	1	200000
VN011001	3	4	1	1	100000
VN011001	4	8	5	1	50000
VN011002	1	3	4	3	120000
VN011002	2	4	1	1	40000
VN011002	3	8	2	1	20000
VN011003	1	2	5	1	100000
VN011003	2	3	7	1	140000
VN011003	3	4	4	1	200000
VN011003	4	5	3	1	45000
VN011004	1	3	10	1	100000
VN011004	2	2	5	3	190000
VN011004	3	4	1	2	20000
VN011004	4	5	17	3	550000
VN011004	5	8	3	1	15000
VN011005	1	2	5	1	250000
VN011005	2	3	10	1	250000
VN011005	3	4	5	1	250000
VN011005	4	5	6	1	180000
VN011005	5	8	2	1	15000
VN011006	1	3	8	1	280000
VN011006	2	2	11	3	270000
VN011006	3	4	2	2	100000
VN011006	4	8	2	1	20000
VN011007	1	3	4	2	50000
VN011007	2	2	20	3	600000
VN011007	3	5	20	3	600000
VN011008	1	3	1	2	50000
VN011008	2	2	2	1	100000
VN011008	3	5	10	1	700000
VN011008	4	8	1	1	5000
VN011009	1	2	11	3	460000
VN011009	2	3	4	1	120000
VN011009	3	5	7	1	280000
VN011009	4	8	2	1	16000
VN011010	1	2	10	1	250000
VN011010	2	4	3	2	60000
VN011010	3	2	5	2	150000
VN011011	1	8	1	1	10000
VN011011	2	5	3	1	120000
VN011011	3	3	4	1	80000
VN011011	4	2	7	1	350000
VN011012	1	8	1	1	5000
VN011012	2	2	7	1	400000
VN011012	3	3	3	2	60000
VN011013	1	3	12	3	480000
VN011013	2	2	16	1	800000
VN011013	3	5	6	3	160000
VN011013	4	8	4	1	60000
VN011014	1	3	3	1	1000000
VN011014	2	2	8	1	400000
VN011014	3	4	2	1	200000
VN011014	4	8	1	1	10000
VN011015	1	8	2	1	20000
VN011015	2	2	5	3	120000
VN011015	3	3	7	3	100000
VN011015	4	5	10	1	100000
VN011016	1	2	8	1	340000
VN011016	2	5	9	1	230000
VN011016	3	3	3	2	140000
VN011016	4	8	1	1	5000
VN011017	1	5	26	3	530000
VN011017	2	2	6	3	300000
VN011017	3	3	1	3	50000
VN011017	4	8	6	1	180000
VN011018	1	5	3	2	50000
VN011018	2	3	4	1	70000
VN011018	3	8	5	3	25000
VN011019	1	5	15	3	800000
VN011019	2	2	4	3	200000
