CHILDID	planid	plan
VN011001	1	10
VN011002	1	1
VN011003	1	2
VN011003	2	7
VN011004	1	4
VN011005	1	4
VN011006	1	4
VN011007	1	4
VN011008	1	4
VN011009	1	4
VN011009	2	7
VN011010	1	4
VN011010	2	7
VN011011	1	7
VN011012	1	4
VN011013	1	8
VN011014	1	7
VN011015	1	7
VN011016	1	7
VN011016	2	4
VN011017	1	2
VN011017	2	4
VN011018	1	7
VN011019	1	4
VN011020	1	4
VN011021	1	10
VN011021	2	7
VN011022	1	4
VN011024	1	4
VN011025	1	4
VN011026	1	2
VN011028	1	4
VN011028	2	8
VN011029	1	2
VN011030	1	4
VN011031	1	4
VN011032	1	2
VN011033	1	4
VN011034	1	1
VN011035	1	1
VN011037	1	4
VN011037	2	10
VN011038	1	4
VN011039	1	2
VN011039	2	8
VN011040	1	4
VN011040	2	8
VN011041	1	8
VN011041	2	4
VN011042	1	4
VN011043	1	8
VN011044	1	10
VN011044	2	4
VN011047	1	4
VN011048	1	4
VN011050	1	4
VN011052	1	7
VN011061	1	8
VN011061	2	2
VN011063	1	2
VN011069	1	4
VN011074	1	4
VN011088	1	8
VN021002	1	4
VN021002	2	3
VN021003	1	8
VN021004	1	10
VN021005	1	4
VN021006	1	7
VN021006	2	4
VN021007	1	4
VN021008	1	4
VN021009	1	1
VN021011	1	1
VN021012	1	3
VN021012	2	4
VN021013	1	2
VN021014	1	2
VN021014	2	4
VN021015	1	4
VN021017	1	1
VN021018	1	4
VN021018	2	2
VN021020	1	8
VN021022	1	2
VN021022	2	8
VN021023	1	4
VN021024	1	4
VN021025	1	4
VN021026	1	3
VN021027	1	2
VN021029	1	10
VN021029	2	4
VN021030	1	4
VN021031	1	4
VN021032	1	4
VN021033	1	4
VN021034	1	10
VN021036	1	1
VN021037	1	7
VN021037	2	10
VN021038	1	1
VN021039	1	10
VN021040	1	10
VN021041	1	4
VN021042	1	10
VN021043	1	7
VN021044	1	10
VN021044	2	4
VN021046	1	2
VN021046	2	4
VN021047	1	4
VN021047	2	8
VN021048	1	2
VN021049	1	4
VN021056	1	4
VN021065	1	3
VN021065	2	4
VN021069	1	3
VN021072	1	8
VN021072	2	4
VN021078	1	2
VN021078	2	4
VN021083	1	2
VN021089	1	4
VN021089	2	2
VN021090	1	4
VN021090	2	7
VN021094	1	4
VN031001	1	4
VN031002	1	4
VN031002	2	8
VN031003	1	8
VN031004	1	4
VN031005	1	10
VN031006	1	4
VN031007	1	4
VN031008	1	10
VN031009	1	10
VN031010	1	4
VN031011	1	7
VN031011	2	10
VN031012	1	8
VN031012	2	10
VN031013	1	4
VN031018	1	4
VN031020	1	8
VN031021	1	8
VN031021	2	10
VN031023	1	7
VN031024	1	4
VN031025	1	10
VN031027	1	2
VN031028	1	1
VN031029	1	4
VN031029	2	10
VN031031	1	4
VN031032	1	2
VN031033	1	4
VN031034	1	10
VN031034	2	4
VN031035	1	2
VN031035	2	4
VN031036	1	1
VN031037	1	4
VN031038	1	8
VN031038	2	4
VN031039	1	7
VN031039	2	8
VN031040	1	4
VN031040	2	1
VN031041	1	4
VN031043	1	10
VN031044	1	4
VN031044	2	10
VN031045	1	2
VN031045	2	3
VN031046	1	4
VN031047	1	1
VN031048	1	2
VN031048	2	10
VN031049	1	4
VN031050	1	7
VN031052	1	10
VN031058	1	8
VN031058	2	10
VN031059	1	10
VN031060	1	4
VN031060	2	7
VN031079	1	10
VN031079	2	4
VN031096	1	4
VN031096	2	10
VN031098	1	7
VN031108	1	4
VN031134	1	4
VN041001	1	4
VN041002	1	4
VN041003	1	1
VN041004	1	7
VN041004	2	10
VN041005	1	7
VN041005	2	4
VN041006	1	8
VN041006	2	4
VN041007	1	3
VN041007	2	4
VN041008	1	2
VN041009	1	4
VN041010	1	3
VN041010	2	4
VN041011	1	4
VN041012	1	4
VN041013	1	4
VN041013	2	8
VN041014	1	4
VN041014	2	2
VN041015	1	4
VN041015	2	3
VN041016	1	8
VN041016	2	2
VN041017	1	2
VN041019	1	7
VN041019	2	10
VN041020	1	4
VN041020	2	10
VN041021	1	4
VN041021	2	6
VN041022	1	10
VN041023	1	4
VN041024	1	4
VN041024	2	8
VN041025	1	4
VN041026	1	10
VN041027	1	10
VN041027	2	10
VN041028	1	7
VN041030	1	7
VN041031	1	8
VN041031	2	2
VN041032	1	2
VN041032	2	4
VN041034	1	3
VN041036	1	4
VN041036	2	8
VN041037	1	8
VN041037	2	4
VN041038	1	4
VN041038	2	8
VN041039	1	8
VN041040	1	2
VN041040	2	8
VN041041	1	2
VN041041	2	3
VN041042	1	4
VN041043	1	7
VN041046	1	4
VN041046	2	8
VN041047	1	7
VN041049	1	2
VN041049	2	10
VN041050	1	4
VN041059	1	8
VN041059	2	2
VN041092	1	1
VN041106	1	2
VN041106	2	10
VN041109	1	2
