CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
ET010001	1	3	1	12	1	55
ET010002	1	1	2	10	2	51
ET010003	1	5	2	12	1	51
ET010003	2	6	2	12	1	51
ET010004	1	3	1	11	1	75
ET010004	2	2	1	11	2	60
ET010005	1	1	2	12	4	74
ET010006	1	1	1	12	1	50
ET010006	2	4	1	12	3	60
ET010007	1	4	1	12	1	51
ET010007	2	5	1	12	1	74
ET010008	1	2	1	12	1	15
ET010008	2	5	1	12	1	15
ET010009	1	1	1	11	1	60
ET010009	2	2	1	12	1	15
ET010010	1	1	1	12	2	75
ET010011	1	1	1	11	1	75
ET010012	1	2	2	6	3	93
ET010012	2	2	2	7	1	95
ET010013	1	1	2	12	2	93
ET010014	1	1	1	12	1	52
ET010014	2	3	1	12	1	51
ET010014	3	4	1	12	1	51
ET010015	1	1	1	12	1	75
ET010015	2	2	2	12	1	15
ET010016	1	2	2	4	3	74
ET010016	2	1	1	12	1	55
ET010017	1	3	1	12	1	51
ET010017	2	4	1	12	1	72
ET010019	1	1	2	4	4	36
ET010019	2	2	1	12	1	74
ET010019	3	5	2	2	4	27
ET010020	1	2	1	8	1	60
ET010020	2	10	2	12	1	15
ET010020	3	6	2	12	3	93
ET010021	1	1	1	12	1	36
ET010022	1	2	1	5	2	55
ET010023	1	4	1	12	1	60
ET010024	1	1	1	12	1	20
ET010024	2	3	1	2	1	20
ET010025	1	1	2	12	1	26
ET010025	2	3	1	4	1	95
ET010026	1	1	1	12	1	10
ET010027	1	1	1	12	1	74
ET010027	2	2	1	5	1	74
ET010027	3	3	1	3	1	55
ET010027	4	4	2	4	1	15
ET010027	5	6	1	2	1	99
ET010027	6	8	2	12	1	74
ET010028	1	1	1	12	1	74
ET010029	1	1	1	12	1	36
ET010030	1	2	2	2	1	29
ET010030	2	3	2	4	1	50
ET010031	1	1	1	7	3	60
ET010031	2	3	1	2	1	24
ET010032	1	4	1	6	1	95
ET010032	2	7	1	3	2	74
ET010033	1	1	2	12	1	55
ET010033	2	2	2	6	1	55
ET010034	1	1	2	3	3	93
ET010034	2	2	1	4	1	51
ET010035	1	2	2	12	2	74
ET010036	1	1	2	12	2	15
ET010037	1	2	1	12	1	74
ET010037	2	3	1	12	1	60
ET010038	1	1	1	12	1	67
ET010038	2	4	1	12	2	74
ET010039	1	1	1	5	2	45
ET010039	2	3	1	6	2	36
ET010040	1	1	1	12	1	74
ET010041	1	1	2	12	1	15
ET010041	2	2	1	12	1	74
ET010041	3	3	1	12	1	95
ET010041	4	4	1	12	1	95
ET010042	1	1	1	12	1	36
ET010042	2	4	2	12	1	74
ET010043	1	1	1	12	1	93
ET010044	1	1	2	12	1	20
ET010044	2	2	2	12	1	74
ET010045	1	2	1	8	1	15
ET010045	2	3	1	5	1	95
ET010046	1	1	2	12	1	51
ET010048	1	1	2	12	1	74
ET010049	1	1	1	12	1	93
ET010050	1	1	2	12	1	74
ET010051	1	1	2	12	1	74
ET010052	1	1	1	12	1	60
ET010053	1	1	2	12	1	74
ET010053	2	4	2	12	1	74
ET010053	3	5	2	12	1	74
ET010053	4	6	2	12	1	74
ET010054	1	1	1	12	2	85
ET010055	1	1	1	12	1	27
ET010056	1	1	2	12	2	15
ET010056	2	6	1	12	3	93
ET010056	3	6	1	12	3	15
ET010057	1	1	1	12	1	55
ET010058	1	2	1	12	1	74
ET010059	1	2	2	12	1	74
ET010060	1	1	1	6	1	50
ET010061	1	3	1	7	1	55
ET010062	1	1	2	12	1	15
ET010063	1	5	2	6	3	15
ET010064	1	1	1	6	3	74
ET010065	1	1	2	6	3	74
ET010066	1	2	1	12	2	93
ET010067	1	1	2	6	2	75
ET010068	1	1	1	12	1	51
ET010069	1	1	2	12	2	15
ET010071	1	3	2	6	3	74
ET010072	1	1	2	4	3	20
ET010073	1	2	1	3	2	74
ET010073	2	2	1	2	3	93
ET010074	1	1	2	12	3	15
ET010075	1	1	2	12	1	52
ET010076	1	1	1	6	2	15
ET010077	1	1	2	12	1	93
ET010077	2	2	2	12	1	74
ET010078	1	1	2	12	1	15
ET010078	2	1	2	12	1	15
ET010079	1	2	1	12	2	75
ET010080	1	3	1	6	2	55
ET010081	1	1	2	12	1	51
ET010081	2	2	2	12	1	51
ET010082	1	1	1	12	1	75
ET010083	1	1	2	12	2	31
ET010083	2	2	1	12	2	74
ET010084	1	1	2	12	1	51
ET010084	2	2	1	12	1	74
ET010086	1	1	2	12	1	51
