CHILDID	PLANID	PLAN
ET010001	1	1
ET010002	1	1
ET010003	1	1
ET010004	1	1
ET010005	1	1
ET010006	1	1
ET010007	1	1
ET010008	1	1
ET010009	1	1
ET010010	1	1
ET010011	1	99
ET010012	1	1
ET010013	1	1
ET010014	1	1
ET010015	1	1
ET010016	1	1
ET010017	1	1
ET010018	1	1
ET010019	1	1
ET010020	1	1
ET010021	1	1
ET010022	1	1
ET010023	1	1
ET010024	1	1
ET010025	1	1
ET010026	1	1
ET010027	1	1
ET010028	1	1
ET010029	1	1
ET010030	1	1
ET010031	1	1
ET010032	1	1
ET010033	1	1
ET010034	1	1
ET010035	1	1
ET010036	1	1
ET010037	1	1
ET010038	1	1
ET010039	1	1
ET010040	1	1
ET010041	1	1
ET010042	1	1
ET010043	1	1
ET010044	1	7
ET010044	2	4
ET010045	1	1
ET010046	1	1
ET010047	1	1
ET010048	1	1
ET010049	1	1
ET010050	1	1
ET010051	1	1
ET010052	1	1
ET010053	1	1
ET010054	1	1
ET010055	1	1
ET010056	1	1
ET010057	1	1
ET010058	1	1
ET010059	1	1
ET010060	1	1
ET010061	1	1
ET010062	1	1
ET010063	1	4
ET010064	1	1
ET010065	1	8
ET010066	1	1
ET010067	1	4
ET010068	1	3
ET010068	2	4
ET010069	1	1
ET010070	1	4
ET010071	1	3
ET010071	2	4
ET010072	1	4
ET010072	2	3
ET010073	1	1
ET010074	1	1
ET010075	1	1
ET010076	1	4
ET010077	1	1
ET010078	1	1
ET010079	1	1
ET010080	1	1
ET010081	1	1
ET010082	1	1
ET010083	1	1
ET010084	1	1
ET010085	1	2
ET010086	1	1
ET010087	1	1
ET010088	1	1
ET010089	1	1
ET010090	1	1
ET010091	1	1
ET010092	1	1
ET010093	1	9
ET010094	1	1
ET010095	1	1
ET010096	1	1
ET010097	1	1
ET010098	1	4
ET010099	1	1
ET010100	1	1
ET020001	1	1
ET020002	1	7
ET020003	1	1
ET020004	1	1
ET020005	1	1
ET020006	1	1
ET020007	1	1
ET020008	1	1
ET020009	1	1
ET020010	1	1
ET020011	1	5
ET020011	2	4
ET020012	1	9
ET020013	1	1
ET020014	1	1
ET020015	1	1
ET020016	1	1
ET020017	1	1
ET020018	1	1
ET020019	1	2
ET020020	1	1
ET020021	1	99
ET020022	1	6
ET020023	1	99
ET020024	1	10
ET020025	1	99
ET020026	1	1
ET020027	1	1
ET020028	1	1
ET020029	1	1
ET020030	1	99
ET020031	1	1
ET020032	1	1
ET020033	1	1
ET020034	1	10
ET020035	1	1
ET020036	1	1
ET020037	1	1
ET020038	1	1
ET020039	1	1
ET020040	1	1
ET020041	1	10
ET020042	1	8
ET020043	1	1
