CHILDID	PLOT	LAREA	LOWN	LUSE
ET030066	1	-9999	4	7
ET040001	1	2500	4	7
ET040002	1	5000	4	1
ET040004	1	250	4	4
ET040009	1	5000	3	1
ET040009	2	7500	3	1
ET040010	1	5000	3	1
ET040012	1	5000	4	1
ET040013	1	5000	4	1
ET040014	1	5000	4	1
ET040015	1	7500	4	1
ET040016	1	5000	4	1
ET040024	1	5000	4	1
ET040025	1	5000	3	1
ET040027	1	5000	4	1
ET040028	1	5000	4	1
ET040035	1	5000	4	1
ET040035	2	2500	4	1
ET040037	1	1250	4	1
ET040040	1	2500	4	4
ET040041	1	2500	3	1
ET040041	2	2500	3	1
ET040044	1	150	4	4
ET040046	1	7500	3	1
ET040047	1	5000	3	1
ET040049	1	7500	4	1
ET040057	1	7500	4	1
ET040058	1	5000	4	1
ET040059	1	10000	4	1
ET040063	1	2500	4	1
ET040065	1	5000	4	1
ET040068	1	5000	4	1
ET040069	1	100	1	4
ET040070	1	5000	4	1
ET040071	1	5000	4	1
ET040072	1	5000	4	1
ET040073	1	5000	3	1
ET040078	1	10000	1	1
ET040080	1	5000	4	1
ET040081	1	2500	4	1
ET040084	1	5000	3	1
ET040084	2	2500	3	1
ET040085	1	5000	4	1
ET040089	1	5000	3	1
ET040089	2	2500	3	1
ET040090	1	5000	4	1
ET040091	1	1250	4	1
ET040096	1	5000	4	1
ET050001	1	5000	3	1
ET050001	2	3750	3	1
ET050002	1	10000	4	1
ET050003	1	15000	4	1
ET050004	1	10000	4	1
ET050004	2	5000	4	1
ET050004	3	20000	4	1
ET050004	4	10000	4	1
ET050004	5	7500	4	1
ET050005	1	10000	4	1
ET050005	2	10000	4	1
ET050006	1	7500	4	1
ET050007	1	5000	4	1
ET050007	2	5000	3	1
ET050009	1	10000	4	1
ET050009	2	5000	4	1
ET050009	3	5000	3	1
ET050009	4	5000	3	1
ET050009	5	2500	3	1
ET050009	6	2500	3	1
ET050010	1	7500	4	1
ET050010	2	5000	4	1
ET050010	3	5000	4	1
ET050011	1	5000	4	1
ET050012	1	10000	4	1
ET050013	1	7500	4	1
ET050013	2	5000	4	1
ET050013	3	10000	4	1
ET050013	4	5000	3	1
ET050014	1	5000	3	1
ET050014	3	7500	3	1
ET050015	1	10000	4	1
ET050015	2	15000	3	1
ET050015	3	15000	4	1
ET050016	1	10000	4	1
ET050016	2	15000	4	1
ET050017	1	-9999	4	1
ET050018	1	7500	4	1
ET050019	1	2500	3	1
ET050019	2	2500	3	1
ET050019	3	2500	3	1
ET050020	1	7500	4	1
ET050020	2	5000	4	1
ET050020	3	5000	3	1
ET050020	4	2500	3	1
ET050020	5	2500	3	1
ET050021	1	7500	4	1
ET050022	1	2500	4	1
ET050022	2	2500	4	1
ET050023	1	2500	4	1
ET050023	2	5000	3	1
ET050024	1	7500	4	1
ET050026	1	20000	4	1
ET050026	2	30000	4	1
ET050026	3	10000	3	1
ET050026	4	10000	3	1
ET050027	1	7500	4	1
ET050027	2	7500	4	1
ET050027	3	5000	4	1
ET050028	1	5000	4	1
ET050028	2	5000	4	1
ET050028	3	2500	3	1
ET050028	4	2500	3	1
ET050029	1	10000	4	1
ET050029	2	20000	4	1
ET050037	1	5000	4	1
ET050037	2	5000	4	1
ET050038	1	7500	4	1
ET050038	2	7500	3	1
ET050038	3	5000	4	1
ET050038	4	5000	4	1
ET050038	5	2500	4	1
ET050038	6	2500	4	1
ET050039	1	12500	3	1
ET050039	2	5000	3	1
ET050039	3	2500	3	1
ET050039	4	2500	3	1
ET050040	1	5000	4	1
ET050040	2	5000	3	1
ET050040	3	2500	4	1
ET050041	1	7500	4	1
ET050042	1	10000	4	1
ET050042	2	7500	4	1
ET050042	3	2500	4	1
ET050044	1	12500	4	1
ET050044	2	5000	4	1
ET050045	1	5000	4	1
ET050045	2	5000	4	1
ET050045	3	5000	4	1
ET050046	1	10000	4	1
ET050047	1	5000	4	1
ET050048	1	7500	4	1
ET050049	1	2500	4	1
ET050049	2	2500	4	1
ET050050	1	2500	4	1
ET050051	1	3750	4	1
ET050051	2	2500	4	1
ET050052	1	2500	4	1
ET050052	2	1250	4	1
ET050056	1	7500	4	1
ET050056	2	5000	4	1
ET050056	3	3750	4	1
ET050058	1	10000	4	1
ET050059	1	10000	4	1
ET050059	2	7500	4	1
ET050059	3	5000	4	1
ET050059	4	2500	4	1
ET050060	1	15000	4	1
ET050060	2	5000	3	1
ET050060	3	5000	3	1
ET050061	1	7500	4	8
ET050061	2	5000	4	8
ET050062	1	5000	3	1
ET050065	1	1250	4	1
ET050065	2	2500	4	1
ET050066	1	5000	4	1
ET050067	1	5000	4	1
ET050067	2	5000	4	1
ET050067	3	5000	4	1
ET050067	4	5000	4	1
ET050068	1	10000	4	1
ET050068	2	5000	4	1
ET050071	1	5000	4	1
ET050072	1	10000	4	1
ET050073	1	2500	4	1
ET050073	2	2500	4	1
ET050073	3	2500	3	1
ET050074	1	5000	4	1
ET050076	1	10000	4	1
ET050076	2	5000	4	1
ET050076	3	7500	4	1
ET050078	1	10000	4	1
ET050078	2	7500	4	1
ET050078	3	5000	4	1
ET050079	1	5000	4	1
ET050079	2	10000	4	1
ET050079	3	5000	3	1
ET050079	4	7500	3	1
ET050080	1	20000	4	1
ET050080	2	30000	4	1
ET050080	3	20000	3	1
ET050081	1	7500	3	1
ET050082	1	5000	4	1
ET050082	2	2500	4	1
ET050082	3	2500	3	1
ET050084	1	5000	4	1
ET050085	1	15000	4	1
ET050086	1	2500	3	1
ET050087	1	5000	4	1
ET050087	2	5000	4	1
ET050087	3	7500	4	1
ET050088	1	2500	4	1
ET050088	2	2500	4	1
ET050089	1	30000	3	1
ET050089	2	20000	3	1
ET050089	3	20000	4	1
ET050089	4	30000	3	1
ET050090	1	7500	4	1
ET050090	2	5000	4	1
ET050090	3	10000	3	1
ET050091	1	10000	4	1
ET050091	2	10000	4	1
ET050091	3	12500	4	1
ET050091	4	7500	3	1
ET050091	5	10000	3	1
ET050092	1	7500	4	1
ET050092	2	5000	4	1
ET050092	3	2500	4	1
ET050092	4	7500	3	1
ET050093	1	2500	4	1
ET050093	2	2500	4	1
ET050093	3	2500	4	2
ET050094	1	10000	4	1
ET050095	1	7500	4	1
ET050096	1	5000	4	1
ET050096	2	10000	3	1
ET050097	1	5000	4	1
ET050097	2	5000	4	1
ET050097	3	7500	3	1
ET050098	1	10000	3	1
ET050098	2	7500	4	1
ET050098	3	10000	3	1
ET050098	4	5000	4	1
ET050099	1	12500	3	1
ET050099	2	7500	4	1
ET050099	3	5000	4	1
ET050099	4	2500	4	1
ET050100	1	30000	4	1
ET050100	2	40000	4	1
ET050100	3	30000	4	1
ET060001	1	5000	4	1
ET060001	2	2500	3	1
ET060001	3	2500	4	1
ET060001	4	2500	4	6
ET060001	5	1250	3	1
ET060002	1	5000	3	1
ET060002	2	1250	4	2
ET060002	3	2500	4	1
ET060002	4	2500	4	1
ET060002	5	2500	4	1
ET060003	1	5000	4	1
ET060003	2	750	4	6
ET060003	3	2500	4	1
ET060003	4	2500	4	1
ET060003	5	250	4	1
ET060004	1	3750	3	1
ET060004	2	5000	4	1
ET060004	3	2500	4	1
ET060004	4	1250	3	1
ET060004	5	1250	4	1
ET060004	6	1250	4	1
ET060005	1	5000	3	1
ET060005	2	3250	4	1
ET060005	3	5000	4	1
ET060006	1	3750	4	1
ET060006	2	2500	3	1
ET060006	3	2500	4	1
ET060006	4	5000	3	1
ET060007	1	2500	4	1
ET060007	2	5000	4	1
ET060007	3	2500	4	2
ET060008	1	2500	3	1
ET060008	2	7500	4	1
ET060009	1	5000	4	1
ET060009	2	2500	4	1
ET060009	3	2500	4	1
ET060009	4	2500	4	2
ET060011	1	5000	4	1
ET060011	2	2500	4	1
ET060011	3	2500	4	1
ET060011	4	1250	4	1
ET060011	5	1250	4	1
ET060011	6	1250	3	1
ET060012	1	3750	4	1
ET060012	2	3750	4	1
ET060013	1	2500	4	1
ET060013	2	2500	3	1
ET060013	3	1250	4	1
ET060014	1	2500	4	1
ET060014	2	5000	4	1
ET060014	3	2500	4	1
ET060014	4	2500	4	1
ET060015	1	5000	4	1
ET060015	2	2500	4	1
ET060015	3	3750	4	1
ET060016	1	5000	4	1
ET060016	2	5000	4	1
ET060016	3	5000	3	1
ET060016	4	2500	3	1
ET060017	1	2500	4	1
ET060017	2	5000	4	1
ET060017	3	5000	4	1
ET060017	4	2500	3	1
ET060017	5	2500	3	1
ET060018	1	5000	4	1
ET060018	2	2500	4	1
ET060018	3	2500	4	1
ET060018	4	5000	4	1
ET060018	8	2500	3	2
ET060019	1	3750	3	1
ET060019	2	1250	3	1
ET060020	1	5750	4	1
ET060020	2	5000	3	1
ET060020	3	2500	4	1
ET060020	4	2500	4	1
ET060020	5	2000	4	1
ET060020	6	250	4	1
ET060021	1	2500	4	1
ET060021	2	2500	4	1
ET060021	3	5000	2	1
ET060022	1	2500	4	1
ET060022	2	2500	4	1
ET060022	3	2500	4	1
ET060022	4	2500	4	1
ET060022	5	2500	4	1
ET060023	1	5000	4	1
ET060023	2	2500	3	1
ET060024	1	2500	4	1
ET060024	2	2500	4	2
ET060024	3	2500	4	1
ET060024	4	2500	4	1
ET060024	5	5000	3	1
ET060024	6	5000	3	1
ET060025	1	5000	4	1
ET060025	2	2500	4	1
ET060025	3	2500	4	1
ET060025	4	2500	4	1
ET060026	1	5000	4	1
ET060026	2	5000	4	1
ET060026	3	2500	3	1
ET060026	4	2500	3	1
ET060027	1	2500	4	2
ET060027	2	5000	4	1
ET060027	3	5000	3	1
ET060027	4	5000	3	1
ET060027	5	5000	3	1
ET060028	1	2500	3	1
ET060028	2	5000	4	1
ET060028	3	5000	4	1
ET060028	4	2500	4	1
ET060028	5	5000	4	1
ET060028	6	2500	4	1
ET060029	1	5000	4	1
ET060029	2	5000	4	1
ET060029	3	2500	4	1
ET060030	1	5000	4	1
ET060030	2	2500	4	1
ET060030	3	2500	3	1
ET060030	4	2500	3	1
ET060030	5	1250	4	1
ET060030	6	1250	4	1
ET060031	1	2500	3	1
ET060031	2	2500	4	1
ET060031	3	2500	4	1
ET060031	4	2500	4	1
ET060031	5	2500	4	1
ET060032	1	10000	3	1
ET060032	2	2500	4	1
ET060033	1	750	4	1
ET060033	2	2500	4	1
ET060033	3	2500	4	1
ET060033	4	1250	4	2
ET060033	5	1250	4	1
ET060033	6	2500	3	1
ET060033	7	750	4	1
ET060034	1	5000	3	1
ET060034	2	5000	4	1
ET060034	3	5000	4	1
ET060035	1	2500	4	1
ET060035	2	2500	4	1
ET060035	3	2500	4	1
ET060035	4	2500	4	1
ET060035	5	2500	4	1
ET060035	6	2500	4	1
ET060036	1	2500	3	1
ET060036	2	2500	3	1
ET060036	3	2500	3	1
ET060037	1	2500	4	1
ET060037	2	2500	4	1
ET060037	3	2500	4	1
ET060037	4	2500	4	1
ET060038	1	1250	4	1
ET060038	2	4000	4	1
ET060038	3	2500	4	1
ET060038	4	1250	4	1
ET060038	5	1250	4	2
ET060038	6	1250	3	1
ET060039	1	7500	3	1
ET060039	2	2500	4	1
ET060039	3	2500	4	1
ET060040	1	2500	3	1
ET060040	2	1250	4	1
ET060041	1	10000	2	1
ET060041	2	5000	2	1
