CHILDID	LINECODE	ID	PAYMT	MONTHS	DAYS	actcode
IN010001	1	1	2	12	1	74
IN010002	1	1	1	12	1	74
IN010003	1	1	2	12	1	17
IN010004	1	1	1	12	1	74
IN010005	1	3	1	12	1	17
IN010006	1	1	2	12	1	93
IN010006	2	2	2	12	1	93
IN010007	1	1	1	12	1	93
IN010008	1	1	1	12	1	52
IN010009	1	1	1	12	1	16
IN010009	2	2	1	12	1	16
IN010009	3	4	2	12	3	45
IN010009	4	4	1	4	2	16
IN010010	1	1	1	12	1	50
IN010011	1	1	1	12	2	15
IN010012	1	1	2	12	2	74
IN010013	1	1	1	12	1	93
IN010014	1	2	2	12	1	64
IN010015	1	1	2	12	1	2
IN010016	1	1	1	12	1	71
IN010017	1	1	1	12	1	74
IN010018	1	1	1	12	1	74
IN010019	1	2	1	12	1	93
IN010020	1	3	2	12	1	45
IN010021	1	1	1	12	3	15
IN010022	1	1	1	12	1	80
IN010022	2	1	1	12	3	66
IN010023	1	1	1	12	1	1
IN010024	1	1	2	12	2	45
IN010024	2	1	2	12	1	93
IN010025	1	1	2	12	1	74
IN010026	1	2	1	12	1	36
IN010027	1	1	1	12	1	75
IN010028	1	3	2	12	1	62
IN010029	1	1	1	12	1	52
IN010030	1	2	2	12	1	75
IN010031	1	1	2	12	1	52
IN010032	1	1	2	12	1	74
IN010033	1	2	1	12	1	45
IN010033	2	4	1	12	1	74
IN010034	1	1	2	12	1	36
IN010034	2	3	2	12	1	45
IN010035	1	1	2	12	1	36
IN010036	1	1	1	12	1	74
IN010037	1	1	1	12	4	74
IN010038	1	1	2	12	1	74
IN010038	2	3	2	12	1	74
IN010038	3	6	2	12	1	74
IN010039	1	1	1	12	1	17
IN010040	1	1	2	12	1	19
IN010041	1	1	1	12	1	45
IN010042	1	1	2	12	2	20
IN010042	2	2	1	1	3	95
IN010043	1	1	1	12	1	74
IN010044	1	1	2	12	1	20
IN010045	1	1	1	12	1	15
IN010045	2	2	1	2	1	95
IN010046	1	1	2	12	1	52
IN010047	1	1	2	12	1	52
IN010048	1	1	2	12	1	71
IN010049	1	1	1	12	1	74
IN010050	1	1	2	12	1	60
IN010051	1	1	1	12	1	45
IN010052	1	1	2	12	1	74
IN010053	1	1	1	12	1	80
IN010054	1	1	2	12	1	60
IN010055	1	2	2	12	1	74
IN010055	2	3	2	12	1	74
IN010056	1	1	2	12	1	45
IN010057	1	1	2	12	1	74
IN010058	1	1	1	12	1	45
IN010058	2	3	1	12	1	45
IN010059	1	3	2	12	1	20
IN010060	1	1	2	12	1	74
IN010060	2	2	2	12	1	74
IN010060	3	3	2	8	1	74
IN010061	1	1	1	12	1	80
IN010061	2	2	1	12	1	80
IN010062	1	1	2	12	1	45
IN010063	1	1	1	12	1	31
IN010063	2	3	2	12	2	45
IN010064	1	1	1	12	1	75
IN010065	1	1	1	12	1	71
IN010066	1	1	1	12	1	91
IN010066	2	2	2	12	1	16
IN010066	3	3	2	12	1	16
IN010067	1	1	2	12	1	50
IN010067	2	3	1	12	1	15
IN010068	1	1	2	12	1	45
IN010069	1	1	1	12	1	60
IN010070	1	1	1	12	1	20
IN010070	2	3	2	12	3	17
IN010071	1	1	1	12	1	45
IN010072	1	1	2	12	1	15
IN010073	1	1	2	12	1	45
IN010073	2	2	2	12	1	16
IN010073	3	3	2	12	1	45
IN010074	1	1	2	1	2	74
IN010075	1	3	1	12	1	60
IN010076	1	1	1	12	1	72
IN010077	1	1	2	6	2	1
IN010077	2	2	2	12	1	74
IN010077	3	3	2	12	1	74
IN010078	1	1	2	12	1	50
IN010079	1	2	1	12	1	75
IN010079	2	4	1	12	1	75
IN010079	3	5	1	12	1	75
IN010080	1	1	1	12	1	60
IN010081	1	2	2	12	1	50
IN010082	1	1	1	12	1	75
IN010083	1	1	2	12	1	45
IN010083	2	3	2	12	1	45
IN010084	1	1	2	12	1	36
IN010085	1	1	2	12	1	74
IN010086	1	2	2	12	1	45
IN010086	2	4	2	12	1	45
IN010087	1	1	2	12	2	74
IN010087	2	3	2	12	1	74
IN010087	3	5	2	12	1	74
IN010087	4	7	2	12	1	74
IN010088	1	2	2	12	1	74
IN010088	2	3	2	3	2	45
