CHILDID	OUTID	REMREL	REMQNT	REMTYPE
IN010026	1	4	3	2
IN010028	1	2	3	2
IN010028	2	2	2	2
IN010031	1	2	3	2
IN010034	1	2	3	2
IN010035	1	2	3	2
IN010038	1	3	2	2
IN010079	1	6	2	2
IN010085	1	2	2	2
IN020016	1	2	4	2
IN020023	1	2	2	2
IN020045	1	2	1	2
IN020055	1	2	2	2
IN020055	2	2	3	1
IN020056	1	2	5	2
IN020060	1	2	2	2
IN020063	1	4	4	2
IN020073	1	2	4	3
IN020073	2	3	10	3
IN020081	1	3	1	1
IN020096	1	2	5	2
IN030048	1	99	3	1
IN030056	1	3	5	3
IN040009	1	2	2	3
IN040078	1	3	5	3
IN040080	1	3	8	3
IN040080	2	3	8	3
IN040083	1	1	12	3
IN050005	1	6	1	99
IN060047	1	3	2	2
IN080006	1	2	4	1
IN110004	1	2	3	3
IN110015	1	2	2	2
IN110016	1	2	2	3
IN110051	1	2	2	3
IN110052	1	2	1	3
IN110088	1	1	1	2
IN110096	1	2	1	2
IN120008	1	2	3	2
IN120018	1	2	3	3
IN120028	1	2	1	3
IN120041	1	2	1	3
IN120065	1	2	1	3
IN130013	1	2	2	3
IN130025	1	6	12	3
IN130026	1	2	1	3
IN130031	1	2	2	1
IN130034	1	2	1	2
IN130040	1	2	2	3
IN130046	1	2	2	2
IN130072	1	3	1	2
IN130073	1	3	2	3
IN130098	1	2	2	2
IN140002	1	3	12	3
IN140003	1	1	4	3
IN140003	2	6	2	3
IN140009	1	1	3	3
IN140038	1	3	5	3
IN140043	1	1	2	3
IN140043	2	4	2	3
IN140044	1	1	2	3
IN140048	1	6	2	3
IN140052	1	6	2	3
IN140061	1	6	2	3
IN140096	1	1	2	1
IN150039	1	1	1	1
IN150080	1	2	1	1
IN160049	1	1	1	3
IN170019	1	2	2	3
IN170022	1	2	1	2
IN170034	1	6	3	1
IN170036	1	3	2	2
IN170040	1	2	2	3
IN170043	1	2	1	2
IN170046	1	2	2	3
IN170048	1	6	3	1
IN170055	1	2	2	2
IN170058	1	2	2	2
IN170059	1	2	2	3
IN170060	1	6	1	2
IN170061	1	2	2	3
IN170062	1	4	2	3
IN170066	1	2	4	2
IN170069	1	2	1	3
IN170070	1	2	1	3
IN170080	1	2	2	2
IN170083	1	2	4	3
IN170086	1	2	2	2
IN170088	1	2	4	2
IN170090	1	2	3	2
IN170095	1	2	2	3
IN170100	1	2	3	2
IN180005	1	2	3	3
IN180006	1	2	1	3
IN180012	1	2	3	3
IN180015	1	2	2	2
IN180017	1	4	2	2
IN180018	1	2	2	2
IN180020	1	2	2	2
IN180021	1	1	23	2
IN180023	1	2	1	2
IN180030	1	2	1	2
IN180034	1	2	3	3
IN180035	1	2	2	3
IN180036	1	2	2	3
IN180037	1	2	2	3
IN180038	1	2	3	3
IN180040	1	2	1	3
IN180041	1	3	6	3
IN180045	1	2	4	3
IN180046	1	2	2	3
IN180047	1	2	2	3
IN180056	1	2	2	3
IN180062	1	2	1	3
IN180063	1	2	1	3
IN180064	1	3	1	2
IN180065	1	3	1	3
IN180066	1	2	1	3
IN180069	1	2	1	3
IN180076	1	2	3	3
IN180078	1	2	2	2
IN180079	1	3	2	2
IN180080	1	2	1	2
IN180082	1	2	2	3
IN180084	1	3	2	3
IN180085	1	2	3	3
IN180094	1	2	2	2
IN180096	1	2	3	3
IN180100	1	1	2	3
IN190001	1	2	2	3
IN190002	1	1	2	3
IN190004	1	1	4	3
IN190012	1	1	2	3
IN190013	1	1	2	3
IN190014	1	1	4	2
IN190015	1	2	2	2
IN190016	1	2	2	2
IN190025	1	2	1	3
IN190030	1	2	1	3
IN190031	1	2	2	3
IN190033	1	2	2	3
IN190035	1	2	2	3
IN190036	1	2	2	3
IN190038	1	2	5	3
IN190040	1	2	3	3
IN190042	1	2	3	3
IN190054	1	3	2	2
IN190055	1	2	3	3
IN190056	1	2	2	3
IN190060	1	2	2	2
IN190061	1	2	2	3
IN190062	1	2	5	3
IN190063	1	2	2	3
IN190063	2	3	3	2
IN190063	3	6	3	2
IN190064	1	2	2	3
IN190066	1	2	2	3
IN190068	1	2	3	3
IN190070	1	2	1	3
IN190071	1	2	2	2
IN190074	1	2	2	3
IN190081	1	2	1	3
IN190083	1	1	2	2
IN190087	1	2	2	2
IN190089	1	2	2	3
IN190092	1	2	2	2
IN190093	1	2	3	3
IN190094	1	2	2	3
IN190098	1	3	2	3
IN190100	1	2	3	3
IN200001	1	3	1	1
IN200005	1	3	12	1
IN200011	1	3	12	1
IN200012	1	2	4	2
IN200012	2	3	12	1
IN200018	1	3	9	1
IN200022	1	3	12	1
IN200033	1	3	12	1
IN200041	1	3	4	1
IN200044	1	3	6	1
IN200045	1	3	3	1
IN200048	1	3	10	1
IN200050	2	6	2	99
IN200055	1	2	5	3
IN200056	1	2	3	2
IN200061	1	99	3	1
IN200062	1	2	4	2
IN200069	1	2	3	2
IN200083	1	2	3	2
IN200084	1	3	6	1
IN200086	1	2	2	2
IN200087	1	3	6	1
IN200091	1	3	3	2
