CHILDID	PLANID	PLAN
IN010001	1	5
IN010001	2	2
IN010002	1	6
IN010002	2	8
IN010003	1	1
IN010003	2	3
IN010004	1	5
IN010004	2	8
IN010005	1	6
IN010005	2	2
IN010006	1	5
IN010006	2	2
IN010007	1	5
IN010007	2	10
IN010008	1	8
IN010008	2	5
IN010009	1	2
IN010009	2	8
IN010010	1	9
IN010010	2	8
IN010011	1	9
IN010011	2	8
IN010012	1	8
IN010012	2	2
IN010013	1	8
IN010013	2	1
IN010014	1	5
IN010014	2	2
IN010015	1	5
IN010015	2	3
IN010016	1	10
IN010017	1	3
IN010017	2	8
IN010018	1	3
IN010018	2	1
IN010019	1	8
IN010019	2	3
IN010020	1	8
IN010020	2	1
IN010021	1	10
IN010021	2	8
IN010022	1	5
IN010022	2	1
IN010023	1	5
IN010023	2	3
IN010024	1	10
IN010025	1	5
IN010025	2	2
IN010026	1	9
IN010026	2	8
IN010027	1	1
IN010027	2	8
IN010028	1	2
IN010028	2	8
IN010029	1	8
IN010030	1	8
IN010030	2	2
IN010031	1	9
IN010031	2	8
IN010032	1	8
IN010032	2	9
IN010033	1	10
IN010033	2	8
IN010034	1	2
IN010034	2	8
IN010035	1	2
IN010035	2	8
IN010036	1	2
IN010036	2	8
IN010037	1	8
IN010037	2	9
IN010038	1	5
IN010038	2	10
IN010039	1	3
IN010039	2	8
IN010040	1	1
IN010040	2	8
IN010041	1	8
IN010041	2	4
IN010042	1	1
IN010043	1	8
IN010043	2	1
IN010044	1	1
IN010045	1	8
IN010045	2	1
IN010046	1	5
IN010046	2	1
IN010047	1	4
IN010047	2	8
IN010048	1	10
IN010048	2	4
IN010049	1	1
IN010050	1	3
IN010050	2	8
IN010051	1	8
IN010051	2	10
IN010052	1	8
IN010052	2	9
IN010053	1	5
IN010053	2	7
IN010054	1	8
IN010054	2	9
IN010055	1	10
IN010055	2	9
IN010056	1	10
IN010056	2	6
IN010057	1	6
IN010057	2	2
IN010058	1	5
IN010058	2	9
IN010059	1	7
IN010059	2	8
IN010060	1	8
IN010060	2	9
IN010061	1	5
IN010061	2	10
IN010062	1	8
IN010063	1	8
IN010063	2	3
IN010064	1	8
IN010064	2	3
IN010065	1	10
IN010065	2	1
IN010066	1	8
IN010066	2	1
IN010067	1	8
IN010067	2	1
IN010068	1	10
IN010069	1	8
IN010070	1	8
IN010071	1	10
IN010072	1	8
IN010073	1	8
IN010073	2	3
IN010074	1	8
IN010075	1	5
IN010075	2	1
IN010076	1	8
IN010076	2	3
IN010077	1	2
IN010077	2	7
IN010078	1	8
IN010078	2	10
IN010079	1	2
IN010079	2	9
IN010080	1	9
IN010080	2	8
IN010082	1	9
IN010082	2	8
IN010083	1	9
IN010083	2	8
IN010084	1	9
IN010084	2	8
IN010085	1	9
IN010085	2	3
IN010086	1	3
IN010086	2	8
IN010087	1	9
IN010087	2	8
IN010088	1	1
IN010089	1	5
IN010089	2	2
IN010090	1	2
IN010090	2	8
IN010091	1	2
IN010091	2	8
IN010092	1	5
IN010092	2	7
IN010093	1	5
IN010093	2	7
IN010094	1	5
IN010094	2	2
IN010095	1	6
IN010095	2	2
IN010096	1	2
IN010096	2	6
IN010097	1	2
IN010097	2	8
IN010098	1	6
IN010098	2	2
IN010099	1	5
IN010099	2	2
IN010100	1	8
IN010100	2	6
IN020001	1	10
IN020002	1	10
IN020003	1	1
IN020004	1	8
