childid	caid	who	timecare	paycare
PE011003	1	1	1	2
PE011008	1	1	1	2
PE011011	1	2	2	2
PE011012	1	1	2	2
PE011014	1	1	1	2
PE011016	1	1	4	2
PE011020	1	1	1	2
PE011023	1	1	4	2
PE011026	1	1	1	2
PE011029	1	1	3	1
PE011030	1	1	4	2
PE011031	1	1	4	1
PE011032	1	1	1	2
PE011037	1	1	2	2
PE011041	1	1	1	1
PE011042	1	1	1	2
PE011042	2	1	1	2
PE011045	1	1	1	2
PE011047	1	3	1	1
PE011048	1	1	1	2
PE011049	1	3	1	1
PE011055	1	1	4	2
PE011058	1	1	1	2
PE011059	1	1	4	2
PE011059	2	1	4	2
PE011062	1	1	2	2
PE011062	2	2	1	2
PE011067	1	1	2	2
PE011070	1	2	1	2
PE011070	2	3	3	1
PE011072	1	1	1	2
PE011073	1	1	1	2
PE011074	1	2	1	1
PE011074	2	1	1	1
PE011077	1	1	1	1
PE011079	1	1	1	1
PE011085	1	1	1	2
PE011086	1	1	2	1
PE011093	1	1	1	2
PE011094	1	2	1	2
PE011098	1	3	1	1
PE021001	1	1	4	2
PE021003	1	2	1	2
PE021004	1	1	4	1
PE021007	1	2	1	1
PE021008	1	1	1	1
PE021010	1	2	1	2
PE021013	1	1	1	2
PE021016	1	1	4	1
PE021017	1	1	1	2
PE021018	1	1	1	2
PE021023	1	1	4	1
PE021024	1	1	1	2
PE021029	1	1	1	2
PE021031	1	3	2	1
PE021034	1	1	1	2
PE021036	1	1	4	2
PE021044	1	1	1	2
PE021047	1	1	1	2
PE021049	1	1	1	2
PE021050	1	2	2	1
PE021054	1	1	1	2
PE021058	1	1	1	1
PE021061	1	1	4	2
PE021064	1	1	1	2
PE021066	1	1	2	2
PE021080	1	1	1	2
PE021082	1	1	1	2
PE021083	1	1	1	2
PE021084	1	1	2	1
PE021085	1	1	4	2
PE021087	1	1	1	2
PE021088	1	1	1	2
PE021089	1	1	1	2
PE021093	1	1	1	2
PE021094	1	1	1	2
PE021100	1	1	1	2
PE031003	1	1	1	2
PE031009	1	1	1	2
PE031017	1	1	1	1
PE031020	1	1	1	1
PE031023	1	1	1	2
PE031024	1	1	2	2
PE031029	1	1	2	2
PE031032	1	1	1	2
PE031040	1	1	1	2
PE031041	1	1	4	2
PE031044	1	1	3	1
PE031047	1	1	1	2
PE031049	1	1	1	1
PE031056	1	1	1	2
PE031057	1	1	1	1
PE031069	1	1	4	2
PE031073	1	1	1	2
PE031074	1	1	1	2
PE031080	1	1	2	2
PE031081	1	1	2	1
PE031082	1	1	1	2
PE031092	1	1	2	2
PE031099	1	1	1	2
PE041002	1	1	1	2
PE041003	1	1	1	2
PE041006	1	1	1	2
PE041008	1	1	1	2
PE041016	1	1	1	1
PE041026	1	3	3	1
PE041028	1	3	1	1
PE041030	1	1	1	2
PE041048	1	1	2	1
PE041050	1	1	4	1
PE041054	1	1	1	2
PE041054	2	1	1	2
PE041058	1	3	1	1
PE041063	1	1	1	2
PE041067	1	3	2	1
PE041080	1	1	1	2
PE041094	1	1	4	2
PE041095	1	1	4	2
PE051001	1	3	1	1
PE051004	1	1	2	2
PE051005	1	1	1	1
PE051012	1	1	4	1
PE051015	1	1	1	2
PE051016	1	1	1	2
PE051017	1	1	1	1
PE051024	1	3	1	2
PE051028	1	1	1	2
PE051029	1	1	4	2
PE051031	1	1	4	2
PE051033	1	1	1	1
PE051056	1	1	4	2
PE051065	1	1	3	2
PE051067	1	1	1	2
PE051068	1	2	2	1
PE051073	1	1	1	2
PE051080	1	1	1	2
PE051081	1	1	2	1
PE051085	1	2	2	1
PE051091	1	1	1	2
PE051099	1	1	1	2
PE051105	1	1	1	2
PE061001	1	3	1	1
PE061003	1	1	1	2
PE061008	1	1	1	2
PE061009	1	1	2	2
PE061012	1	2	1	2
PE061014	1	1	1	1
PE061014	2	1	1	1
PE061019	1	1	1	2
PE061020	1	2	1	1
PE061022	1	1	1	2
PE061026	1	3	2	1
PE061041	1	1	4	2
PE061041	2	1	4	2
PE061044	1	1	4	2
PE061053	1	1	1	2
PE061054	1	1	4	2
PE061055	1	1	1	2
PE061066	1	1	3	2
PE061066	2	2	1	1
PE061069	1	1	2	2
PE061070	1	1	1	2
PE061080	1	1	1	1
PE061082	1	3	1	1
PE061089	1	1	4	2
PE061090	1	1	4	2
PE061092	1	1	2	2
PE061092	2	3	3	1
PE061099	1	1	1	2
PE061101	1	1	1	1
PE061102	1	1	2	1
PE061102	2	1	2	1
PE071001	1	1	1	2
PE071004	1	1	1	2
PE071008	1	3	2	1
PE071010	1	1	1	2
PE071012	1	1	1	2
PE071013	1	1	2	2
PE071017	1	1	2	2
PE071022	1	3	1	1
PE071024	1	2	1	2
PE071033	1	3	1	1
PE071036	1	2	1	1
