childid	outid	remrel	remqnt	remtype
PE011004	1	3	12	1
PE011007	1	6	3	3
PE011012	1	4	12	1
PE011013	1	6	1	2
PE011014	1	2	30	2
PE011024	1	3	12	2
PE011024	2	6	12	2
PE011025	1	6	2	2
PE011025	2	6	1	2
PE011025	3	3	2	2
PE011026	1	3	4	2
PE011032	1	2	30	1
PE011039	1	3	3	1
PE011044	1	3	3	2
PE011048	1	6	2	1
PE011050	1	3	10	1
PE011052	1	3	3	2
PE011054	1	2	2	1
PE011055	1	3	12	2
PE011064	1	3	1	2
PE011068	1	6	12	2
PE011069	1	6	12	1
PE011070	1	3	3	3
PE011070	2	3	5	3
PE011074	1	3	12	3
PE011084	1	3	5	3
PE011084	2	2	5	3
PE011085	1	2	2	2
PE011087	1	3	48	3
PE011087	2	3	2	1
PE011095	1	2	5	2
PE011096	1	3	5	2
PE011097	1	2	11	3
PE011098	1	3	2	1
PE021001	1	2	5	1
PE021002	1	5	12	1
PE021003	1	3	10	1
PE021005	1	3	1	3
PE021006	1	3	10	2
PE021007	1	3	20	3
PE021017	1	3	3	2
PE021019	1	3	1	2
PE021028	1	3	1	2
PE021029	1	5	1	2
PE021034	1	5	1	3
PE021037	1	6	3	3
PE021038	1	5	1	2
PE021040	1	6	2	3
PE021041	1	3	3	3
PE021048	1	2	3	1
PE021050	1	4	12	2
PE021050	2	3	2	2
PE021050	3	3	12	2
PE021053	1	3	3	2
PE021058	1	3	7	2
PE021061	1	2	3	2
PE021062	1	2	80	2
PE021062	2	2	4	2
PE021063	1	6	12	2
PE021065	1	2	2	3
PE021076	1	5	2	2
PE021078	1	5	1	2
PE021081	1	2	30	2
PE021091	1	3	4	2
PE021093	1	5	5	2
PE021095	1	2	3	1
PE021099	1	3	2	2
PE031012	1	3	12	2
PE031012	2	3	4	2
PE031014	1	2	2	2
PE031016	1	3	6	2
PE031017	1	3	3	2
PE031017	2	2	2	2
PE031020	1	5	2	2
PE031023	1	3	4	3
PE031027	1	2	5	3
PE031027	2	2	5	3
PE031028	1	3	12	2
PE031029	1	3	12	1
PE031030	1	3	4	1
PE031030	2	3	12	2
PE031031	1	4	12	1
PE031033	1	3	12	3
PE031033	2	5	3	2
PE031036	1	5	1	2
PE031037	1	5	4	2
PE031038	1	3	5	2
PE031038	2	3	5	2
PE031039	1	5	6	2
PE031040	1	3	5	1
PE031041	1	5	3	2
PE031043	1	6	10	2
PE031044	1	5	2	2
PE031044	2	3	2	2
PE031044	3	3	2	2
PE031045	1	5	5	2
PE031049	1	2	3	2
PE031053	1	6	5	3
PE031054	1	4	12	3
PE031057	1	2	1	2
PE031059	1	3	2	2
PE031061	1	4	7	1
PE031065	1	2	3	2
PE031066	1	5	12	2
PE031066	2	6	12	2
PE031069	1	3	2	2
PE031069	2	6	1	2
PE031072	1	2	6	2
PE031075	1	3	3	2
PE031076	1	2	25	2
PE031079	1	5	3	2
PE031080	1	6	2	2
PE031086	1	5	4	2
PE031089	1	2	3	2
PE031091	1	2	3	2
PE031092	1	2	1	2
PE031094	1	2	2	2
PE031097	1	5	3	2
PE041001	1	3	1	1
PE041003	1	3	3	2
PE041003	2	3	3	2
PE041004	1	2	2	2
PE041015	1	2	1	1
PE041021	1	3	1	2
PE041027	1	3	3	1
PE041028	1	3	12	1
PE041029	1	6	12	2
PE041032	1	3	2	2
PE041032	2	2	1	2
PE041034	1	3	20	3
PE041035	1	3	1	2
PE041045	1	3	5	2
PE041046	1	3	8	2
PE041047	1	2	5	2
PE041050	1	2	3	2
PE041051	1	4	10	1
PE041058	1	5	2	2
PE041060	1	2	1	2
PE041060	2	3	4	3
PE041062	1	2	6	2
PE041062	2	2	6	2
PE041063	1	2	2	2
PE041080	1	3	2	2
PE041080	2	3	2	2
PE041085	1	3	5	2
PE041087	1	2	2	2
PE041092	1	2	2	2
PE041101	1	3	5	2
PE041101	2	3	5	2
PE051006	1	3	5	2
PE051009	1	3	5	2
PE051013	1	6	2	1
PE051016	1	2	2	2
PE051019	1	2	3	2
PE051022	1	2	1	2
PE051023	1	2	2	2
PE051026	1	3	5	2
PE051026	2	5	7	2
PE051028	1	2	2	1
PE051029	1	2	2	1
PE051032	1	3	1	1
PE051034	1	3	2	1
PE051035	1	2	5	2
PE051037	1	3	1	2
PE051037	2	3	3	2
PE051038	1	2	2	2
PE051039	1	3	5	2
PE051043	1	3	5	2
PE051044	1	3	3	1
PE051044	2	2	6	2
PE051048	1	2	3	1
PE051050	1	2	3	1
PE051060	1	3	2	2
PE051061	1	3	3	1
PE051063	1	3	12	1
PE051065	1	3	12	3
PE051067	1	3	6	1
PE051074	1	3	3	3
PE051074	2	6	12	1
PE051081	1	3	2	1
PE051085	1	5	6	2
PE051085	2	5	3	2
PE051086	1	3	1	2
PE051090	1	3	2	2
PE051092	1	3	5	2
PE051092	2	3	5	2
PE051093	1	3	2	2
PE051095	1	4	10	3
PE051097	1	2	5	2
PE051098	1	3	7	2
PE051098	2	5	3	3
PE051099	1	4	2	1
PE051100	1	3	40	2
PE051101	1	2	3	2
PE051103	1	2	3	2
PE051104	1	5	1	2
PE061002	1	3	12	2
PE061009	1	3	12	3
PE061010	1	3	1	1
PE061012	1	3	2	1
PE061014	1	6	1	1
PE061019	1	3	3	1
PE061022	1	6	12	1
PE061025	1	3	4	2
PE061026	1	3	40	3
PE061026	2	3	50	3
PE061029	1	3	2	2
PE061031	1	2	5	1
PE061034	1	3	3	2
PE061034	2	3	3	2
PE061038	1	3	2	3
PE061039	1	5	5	2
PE061040	1	3	12	3
PE061041	1	3	12	2
PE061044	1	5	12	2
PE061047	1	3	12	1
PE061047	2	3	2	2
PE061048	1	3	5	3
PE061049	1	2	1	1
PE061052	1	5	4	2
PE061055	1	3	12	2
PE061058	1	3	3	1
PE061059	1	3	1	2
PE061059	2	6	1	2
PE061063	1	4	12	2
PE061064	1	4	12	1
PE061066	1	3	2	1
PE061071	1	5	20	3
PE061072	1	2	16	3
PE061074	1	5	30	2
PE061078	1	3	6	1
PE061085	1	3	10	2
PE061086	1	6	2	1
PE061088	1	2	3	2
PE061089	1	5	10	2
PE061091	1	3	1	2
PE061092	1	6	6	1
PE061094	1	2	6	3
PE061096	1	2	3	2
PE061099	1	2	2	2
PE061102	1	6	10	3
PE061103	1	6	4	1
PE061103	2	3	12	1
PE071009	1	3	12	1
PE071018	1	5	1	3
PE071021	1	2	1	2
PE071028	1	2	2	2
PE071033	1	2	5	2
PE071035	1	4	5	2
PE071037	1	3	4	3
PE071037	2	2	12	3
PE071037	3	3	1	1
PE071038	1	5	4	2
PE071040	1	5	1	2
PE071065	1	3	2	3
PE071066	1	3	3	1
PE071068	1	2	12	1
PE071070	1	5	1	2
PE071072	1	3	9	1
PE071084	1	3	48	1
PE071086	1	3	2	2
PE071087	1	6	11	2
PE071090	1	5	1	2
PE071096	1	6	12	3
PE071104	1	6	3	2
PE071104	2	6	3	2
PE071104	3	6	2	2
PE081004	1	3	2	2
PE081015	1	5	2	2
PE081016	1	4	20	2
PE081027	1	3	12	1
PE081040	1	5	10	2
PE081045	1	3	2	1
PE081047	1	3	12	1
PE081050	1	5	3	3
PE081050	2	2	1	3
PE081063	1	3	1	2
PE081067	1	2	1	2
PE081084	1	3	1	1
PE081085	1	3	12	1
PE081086	1	3	12	1
PE081087	1	2	6	3
PE081099	1	3	1	1
PE081102	1	5	1	2
PE091001	1	2	6	3
PE091004	1	3	12	2
PE091007	1	3	12	3
PE091010	1	4	12	3
PE091015	1	3	8	3
PE091017	1	3	1	2
PE091022	1	5	1	2
PE091023	1	2	1	2
PE091024	1	5	1	2
PE091024	2	2	7	2
PE091024	3	2	7	2
PE091025	1	2	1	3
PE091026	1	2	1	2
PE091026	2	5	1	2
PE091035	1	4	6	2
PE091038	1	3	3	2
PE091064	1	5	1	2
PE091066	1	3	2	2
PE091070	1	3	10	2
PE091070	2	6	2	2
PE091074	1	3	1	2
PE091075	1	2	1	2
PE091077	1	2	1	2
PE091077	2	5	1	2
PE091086	1	2	1	2
PE091086	2	5	1	2
PE091092	1	3	2	2
PE101009	1	3	12	3
PE101009	2	2	10	3
PE101011	1	2	12	1
PE101013	1	6	3	3
PE101015	1	3	12	1
PE101020	1	3	48	2
PE101021	1	3	4	1
PE101035	1	3	1	1
PE101042	1	2	5	3
PE101043	1	3	3	3
PE101047	1	3	1	2
PE101052	1	3	1	3
PE101058	1	3	10	2
PE101062	1	3	3	1
PE101076	1	3	4	1
PE101077	1	6	12	1
PE101086	1	3	48	3
PE101105	1	3	1	3
PE111004	1	3	12	1
