CHILDID	ID	AGE	SEX	RELATE	STILL	YRSCHOOL	DISABLED	CARE	SUPPORT	V1020511	V1020512
VN010001	1	30	1	1	2	43	2	1	1	10	0
VN010001	2	30	2	1	2	43	2	1	1	0	0
VN010001	3	6	2	5	1	42	2	2	2	0	0
VN010002	1	57	1	3	2	42	2	1	1	10	0
VN010002	2	54	2	3	2	0	2	1	1	0	0
VN010002	3	35	1	1	2	44	2	1	1	0	0
VN010002	4	25	2	1	2	44	2	1	1	0	0
VN010002	5	23	1	4	2	43	2	2	2	10	0
VN010002	6	20	1	4	2	44	2	2	2	0	0
VN010002	7	15	2	4	1	43	2	2	2	0	0
VN010003	1	29	1	1	2	43	2	1	1	5	0
VN010003	2	30	2	1	2	43	2	1	1	0	0
VN010003	3	6	2	5	1	42	2	2	2	0	0
VN010004	1	35	1	1	2	42	2	1	1	0	0
VN010004	2	36	2	1	2	42	2	1	1	0	0
VN010004	3	14	1	5	1	43	2	1	2	0	0
VN010004	4	12	1	5	1	43	2	1	2	0	0
VN010005	1	43	1	1	2	43	2	1	1	0	0
VN010005	2	34	2	1	2	43	2	1	1	0	0
VN010005	3	14	1	5	1	43	2	1	2	0	0
VN010005	4	12	2	5	1	43	2	1	2	0	0
VN010005	5	9	1	5	1	42	2	1	2	0	0
VN010006	1	39	1	1	2	0	2	2	1	20	0
VN010006	2	36	2	1	2	0	2	1	1	5	0
VN010006	3	13	2	5	1	42	2	2	2	0	0
VN010006	4	11	2	5	2	0	2	2	1	0	0
VN010006	5	7	2	5	2	0	2	2	1	0	0
VN010007	1	28	1	1	2	43	2	1	1	5	0
VN010007	2	28	2	1	2	42	2	1	1	0	0
VN010007	15	3	2	5	88	88	2	88	88	88	88
VN010008	1	36	1	1	2	43	2	1	1	5	0
VN010008	2	34	2	1	2	44	2	1	1	0	0
VN010008	3	9	1	5	1	42	2	1	2	0	0
VN010009	1	61	2	3	2	0	2	1	1	0	0
VN010009	2	26	1	1	2	0	2	1	1	3	0
VN010009	3	27	2	1	2	42	2	1	1	0	0
VN010010	1	32	1	1	2	44	2	1	1	10	0
VN010010	2	31	2	1	2	43	2	1	1	0	0
VN010010	3	9	1	5	1	42	2	2	2	0	0
VN010011	1	36	1	1	2	45	2	1	1	10	0
VN010011	2	34	2	1	2	42	2	1	1	0	0
VN010011	3	9	2	5	1	42	2	1	2	0	0
VN010011	4	6	1	5	1	42	2	2	2	0	0
VN010012	1	30	1	1	2	42	2	1	1	2	0
VN010012	2	29	2	1	2	42	2	1	1	0	0
VN010012	3	7	2	5	1	42	2	1	2	0	0
VN010012	4	5	2	5	2	0	2	2	2	0	0
VN010013	1	52	1	3	2	45	2	1	1	0	0
VN010013	2	50	2	3	2	43	2	1	1	0	0
VN010013	3	32	1	1	2	46	2	1	1	0	0
VN010013	4	30	2	1	2	45	2	1	1	0	0
VN010013	5	5	2	5	2	0	2	2	2	0	0
VN010014	1	74	2	3	2	42	1	2	2	0	0
VN010014	2	36	2	1	2	43	2	1	1	0	0
VN010014	3	32	1	1	2	43	2	1	1	3	0
VN010015	1	38	1	1	2	43	2	1	1	0	0
VN010015	2	36	2	1	2	43	2	1	1	0	0
VN010015	3	17	2	5	1	44	2	1	2	0	0
VN010015	4	12	1	5	1	43	2	1	2	0	0
VN010016	1	24	1	1	2	42	2	1	1	0	0
VN010016	2	19	2	1	2	42	2	1	1	0	0
VN010017	1	29	1	1	2	0	2	1	1	10	0
VN010017	2	24	2	1	2	42	2	1	1	0	0
VN010018	1	32	1	1	2	45	2	1	1	0	0
VN010018	2	27	2	1	2	42	2	1	1	0	0
VN010018	3	8	1	5	1	42	2	1	2	0	0
VN010019	1	32	1	1	2	43	2	2	1	1	0
VN010019	2	29	2	1	2	43	2	1	1	0	0
VN010020	1	33	1	1	2	42	2	2	1	0	0
VN010020	2	27	2	1	2	42	2	1	1	0	0
VN010021	1	36	1	1	2	46	2	2	1	20	0
VN010021	2	29	2	1	2	46	2	1	1	0	0
VN010021	3	8	1	5	1	42	2	2	2	0	0
VN010022	1	26	1	1	2	43	2	2	1	3	0
VN010022	2	24	2	1	2	43	2	1	1	0	0
VN010024	1	34	1	1	2	43	2	1	1	10	0
VN010024	2	32	2	1	2	43	2	1	1	0	0
VN010024	3	11	2	5	1	43	2	1	2	0	0
VN010024	4	9	1	5	1	42	2	1	2	0	0
VN010025	1	28	1	1	2	42	2	1	1	10	0
VN010025	2	22	2	1	2	43	2	1	1	0	0
VN010025	15	3	1	5	88	88	2	88	88	88	88
VN010026	1	31	1	1	2	42	2	1	1	6	0
VN010026	2	25	2	1	2	42	2	1	1	0	0
VN010026	15	3	2	5	88	88	2	88	88	88	88
VN010027	1	58	1	3	2	44	2	1	1	10	0
VN010027	2	55	2	3	2	42	2	1	1	0	0
VN010027	3	26	1	1	2	46	2	1	1	6	0
VN010027	4	23	2	1	2	46	2	1	1	0	0
VN010029	1	26	1	1	2	43	2	1	1	0	0
VN010029	2	21	2	1	2	42	2	1	1	0	0
VN010030	1	24	2	1	2	42	2	1	1	0	0
VN010030	2	23	1	1	2	42	2	1	1	0	0
VN010031	1	70	2	3	2	0	1	2	2	20	0
VN010031	2	36	1	1	2	43	2	1	1	0	0
VN010031	3	32	2	1	2	43	2	1	1	0	0
VN010031	4	15	2	5	1	43	2	1	2	0	0
VN010031	5	12	2	5	1	43	2	1	2	0	0
VN010031	6	9	2	5	1	42	2	1	2	0	0
VN010032	1	31	1	1	2	42	2	1	1	10	0
VN010032	2	29	2	1	2	42	2	1	1	0	0
VN010032	3	9	1	5	1	42	2	1	2	0	0
VN010032	4	7	1	5	1	42	2	1	2	0	0
VN010033	1	30	1	1	2	43	2	1	1	2	0
VN010033	2	23	2	1	2	42	2	1	1	0	0
VN010033	15	4	2	5	88	88	2	88	88	88	88
VN010034	1	32	1	1	2	42	2	1	1	0	0
VN010034	2	30	2	1	2	42	2	1	1	0	0
VN010034	3	6	2	5	1	42	2	1	2	0	0
VN010035	1	29	1	1	2	42	2	2	1	0	0
VN010035	2	27	2	1	2	42	2	1	1	0	0
VN010035	3	6	2	5	2	0	2	2	2	0	0
VN010036	1	45	1	3	2	42	2	1	1	20	0
VN010036	2	43	2	3	2	0	2	1	1	0	0
VN010036	3	24	1	1	2	43	2	1	1	6	0
VN010036	4	22	2	1	2	43	2	1	1	0	0
VN010037	1	32	1	1	2	42	2	1	1	20	0
VN010037	2	30	2	1	2	0	2	1	1	0	0
VN010037	3	9	2	5	1	42	2	1	2	0	0
VN010037	4	8	1	5	1	42	2	2	2	0	0
VN010038	1	25	1	1	2	43	2	1	1	0	0
VN010038	2	23	2	1	2	43	2	1	1	0	0
VN010039	1	23	1	1	2	42	2	1	1	8	0
VN010039	2	23	2	1	2	42	2	1	1	0	0
VN010040	1	48	1	3	2	46	2	1	1	4	0
VN010040	2	45	2	3	2	45	2	1	2	0	0
VN010040	3	26	1	1	1	46	2	2	2	0	0
VN010040	4	25	2	1	2	43	2	1	1	0	0
VN010040	5	23	2	4	2	46	2	2	2	0	0
VN010040	6	21	1	4	2	45	2	2	2	7	0
VN010040	7	16	2	4	1	44	2	2	2	0	0
VN010040	8	14	2	4	1	43	2	2	2	0	0
VN010040	9	25	1	4	1	46	2	2	2	4	0
VN010041	1	30	1	1	2	43	2	2	1	10	0
VN010041	2	26	2	1	2	42	2	1	1	0	0
VN010041	3	5	2	5	2	0	2	2	2	0	0
VN010041	15	4	2	5	88	88	2	88	88	88	88
VN010042	1	36	1	1	2	44	2	1	1	3	0
VN010042	2	31	2	1	2	43	2	1	1	0	0
VN010042	3	9	1	5	1	42	2	1	2	0	0
VN010043	1	23	1	1	2	42	2	1	1	10	0
VN010043	2	22	2	1	2	42	2	1	1	0	0
VN010044	1	67	2	3	2	42	2	1	1	0	0
VN010044	2	39	2	4	2	44	2	1	1	0	0
VN010044	3	29	1	1	2	45	2	1	1	7	0
VN010044	4	27	2	1	2	46	2	1	1	0	0
VN010045	1	27	1	1	2	42	2	1	1	2	0
VN010045	2	25	2	1	2	43	2	1	1	0	0
