CHILDID	CAID	WHO	TIMECARE	PAYCARE
VN010003	1	1	2	2
VN010005	1	1	1	2
VN010007	1	1	3	1
VN010008	1	1	2	2
VN010013	1	2	1	1
VN010014	1	1	1	1
VN010015	1	1	2	1
VN010016	1	1	2	2
VN010017	1	1	1	2
VN010019	1	1	2	2
VN010020	1	1	2	2
VN010021	1	1	2	2
VN010024	1	1	1	2
VN010029	1	1	1	2
VN010030	1	1	1	1
VN010032	1	1	2	2
VN010033	1	1	1	2
VN010034	1	1	1	2
VN010035	1	1	1	2
VN010038	1	1	2	2
VN010039	1	1	1	2
VN010042	1	1	1	1
VN010044	1	1	1	2
VN010050	1	1	2	2
VN010052	1	1	2	2
VN010053	1	1	2	2
VN010054	1	1	2	2
VN010059	1	1	2	2
VN010060	1	1	3	2
VN010063	1	1	2	2
VN010064	1	1	3	1
VN010067	1	1	1	2
VN010069	1	1	2	2
VN010070	1	1	2	2
VN010071	1	1	2	2
VN010072	1	1	2	2
VN010073	1	1	1	2
VN010075	1	1	2	2
VN010077	1	1	2	2
VN010082	1	1	2	2
VN010083	1	1	2	1
VN010086	1	1	1	1
VN010088	1	1	1	2
VN010089	1	1	2	2
VN010092	1	1	2	2
VN010093	1	1	2	1
VN010094	1	1	1	2
VN010095	1	1	1	1
VN010096	1	1	3	2
VN010109	1	1	2	2
VN010121	1	1	1	2
VN010124	1	1	2	2
VN020001	1	1	2	2
VN020002	1	1	3	2
VN020004	1	1	2	2
VN020005	1	1	3	2
VN020007	1	1	2	2
VN020009	1	1	2	2
VN020010	1	2	3	1
VN020018	1	1	2	2
VN020022	1	1	2	2
VN020024	1	1	2	2
VN020028	1	1	2	2
VN020029	1	1	1	2
VN020039	1	1	3	2
VN020043	1	1	1	2
VN020044	1	1	1	2
VN020046	1	1	2	2
VN020048	1	1	2	2
VN020050	1	1	2	2
VN020053	1	1	1	2
VN020054	1	1	2	2
VN020055	1	1	2	1
VN020061	1	1	2	2
VN020063	1	1	2	2
VN020079	1	1	2	2
VN020080	1	1	2	2
VN020086	1	1	2	2
VN020095	1	1	1	2
VN020097	1	1	2	2
VN020099	1	1	2	2
VN020108	1	1	1	2
VN020110	1	1	1	2
VN020118	1	1	2	2
VN020119	1	1	2	2
VN020129	1	1	1	2
