CHILDID	REMID	REMREL	REMQNT	REMTYPE	V1070403
VN010001	1	3	15	3	2
VN010001	2	2	10	3	1
VN010002	1	3	5	3	2
VN010002	2	2	2	3	1
VN010003	1	3	5	3	1
VN010003	2	2	8	3	1
VN010004	1	3	12	3	2
VN010004	2	2	7	3	2
VN010004	3	4	6	3	2
VN010004	4	5	3	2	2
VN010005	1	3	2	2	2
VN010005	2	2	3	2	2
VN010007	1	2	6	3	1
VN010007	2	3	12	3	1
VN010008	1	2	5	2	2
VN010008	2	3	3	2	2
VN010013	1	2	4	3	1
VN010013	2	3	5	3	1
VN010014	1	2	10	3	1
VN010014	2	3	5	2	1
VN010014	3	5	5	2	1
VN010014	4	6	1	2	2
VN010015	1	2	6	2	1
VN010015	2	3	60	2	1
VN010015	3	4	10	2	1
VN010016	1	3	2	1	1
VN010017	1	3	3	1	1
VN010017	2	2	3	1	1
VN010018	1	3	4	1	1
VN010018	2	2	3	2	1
VN010018	3	1	1	2	1
VN010019	1	3	3	3	1
VN010024	1	3	12	2	2
VN010024	2	2	10	1	2
VN010024	3	4	5	1	2
VN010027	1	2	16	3	1
VN010027	2	3	18	3	1
VN010027	3	5	15	3	1
VN010031	1	3	2	3	1
VN010031	2	2	8	3	1
VN010032	1	3	120	3	2
VN010032	2	2	78	3	2
VN010032	3	5	24	3	2
VN010033	1	3	260	3	2
VN010033	2	2	140	3	2
VN010033	3	5	3	1	2
VN010036	1	2	3	3	1
VN010036	2	3	5	3	1
VN010037	1	3	5	3	2
VN010037	2	2	5	1	2
VN010038	1	3	5	2	1
VN010038	2	2	15	1	1
VN010039	1	3	10	2	1
VN010039	2	2	5	1	1
VN010041	1	2	15	1	1
VN010041	2	3	5	1	1
VN010043	1	2	10	1	1
VN010043	2	3	15	3	1
VN010043	3	4	2	1	1
VN010044	1	2	16	3	1
VN010044	2	3	7	3	1
VN010044	3	5	6	3	1
VN010048	1	2	3	2	1
VN010050	1	2	5	3	1
VN010050	2	3	3	3	1
VN010051	1	2	4	2	2
VN010051	2	3	5	2	2
VN010051	3	5	4	2	2
VN010052	1	3	5	1	2
VN010052	2	2	10	3	2
VN010052	3	5	10	1	2
VN010052	4	4	4	2	2
VN010054	1	2	10	3	1
VN010054	2	3	6	3	1
VN010055	1	3	6	2	2
VN010055	2	2	7	3	2
VN010055	3	5	3	2	2
VN010061	1	2	6	2	1
VN010062	1	2	5	1	2
VN010063	1	3	40	3	1
VN010064	1	2	2	3	1
VN010064	2	3	5	3	1
VN010064	3	5	4	2	1
VN010069	1	2	10	3	1
VN010069	2	3	12	3	1
VN010070	1	2	5	3	1
VN010070	2	3	6	3	1
VN010072	1	2	8	3	1
VN010072	2	3	3	3	1
VN010073	1	2	7	3	1
VN010073	2	3	5	3	1
VN010074	1	3	3	3	2
VN010074	2	2	3	2	2
VN010074	3	5	7	1	2
VN010075	1	3	6	3	2
VN010075	2	2	2	1	2
VN010075	3	5	3	1	2
VN010082	1	2	10	2	1
VN010088	1	2	3	3	1
VN010088	2	3	4	3	1
VN010089	1	3	5	2	1
VN010093	1	2	4	3	1
VN010093	2	3	10	3	1
VN010093	3	5	4	2	1
VN010096	1	2	1	2	1
VN010096	2	3	6	3	1
VN010096	3	5	5	2	1
VN010097	1	3	10	3	1
VN010097	2	2	7	2	1
VN010097	3	4	48	2	1
VN010097	4	5	10	2	1
VN010100	1	2	15	1	1
VN010100	2	3	10	1	1
VN010100	3	4	12	1	1
VN010100	4	5	20	1	1
VN010104	1	2	170	3	1
VN010104	2	3	170	3	1
VN010104	3	4	60	3	1
VN010104	4	5	48	3	1
VN010109	1	3	18	2	1
VN010109	2	2	2	2	1
VN010109	3	4	1	1	1
VN010109	4	5	3	2	1
VN010118	1	2	6	3	1
VN010118	2	3	8	3	1
VN010121	1	2	15	3	2
VN010121	2	3	10	1	2
VN010124	1	2	8	3	1
VN010124	2	3	5	3	1
VN010140	1	3	2	3	1
VN010140	2	2	4	3	1
VN020001	1	2	3	3	1
VN020001	2	3	4	3	1
VN020002	1	2	6	3	1
VN020002	2	3	2	3	1
VN020003	1	2	6	3	1
VN020003	2	3	4	3	1
VN020004	1	3	240	3	2
VN020004	2	2	180	3	2
VN020004	3	5	2	3	2
VN020005	1	2	5	3	1
VN020005	2	3	2	3	1
VN020007	1	2	24	2	1
VN020007	2	3	24	1	1
VN020007	3	5	24	3	1
VN020009	1	2	2	3	2
VN020009	2	3	3	3	2
VN020012	1	3	3	1	2
VN020012	2	2	5	1	2
VN020016	1	3	10	1	2
VN020016	2	2	4	1	2
VN020017	1	3	5	3	1
VN020017	2	2	2	2	1
VN020018	1	2	1	1	2
VN020018	2	3	2	3	1
VN020022	1	3	10	2	2
VN020022	2	2	8	2	1
VN020022	3	5	15	1	1
VN020023	1	2	36	3	1
VN020023	2	3	36	3	1
VN020025	1	3	5	1	2
VN020025	2	2	3	1	2
VN020027	1	3	15	3	2
VN020028	1	2	8	3	1
VN020028	2	3	10	3	1
VN020028	3	5	8	3	1
VN020029	1	2	2	3	1
VN020029	2	3	13	2	1
VN020029	3	4	1	2	1
VN020029	4	5	14	3	1
VN020032	1	3	4	3	2
VN020033	1	3	2	1	2
VN020034	1	2	1	1	2
VN020039	1	2	8	3	1
VN020039	2	3	6	3	1
VN020044	1	3	2	1	1
VN020046	1	3	4	1	2
VN020046	2	2	3	1	1
VN020046	3	5	5	1	1
VN020047	1	2	5	1	2
VN020047	2	3	10	2	1
VN020050	1	2	24	3	2
VN020050	2	3	24	3	2
VN020050	3	5	96	3	2
VN020053	1	2	240	3	1
VN020053	2	3	240	3	1
VN020053	3	4	60	3	1
VN020054	1	3	50	2	1
VN020055	1	2	120	1	1
VN020055	2	3	24	3	1
VN020055	3	5	10	2	1
VN020062	1	3	3	2	2
VN020062	2	2	4	3	2
VN020063	1	2	4	3	1
VN020063	2	3	5	3	1
VN020065	1	3	30	3	1
VN020066	1	2	5	3	1
VN020066	2	3	4	3	1
VN020068	1	3	5	2	2
VN020073	1	2	6	3	1
VN020073	2	3	5	3	1
VN020075	1	2	5	2	1
VN020075	2	5	3	2	1
VN020077	1	2	6	2	1
VN020079	1	3	7	3	2
VN020080	1	2	10	3	1
VN020080	2	3	15	3	1
VN020083	1	3	10	3	2
VN020087	1	2	36	2	1
VN020087	2	3	36	2	1
VN020087	3	5	24	2	1
VN020088	1	2	6	3	2
VN020088	2	3	3	3	1
VN020089	1	3	10	1	2
VN020089	2	2	2	2	1
VN020090	1	2	6	2	1
VN020090	2	3	13	3	1
VN020091	1	2	1	2	2
VN020092	1	2	3	3	2
VN020094	1	3	20	3	2
VN020094	2	2	30	3	2
VN020094	3	5	5	3	2
VN020095	1	2	120	3	1
VN020095	2	3	120	3	2
VN020095	3	5	24	2	1
VN020096	1	2	10	3	2
VN020096	2	3	20	3	2
VN020099	1	2	5	3	1
VN020099	2	3	12	3	1
VN020099	3	3	3	3	2
VN020105	1	2	10	3	2
VN020105	2	3	17	3	2
VN020106	1	3	2	2	2
VN020106	2	2	1	1	2
VN020108	1	3	20	2	1
VN020110	1	2	84	3	1
VN020110	2	3	72	3	1
VN020110	3	5	72	2	1
VN020113	1	3	1	2	2
VN020113	2	2	5	2	2
VN020114	1	2	3	3	1
VN020114	2	3	6	3	1
VN020125	1	3	7	3	2
VN020125	2	2	4	3	2
VN020129	1	2	6	3	1
VN020129	2	3	4	3	1
VN020131	1	2	2	2	1
VN020131	2	3	2	3	1
VN030002	1	1	4	1	1
VN030004	1	3	4	3	1
VN030004	2	2	6	3	1
VN030008	1	3	180	2	2
VN030008	2	2	10	2	2
VN030010	1	3	12	2	1
VN030010	2	2	6	2	1
VN030010	3	5	12	2	1
VN030011	1	3	5	3	1
VN030013	1	2	14	3	1
VN030019	1	2	6	3	2
VN030019	2	3	12	3	2
VN030019	3	5	4	2	1
VN030020	1	3	5	3	1
VN030020	2	2	6	1	1
VN030020	3	5	3	1	1
VN030021	1	3	10	3	2
VN030021	2	2	10	3	2
VN030021	3	5	5	1	2
VN030022	1	3	3	1	1
VN030022	2	2	7	2	1
VN030022	3	5	3	1	1
VN030025	1	2	6	3	1
VN030025	2	3	10	3	1
VN030027	1	2	2	2	1
VN030027	2	3	2	2	1
VN030028	1	3	3	3	1
VN030034	1	2	20	3	2
VN030034	2	3	10	3	2
VN030036	1	2	6	3	1
VN030036	2	3	3	3	1
VN030040	1	3	12	3	2
VN030044	1	3	50	3	1
VN030046	1	3	5	3	2
VN030047	1	3	2	1	1
VN030047	2	2	2	1	1
VN030049	1	3	3	1	1
VN030051	1	3	5	3	2
VN030051	2	2	6	2	2
VN030051	3	5	8	3	2
VN030052	1	3	180	3	2
VN030052	2	2	30	2	2
VN030052	3	5	50	1	2
VN030056	1	2	3	3	1
VN030057	1	3	3	2	1
VN030057	2	2	2	1	1
VN030067	1	3	5	3	1
VN030067	2	2	6	3	1
VN030071	1	3	3	2	1
VN030071	2	2	36	3	2
VN030071	3	5	6	2	1
VN030072	1	2	1	3	1
VN030072	2	3	5	1	1
VN030072	3	1	20	3	1
VN030073	1	2	5	3	1
VN030073	2	3	3	3	1
VN030074	1	2	8	3	1
VN030074	2	3	5	3	1
VN030075	1	2	2	1	1
VN030075	2	3	10	1	1
VN030075	3	5	2	1	1
VN030077	1	3	5	2	1
VN030078	1	3	30	3	2
VN030078	2	2	3	1	2
VN030081	1	5	2	2	1
VN030083	1	2	2	3	1
VN030086	1	3	5	3	1
VN030086	2	2	4	2	1
VN030092	1	2	4	3	1
VN030092	2	3	2	3	1
VN030093	1	3	30	3	2
VN030094	1	2	50	2	1
VN030094	2	3	70	3	1
VN030094	3	5	30	2	1
VN030096	1	2	16	3	1
VN030096	2	3	8	3	1
VN030097	1	2	3	3	1
VN030097	2	3	2	3	1
VN030097	3	4	2	3	1
VN030098	1	2	4	3	1
VN030098	2	3	8	3	1
VN030100	1	2	20	3	2
VN030100	2	3	20	2	1
VN030100	3	5	30	2	1
VN030132	1	3	3	1	1
VN030132	2	2	48	3	1
VN030132	3	5	3	2	1
VN030138	1	2	5	3	1
VN030138	2	3	3	3	1
VN040001	1	3	5	3	2
VN040001	2	2	2	1	2
VN040002	1	2	5	3	1
VN040002	2	3	7	3	1
VN040003	1	3	2	2	1
VN040005	1	3	6	3	2
VN040006	1	3	1	1	2
VN040007	1	2	36	2	1
VN040007	2	3	120	2	1
