placeid	creditid	operates
ET3101	1	1
ET3101	2	3
ET3101	3	5
ET3101	4	4
ET1021	1	1
ET1021	2	3
ET1021	3	1
ET1021	4	3
ET1021	5	4
ET2041	1	5
ET2041	2	6
ET2041	3	4
ET1022	1	1
ET1022	2	3
ET1022	3	6
ET1022	4	6
ET1011	1	3
ET1011	2	1
ET1032	1	5
ET1032	2	5
ET1032	3	5
ET1032	4	4
ET2051	1	5
ET2051	2	5
ET2051	3	4
ET2051	4	1
ET4143	1	1
ET4143	2	4
ET4143	3	5
ET1031	1	5
ET1031	2	5
ET1031	3	1
ET1031	4	4
ET5171	1	3
ET5171	2	3
ET5201	1	5
ET5201	2	1
ET5201	3	3
ET5201	4	3
ET5181	1	5
ET5181	2	4
ET5181	3	6
ET5191	1	5
ET5191	2	1
ET5191	3	4
ET4141	1	5
ET4141	2	1
ET4141	3	1
ET4141	4	2
ET4144	1	1
ET4144	2	5
ET4144	3	5
ET4144	4	2
ET4131	1	2
ET4131	2	1
ET4131	3	4
ET4161	1	4
ET3091	1	3
ET3091	2	5
ET3091	3	4
ET4151	1	4
ET2071	1	5
ET2071	2	3
ET2071	3	3
ET2071	4	6
ET2061	1	3
ET2061	2	3
ET2061	3	1
ET4121	1	4
ET4121	2	3
ET4121	3	3
ET4121	4	3
ET3111	1	1
ET3111	2	4
ET3111	3	5
ET3111	4	1
