placeid	disastid	disaster	longago	pplaftcd	askhelp1	askhelp2	askhelp3	recvhelp	typehlp1	youask1	enough1	typehlp2	youask2	enough2	typehlp3	youask3	enough3
ET1021	1	6	1	132	1	88	88	1	2	1	1	4	1	1	7	1	1
ET2051	1	10	2	-77	1	2	3	0	88	88	88	88	88	88	88	88	88
ET2051	2	9	37	-77	1	2	3	0	88	88	88	88	88	88	88	88	88
ET1031	1	6	14	500	1	88	88	0	88	88	88	88	88	88	88	88	88
ET5171	1	3	30	1999	1	88	88	1	2	1	0	7	0	0	0	1	0
ET5171	2	5	12	2	0	0	0	0	88	88	88	88	88	88	88	88	88
ET5181	1	3	46	120	1	2	88	2	1	1	0	2	1	0	88	0	88
ET5181	2	10	36	60	1	2	88	2	2	1	0	88	0	88	88	0	88
ET5191	1	3	24	10000	1	88	88	1	1	1	0	2	1	0	88	0	88
ET4141	1	6	24	64	1	2	88	2	2	1	0	4	1	0	0	0	88
ET4141	2	12	3	-77	1	88	88	1	3	1	1	0	0	88	0	0	88
ET4144	1	6	3	120	1	88	88	2	4	1	0	2	1	0	0	88	88
ET4144	2	9	120	3	1	88	88	2	4	1	0	2	1	0	0	88	88
ET4131	1	6	15	200	0	88	88	0	88	88	88	88	88	88	88	88	88
ET4131	2	12	34	2813	1	4	88	4	3	1	1	2	1	0	4	0	1
ET4161	1	6	15	67	1	88	88	0	88	88	88	88	88	88	88	88	88
ET4161	2	6	3	70	1	88	88	0	88	88	88	88	88	88	88	88	88
ET4161	3	11	4	120	1	88	88	1	3	1	0	0	0	88	88	88	88
ET3081	1	3	12	82	1	88	88	1	1	1	0	0	0	88	88	88	88
ET3081	2	3	48	422	4	1	88	4	1	1	0	0	0	88	88	88	88
ET3081	3	3	36	211	1	88	88	1	7	1	0	0	0	88	88	88	88
ET3091	1	3	12	1756	1	2	88	1	2	1	0	0	0	88	88	88	88
ET3091	2	3	6	1659	1	2	88	1	2	1	0	0	0	88	88	88	88
ET4151	1	9	6	540	1	88	88	0	88	88	88	88	88	88	88	88	88
ET4151	2	3	17	2000	1	88	88	1	2	1	0	88	88	88	88	88	88
ET4151	3	12	13	3000	1	88	88	1	3	1	1	88	88	88	88	88	88
ET2071	1	3	12	6000	1	88	88	1	2	1	0	1	1	0	0	0	88
ET2071	2	4	1	5100	1	88	88	1	6	1	0	6	1	0	0	0	88
ET2071	3	10	6	2500	1	88	88	0	0	1	0	0	1	0	0	0	88
ET2061	1	3	12	4000	1	88	88	1	2	1	0	1	1	0	0	1	88
ET2061	2	4	3	500	1	88	88	1	2	1	0	0	1	88	0	0	88
ET2061	3	6	3	400	1	88	88	1	0	1	0	0	0	88	0	0	88
ET3111	1	11	40	100	1	3	88	3	1	1	0	7	1	1	0	88	88
ET3111	2	11	7	20	1	3	88	3	1	1	0	7	1	1	0	88	88
ET3111	3	9	60	754	0	88	88	0	88	88	88	88	88	88	88	88	88
ET3111	4	4	3	3	0	88	88	4	7	0	0	0	0	88	0	0	88
ET3101	1	6	27	20	1	88	88	1	7	1	0	0	0	88	88	88	88
ET3101	2	7	11	80	1	88	88	0	88	88	88	88	88	88	88	88	88
ET3101	3	11	12	20	1	88	88	1	7	1	0	0	0	88	88	88	88
ET3101	4	9	14	50	0	88	88	0	88	88	88	88	88	88	88	88	88
