PLACEID	FOODID	AVGPRCE
IN001	1	15
IN001	2	10
IN001	3	2
IN002	1	15
IN002	2	10
IN002	3	2
IN003	1	15
IN003	2	2
IN004	1	10
IN004	2	15
IN004	3	2
IN005	1	20
IN005	2	3
IN006	1	10
IN006	2	2
IN006	3	15
IN007	1	 
IN008	1	10
IN009	1	 
IN009	2	 
IN010	1	 
IN011	1	10
IN011	2	20
IN011	3	2
IN012	1	12
IN012	2	2
IN012	3	1
IN013	1	15
IN013	2	10
IN013	3	2
IN014	1	 
IN014	2	 
IN015	1	12
IN015	2	2
IN015	3	7
IN016	1	 
IN017	1	12
IN017	2	1
IN018	1	15
IN019	1	 
IN020	1	2
IN020	2	10
IN020	3	15
IN021	1	15
IN021	2	1
IN022	1	15
IN022	2	10
IN022	3	2
IN023	1	15
IN023	2	10
IN023	3	10
IN024	1	 
IN025	1	 
IN026	1	 
IN027	1	 
IN028	1	 
IN029	1	2
IN030	1	 
IN031	1	 
IN032	1	2
IN033	1	 
IN034	1	 
IN035	1	 
IN036	1	 
IN037	1	 
IN040	1	12
IN041	1	10
IN041	2	1
IN042	1	10
IN043	1	10
IN043	2	1
IN043	3	1
IN043	4	1
IN044	1	10
IN044	2	1
IN045	1	10
IN045	2	1
IN045	3	1
IN045	4	1
IN045	5	10
IN045	6	12
IN045	7	1
IN046	1	 
IN048	1	 
IN049	1	 
IN050	1	1
IN050	2	3
IN050	3	35
IN050	4	15
IN051	1	10
IN052	1	10
IN053	1	15
IN054	1	15
IN055	1	10
IN055	2	15
IN056	1	10
IN056	2	3
IN056	3	2
IN056	4	1
IN057	1	10
IN057	2	1
IN057	3	3
IN057	4	10
IN057	5	1
IN058	1	10
IN058	2	2
IN058	3	1
IN058	4	1
IN061	1	7
IN061	2	3.5
IN061	3	3.5
IN062	1	8
IN062	2	4
IN062	3	4
IN063	1	4
IN063	2	4
IN064	1	3
IN064	2	3
IN064	3	3
IN065	1	8
IN065	2	4
IN065	3	4
IN066	1	 
IN067	1	3
IN067	2	3
IN068	1	3
IN068	2	3
IN068	3	3
IN069	1	2.5
IN069	2	2.5
IN069	3	2.5
IN069	4	30
IN069	5	1.5
IN069	6	3
IN070	1	3
IN070	2	3
IN070	3	3
IN071	1	 
IN072	1	 
IN073	1	 
IN074	1	 
IN075	1	 
IN076	1	5
IN076	2	5
IN076	3	2.5
IN077	1	2.5
IN077	2	10
IN077	3	3
IN077	4	1
IN078	1	5
IN078	2	2.5
IN079	1	5
IN079	2	2.5
IN079	3	2.5
IN079	4	 
IN080	1	2.5
IN080	2	2.5
IN080	3	2.5
IN080	4	30
IN081	1	 
IN082	1	 
IN083	1	 
IN084	1	 
IN085	1	 
IN087	1	 
IN089	1	 
IN092	1	11
IN092	2	1.5
IN093	1	 
IN094	1	 
IN096	1	 
IN097	1	15
IN097	2	10
IN097	3	3
IN099	1	15
IN099	2	2
IN101	1	 
IN102	1	 
