PLACEID	LOCENTID	CODELOC	ROUTEACC	TRANSPOR	TIMESCHL
IN001	1	2	1	1	5
IN002	1	2	2	1	5
IN003	1	2	1	1	5
IN004	1	1	1	5	 
IN005	1	2	1	1	5
IN006	1	2	1	1	5
IN007	1	2	1	1	5
IN007	2	3	1	1	30
IN007	3	3	1	1	30
IN008	1	3	3	1	5
IN009	1	2	2	1	5
IN011	1	1	3	8	30
IN011	2	1	3	8	60
IN011	3	1	3	8	120
IN011	4	1	3	8	30
IN011	5	1	3	8	45
IN012	1	2	2	1	5
IN013	1	2	1	1	6
IN014	1	2	1	1	5
IN014	2	2	1	1	30
IN014	3	2	1	1	30
IN014	4	3	1	1	5
IN015	1	2	2	1	5
IN016	1	2	2	1	5
IN016	2	3	2	1	10
IN016	3	2	2	1	5
IN016	4	2	1	1	25
IN016	5	2	2	1	 
IN017	1	2	1	1	5
IN017	2	2	1	1	15
IN018	1	2	1	1	5
IN019	1	2	2	1	5
IN019	2	2	1	1	10
IN019	3	2	1	1	10
IN020	1	2	1	1	5
IN020	2	2	1	3	10
IN021	1	2	1	1	5
IN022	1	2	1	1	5
IN023	1	2	1	1	5
IN023	2	3	1	1	20
IN023	3	3	1	1	15
IN024	1	1	2	1	10
IN024	2	1	2	1	5
IN024	3	1	2	1	5
IN024	4	1	2	1	5
IN024	5	1	2	1	5
IN025	1	1	3	3	10
IN025	2	1	3	3	10
IN025	3	1	3	3	10
IN025	4	1	3	3	10
IN026	1	1	3	1	5
IN026	2	1	3	1	5
IN026	3	1	3	1	10
IN026	4	1	3	1	15
IN026	5	1	3	4	10
IN027	1	2	2	1	20
IN027	2	3	3	1	15
IN027	3	3	2	1	30
IN027	4	3	3	1	45
IN027	5	3	3	1	45
IN028	1	2	1	1	15
IN028	2	2	2	5	60
IN028	3	2	2	5	60
IN028	4	2	1	1	30
IN029	1	3	2	1	10
IN029	2	1	2	3	10
IN030	1	3	1	1	25
IN031	1	3	4	5	20
IN031	2	2	2	8	45
IN031	3	2	2	5	20
IN031	4	2	2	8	120
IN031	5	2	2	5	45
IN033	1	2	1	1	15
IN035	1	2	1	1	5
IN036	1	2	1	1	10
IN037	1	2	1	1	5
IN038	1	2	1	1	10
IN038	2	2	1	1	20
IN040	1	2	1	1	5
IN040	2	2	1	1	10
IN041	1	2	1	1	30
IN041	2	2	1	1	10
IN044	1	2	1	1	30
IN044	2	2	1	1	30
IN044	3	2	1	1	30
IN046	1	2	1	1	5
IN047	1	1	2	5	5
IN047	2	1	2	5	10
IN047	3	1	2	5	10
IN047	4	1	2	5	10
IN047	5	1	2	5	10
IN047	6	1	2	5	10
IN048	1	1	1	1	5
IN048	2	1	2	1	5
IN049	1	1	2	1	5
IN049	2	1	2	1	10
IN049	3	1	2	1	15
IN049	4	1	2	1	10
IN053	1	2	2	1	10
IN053	2	2	2	1	10
IN053	3	2	2	1	15
IN053	4	2	2	8	10
IN053	5	2	2	8	10
IN053	6	2	2	8	10
IN053	7	2	2	8	10
IN053	8	2	2	8	10
IN053	9	2	2	1	10
IN053	10	2	2	1	15
IN053	11	2	2	8	10
IN056	1	2	1	1	10
IN063	1	2	3	1	30
IN072	1	2	3	8	30
IN072	2	2	1	8	15
IN073	1	3	2	1	30
IN073	2	3	2	1	10
IN074	1	2	2	8	5
IN074	2	2	2	8	10
IN074	3	2	1	8	6
IN074	4	2	1	8	15
IN075	1	2	1	1	60
IN075	2	2	1	8	25
IN077	1	2	1	1	20
IN077	2	2	1	1	15
IN077	3	2	1	1	20
IN081	1	2	2	1	40
IN081	2	2	2	1	30
IN081	3	2	2	1	15
IN082	1	3	2	1	15
IN082	2	3	1	1	30
IN083	1	2	1	1	15
IN083	2	2	1	1	20
IN083	3	2	1	1	15
IN084	1	2	1	1	15
IN084	2	2	1	1	10
IN084	3	2	1	1	10
IN085	1	2	1	1	45
IN085	2	2	5	1	30
IN085	3	2	5	1	20
IN086	1	1	2	8	10
IN086	2	1	2	5	15
IN086	3	1	2	5	15
IN087	1	77	1	5	20
IN087	2	77	1	5	20
IN087	3	77	1	5	15
IN087	4	77	1	5	15
IN088	1	1	1	6	15
IN088	2	1	1	6	15
IN088	3	1	1	6	15
IN088	4	1	1	6	30
IN088	5	1	1	6	30
IN089	1	1	1	1	10
IN089	2	1	2	1	15
IN089	3	1	1	1	10
IN089	4	1	2	1	10
IN090	1	1	1	1	5
IN090	2	1	1	1	15
IN090	3	1	1	1	10
IN090	4	1	1	1	20
IN090	5	1	1	1	20
IN091	1	1	1	1	10
IN091	2	1	1	1	15
IN091	3	1	1	2	25
IN092	1	2	2	1	5
IN093	1	3	1	77	5
IN093	2	3	1	77	5
IN093	3	2	2	77	5
IN093	4	2	2	77	8
IN094	1	6	2	1	10
IN094	2	6	2	1	10
IN094	3	6	2	1	15
IN096	1	2	1	1	30
IN096	2	3	1	1	30
IN096	3	2	2	8	60
IN096	4	3	1	1	15
IN096	5	2	1	1	30
IN097	1	2	1	77	77
IN099	1	2	1	1	5
IN101	1	1	2	1	5
IN101	2	1	2	1	10
IN101	3	1	2	1	10
IN101	4	1	2	1	5
IN102	1	1	2	1	5
IN102	2	1	2	1	10
IN102	3	1	2	1	10
IN102	4	1	2	1	8
