PLACEID	RSID	MODULE	SECTION	SECTION2	SECTION3	AGERES	SEXRES	INFCASTE	CAPAC	LIVRES
IN001	1	1	1	2	3	53	1	4	9	4
IN001	2	1	1	2	3	48	1	3	8	48
IN001	3	1	3	5	 	40	1	3	2	40
IN001	4	1	2	4	1	36	1	1	2	36
IN001	5	1	3	4	5	45	1	3	2	45
IN001	6	1	1	2	3	60	1	2	2	60
IN001	7	1	1	3	5	45	1	2	2	45
IN001	8	1	3	4	5	42	1	1	2	42
IN001	9	1	3	4	5	58	1	3	2	58
IN001	10	2	1	3	 	55	1	1	4	1
IN001	11	2	1	3	 	26	2	3	4	3
IN001	12	2	2	4	5	35	2	1	4	20
IN001	13	2	2	3	1	20	2	1	6	20
IN001	14	2	3	4	5	56	1	1	4	1
IN001	15	2	4	5	2	30	2	3	3	5
IN001	16	1	5	 	 	48	1	3	2	48
IN001	17	1	5	 	 	30	1	3	2	30
IN001	18	1	5	 	 	40	2	3	6	25
IN001	19	2	4	4	 	45	1	3	8	45
IN001	20	1	5	 	 	32	1	3	2	2
IN002	1	2	1	3	 	56	1	3	4	4
IN002	2	2	1	4	3	29	2	1	4	4
IN002	3	2	1	3	 	38	1	4	8	38
IN002	4	2	1	2	5	40	1	3	8	2
IN002	5	2	2	 	 	23	2	4	8	6
IN002	6	1	3	5	4	61	1	4	2	61
IN002	7	1	3	2	4	31	1	4	2	4
IN002	8	1	3	1	5	42	1	3	1	42
IN002	9	1	3	1	5	50	1	3	8	50
IN002	10	1	1	3	5	51	1	4	9	5
IN002	11	1	1	5	2	70	1	4	8	70
IN002	12	2	4	3	 	37	2	2	3	3
IN002	13	2	4	2	 	30	1	3	3	0
IN002	14	2	4	1	 	25	2	4	3	25
IN002	15	1	4	5	1	42	1	4	1	42
IN002	16	2	2	3	 	38	2	1	8	22
IN002	17	1	4	2	1	35	1	1	8	35
IN002	18	1	5	2	 	26	1	4	8	26
IN002	19	1	5	 	 	32	1	4	8	32
IN003	1	1	1	2	3	45	2	3	1	45
IN003	2	1	1	2	3	38	1	3	9	5
IN003	3	1	1	4	5	42	1	3	8	42
IN003	4	1	2	5	 	29	1	3	4	6
IN003	5	2	1	5	 	36	1	4	4	6
IN003	6	2	3	1	 	36	1	4	4	4
IN003	7	2	3	5	 	25	1	3	4	1
IN003	8	2	3	 	 	45	1	3	8	45
IN003	9	1	4	2	3	50	1	1	8	50
IN003	10	2	4	5	1	40	1	3	8	40
IN003	11	1	4	5	 	38	1	4	8	38
IN003	12	2	2	 	 	35	2	1	8	10
IN003	13	2	2	3	 	28	2	3	8	8
IN003	14	1	1	3	5	45	2	3	1	45
IN003	15	2	4	 	 	35	2	3	3	1
IN003	16	2	4	5	 	30	1	3	3	12
IN003	17	2	4	 	 	35	2	3	3	10
IN003	18	2	1	5	 	45	2	3	1	45
IN003	19	1	1	5	 	26	1	4	8	26
IN003	20	1	1	5	 	35	1	3	8	35
IN003	21	1	4	3	 	28	2	3	8	8
IN003	22	2	2	 	 	45	2	3	1	45
IN003	23	2	1	3	2	29	1	3	4	6
IN003	24	2	2	1	3	36	1	4	4	6
IN003	25	1	5	 	 	50	1	1	8	50
IN004	1	1	5	 	 	47	1	1	2	47
IN004	2	1	1	3	5	35	1	3	2	35
IN004	3	1	1	5	7	62	1	3	2	62
IN004	4	1	4	 	 	30	1	3	2	30
IN004	5	1	2	3	5	27	1	1	8	27
IN004	6	1	2	5	3	52	1	1	9	4
IN004	7	1	2	3	5	66	1	3	2	66
IN004	8	1	2	4	5	68	2	3	6	58
IN004	9	1	4	3	5	36	1	3	2	36
IN004	10	2	3	1	 	37	1	1	4	6
IN004	11	2	3	1	 	27	1	3	4	1
IN004	12	2	1	5	2	30	2	3	4	30
IN004	13	2	1	5	2	25	2	1	3	6
IN004	14	2	1	4	5	37	2	2	4	3
IN004	15	2	4	5	 	30	1	3	3	0
IN004	16	2	4	5	 	45	2	1	3	12
IN004	17	2	4	 	 	35	2	3	3	10
IN004	18	2	3	 	 	44	1	1	4	4
IN005	1	1	1	2	3	50	1	3	1	50
IN005	2	1	1	2	3	45	1	4	9	4
IN005	3	2	3	1	 	42	1	3	4	5
IN005	4	2	3	1	 	33	1	3	4	1
IN005	5	2	2	 	 	28	2	3	8	9
IN005	6	2	2	 	 	20	2	3	8	3
IN005	7	1	3	5	 	48	1	3	8	48
IN005	8	1	3	2	5	55	1	3	8	55
IN005	9	1	3	 	 	35	2	3	8	10
IN005	10	2	1	5	2	32	1	3	8	8
IN005	11	2	5	 	 	40	1	3	8	40
IN005	12	1	5	 	 	45	1	4	8	45
IN005	13	1	4	5	 	26	1	3	8	26
IN005	14	2	5	1	4	50	1	3	1	50
IN005	15	1	4	5	 	45	1	3	8	45
IN005	16	1	4	1	5	35	1	3	8	35
IN005	17	1	4	3	5	40	1	3	8	40
IN005	18	2	1	4	 	56	1	3	8	56
IN005	19	2	4	 	 	57	1	3	8	5
IN005	20	1	4	5	 	55	1	3	8	55
IN005	21	2	3	5	 	50	1	3	1	50
IN005	22	2	5	 	 	55	1	3	8	55
IN006	1	2	2	1	5	30	2	3	4	30
IN006	2	2	2	1	5	34	2	3	8	23
IN006	3	2	3	1	5	52	1	3	4	5
IN006	4	2	3	1	 	38	2	3	4	1
IN006	5	2	3	 	 	55	1	3	4	1
IN006	6	2	3	 	 	55	1	3	4	3
IN006	7	1	1	2	5	30	1	3	2	30
IN006	8	1	1	2	 	42	1	3	2	42
IN006	9	1	1	2	5	33	1	1	8	33
IN006	10	1	3	5	4	37	1	3	2	37
IN006	11	1	3	5	4	32	1	3	2	32
IN006	12	1	3	5	 	45	1	3	2	45
IN006	13	1	5	 	 	35	2	2	2	18
IN006	14	1	5	 	 	38	2	3	2	20
IN006	15	1	5	 	 	45	2	3	2	30
IN006	16	1	4	 	 	40	1	3	2	40
IN006	17	1	4	 	 	70	1	3	2	70
IN006	18	1	1	 	 	33	1	4	9	5
IN006	19	2	4	 	 	45	1	3	4	 
IN006	20	2	4	 	 	30	1	3	4	1
IN006	21	2	4	1	 	30	2	3	4	12
IN007	1	1	1	2	3	28	2	2	9	5
IN007	2	1	1	4	 	29	1	2	2	12
IN007	3	2	1	3	5	25	2	2	4	15
IN007	4	1	1	3	 	36	2	2	6	18
IN007	5	2	2	5	 	52	2	2	6	52
IN007	6	1	2	3	 	25	2	2	6	7
IN007	7	1	1	3	 	22	2	2	6	6
IN007	8	1	4	3	 	28	2	2	6	28
IN007	9	1	3	 	 	35	1	2	8	20
IN007	10	1	4	 	 	38	1	2	2	28
IN007	11	2	2	 	 	33	2	2	3	5
IN007	12	2	4	 	 	31	1	3	3	4
IN007	13	2	1	3	5	42	1	4	4	4
IN007	14	2	1	2	3	25	1	2	2	25
IN007	15	1	5	 	 	36	1	2	2	36
IN007	16	1	5	 	 	56	1	4	8	40
IN007	17	1	5	 	 	20	2	3	8	20
IN007	18	1	5	 	 	30	1	3	3	1
IN007	19	2	4	 	 	50	2	2	2	36
IN007	20	1	5	 	 	40	1	4	8	10
IN007	21	1	5	 	 	30	2	1	3	10
IN007	22	1	5	 	 	45	1	3	8	5
IN008	1	1	1	2	4	34	1	2	7	34
IN008	2	1	1	2	4	32	1	2	7	32
IN008	3	1	1	2	5	45	2	2	1	45
IN008	4	1	1	3	5	35	1	2	9	1
IN008	5	1	3	4	 	28	2	2	3	10
IN008	6	1	1	2	 	24	1	2	8	2
IN008	7	1	1	3	4	27	1	2	7	27
IN008	8	1	3	 	 	38	1	2	1	1
IN008	9	1	3	4	 	29	2	2	4	15
IN008	10	1	5	 	 	42	2	4	8	10
IN008	11	1	5	 	 	28	1	2	8	28
IN008	12	1	5	 	 	37	1	2	8	37
IN008	13	1	5	 	 	30	1	4	8	6
IN008	14	1	5	 	 	30	1	3	8	1
IN008	15	2	1	3	5	34	1	2	7	34
IN008	16	2	2	3	 	28	2	2	3	10
IN008	17	2	1	2	5	29	2	2	4	15
IN008	18	2	1	5	 	35	1	2	9	1
IN008	19	2	1	2	4	24	2	2	2	24
IN008	20	2	3	 	 	52	1	1	4	2
IN008	21	2	4	 	 	33	2	2	3	5
IN008	22	2	1	2	5	48	2	2	1	45
IN008	23	2	4	 	 	31	1	3	3	4
IN008	24	2	4	 	 	35	2	1	3	5
IN008	25	2	3	 	 	42	1	4	4	4
IN008	26	1	5	 	 	56	1	4	8	20
IN009	1	1	 	 	 	61	1	2	4	61
IN009	2	1	4	5	 	33	1	2	1	3
IN009	3	1	4	 	 	65	1	4	2	65
IN009	4	1	4	 	 	40	1	2	2	40
IN009	5	1	5	 	 	46	1	3	8	2
IN009	6	2	3	 	 	36	2	3	2	22
IN009	7	1	3	5	 	35	2	2	6	25
IN009	8	1	5	 	 	30	1	3	8	1
IN009	9	1	3	 	 	40	1	2	8	40
IN009	10	1	2	 	 	31	1	2	5	5
IN009	11	1	1	2	3	30	1	3	9	3
IN009	12	2	3	5	 	40	1	3	4	6
IN009	13	2	2	5	 	46	2	4	4	25
IN009	14	2	4	 	 	30	1	4	3	3
IN009	15	2	2	3	4	35	2	2	2	15
IN009	16	1	5	 	 	25	2	2	2	8
IN009	17	1	1	2	 	35	1	2	1	35
IN009	18	2	3	 	 	45	2	4	4	12
IN009	19	1	5	 	 	50	2	4	8	35
IN009	20	2	1	 	 	61	1	2	4	61
IN009	21	2	1	 	 	33	1	2	1	3
IN009	22	2	4	 	 	40	1	2	8	40
IN009	23	2	4	5	 	30	1	3	9	3
IN009	24	2	2	 	 	25	2	2	2	8
IN009	25	1	5	 	 	30	1	3	3	1
IN009	26	1	5	 	 	30	2	1	3	10
IN009	27	1	5	 	 	50	1	4	8	5
IN009	28	1	5	 	 	40	2	3	8	10
IN010	1	1	1	3	 	45	1	2	7	45
IN010	2	1	1	3	 	47	1	2	2	47
IN010	3	1	1	3	4	33	1	2	9	5
IN010	4	1	1	2	4	28	2	2	6	10
IN010	5	1	1	2	4	35	2	2	6	18
IN010	6	1	1	2	3	40	1	2	7	40
IN010	7	1	2	5	 	60	1	2	7	60
IN010	8	1	2	5	 	35	1	2	7	35
IN010	9	1	2	5	 	25	1	2	7	25
IN010	10	1	2	3	4	20	1	2	7	20
IN010	11	1	3	4	 	22	1	2	7	2
IN010	12	1	5	 	 	45	1	2	8	10
IN010	13	1	5	 	 	39	1	2	8	15
IN010	14	1	5	 	 	30	1	3	8	1
IN010	15	1	5	 	 	30	1	4	8	6
IN010	16	1	5	 	 	20	2	3	8	4
IN010	17	2	1	4	5	47	1	2	7	47
IN010	18	2	1	4	5	40	1	2	1	40
