placeid	anmlfdid	item	price	account
PE02MC01	1	RES	6	1
PE02MC01	2	CABRITO	7	1
PE02MC01	3	CERDO	5	1
PE02MC02	1	PESCADO	4	1
PE02MC02	2	POLLO	6	1
PE02MC02	3	RES	12	1
PE03MC01	1	HUEVOS	.25	2
PE03MC01	2	QUESO	4	1
PE03MC01	3	LECHE	1.79999995231628	3
PE03MC02	1	CERDO	7	1
PE03MC02	2	GALLINA	12	2
PE03MC02	3	OVEJA	5	1
PE03MC03	1	CERDO	6	1
PE03MC03	2	GALLINA	15	2
PE03MC03	3	RES	6	1
PE03MC04	1	QUESO	5	2
PE03MC04	2	GALLINA	10	2
PE03MC04	3	CERDO	7	1
PE03MC05	1	CARNE DE CERDO	6	1
PE03MC05	2	RES	7	1
PE03MC05	3	POLLO	12	2
PE03MC06	1	GALLINA	15	2
PE03MC06	2	CERDO	6	1
PE03MC06	3	HUEVOS	.25	2
PE03MC07	1	CERDO	6	1
PE03MC07	2	GALLINA	15	2
PE03MC07	3	HUEVOS	.25	2
PE03MC08	1	POLLO	12	2
PE03MC08	2	CERDO	6	1
PE03MC08	3	QUESO	6	2
PE03MC09	1	HUEVO	.400000005960464	2
PE03MC09	2	GALLINA	12	2
PE03MC09	3	QUESO	5	2
PE03MC10	1	POLLO	8	1
PE03MC10	2	RES	7	1
PE03MC10	3	HUEVO	1	2
PE05MC01	1	CERDO	7	1
PE05MC01	2	LECHE	1	3
PE05MC01	3	QUESO	6	1
PE05MC02	1	LECHE	1	3
PE05MC02	2	HUEVO	.25	2
PE05MC03	1	RES	6	1
PE05MC03	2	GALLINA	8	1
PE05MC03	3	HUEVOS	1	2
PE05MC04	1	GALLINA	18	2
PE05MC04	2	CARNE DE RES	6	1
PE05MC04	3	HUEVOS	.25	2
PE07MC01	1	CARNE RES	7	1
PE07MC01	2	HUEVOS	.200000002980232	2
PE07MC01	3	QUESO	10	1
PE10MC01	1	VICERAS DE RES	4	1
PE10MC01	2	PESCADO	2.5	1
PE10MC01	3	MENUDENCIA DE POLLO	3	1
PE10MC02	1	POLLO	6	1
PE10MC02	2	PESCADO	2	1
PE10MC02	3	PAPA	1	4
PE10MC03	1	HUEVOS	3	1
PE10MC03	2	LECHE	2.20000004768372	2
PE10MC03	3	CARNE	6	1
PE11MC01	1	CUY	3	2
PE11MC01	2	GALLINA	8	1
PE11MC01	3	CARNERO	6	1
PE12MC01	1	POLLO	6.19999980926514	1
PE12MC01	2	PESCADO	2	1
PE12MC01	3	HUEVOS	.25	2
PE12MC02	1	POLLO	5.5	1
PE12MC02	2	CARNE RES	12	1
PE12MC02	3	PESCADO	3	1
PE12MC03	1	POLLOS	5	1
PE12MC03	2	PESCADOS	3	1
PE12MC03	3	HUEVOS	3	1
PE12MC04	1	POLLO	5	1
PE12MC04	2	PESCADO	3	1
PE12MC04	3	HUEVO	3.5	1
PE12MC05	1	POLLO	5.19999980926514	1
PE12MC05	2	PESCADO	2.5	1
PE12MC05	3	HUEVOS	3.20000004768372	1
PE12MC06	1	POLLO	5	1
PE12MC06	2	PESCADO	2	1
PE12MC06	3	HUEVOS	3.59999990463257	1
PE12MC07	1	POLLO	5.5	1
PE12MC07	2	PESCADO	3	1
PE12MC07	3	RES	8	1
PE12MC08	1	POLLO	5	1
PE12MC08	2	PESCADO	3	1
PE12MC08	3	CARNE	8	1
PE12MC09	1	POLLO	5	1
PE12MC09	2	CUY	10	1
PE12MC09	3	PESCADO	2.5	1
PE12MC10	1	POLLO	5	1
PE12MC10	2	PESCADO	3	1
PE12MC10	3	HUEVOS	3.59999990463257	1
PE12MC11	1	POLLO	5	1
PE12MC11	2	PESCADO	3	1
PE12MC11	3	GALLINA	7	1
PE12MC12	1	POLLO	5.5	1
PE12MC12	2	PESCADO	3	1
PE12MC12	3	HUEVOS	3.5	1
PE12MC13	1	POLLO	5	1
PE12MC13	2	HUEVOS	.25	2
PE12MC13	3	PESCADOS	4	1
PE12MC14	1	POLLO	4.5	1
PE12MC14	2	PESCADO	3.5	1
PE12MC14	3	RES	8	1
PE12MC15	1	POLLO	4.80000019073486	1
PE12MC15	2	CARNE	12	1
PE12MC15	3	HUEVOS	4	1
PE13MC01	1	POLLO	6	1
PE13MC01	2	LECHE	2.20000004768372	2
PE13MC01	3	QUESO	12	1
PE14MC01	1	POLLO	6.5	1
PE14MC01	2	MENUDENCIA DE  RES	7	1
PE14MC01	3	LECHE	2.5	3
PE14MC02	1	POLLO	 	1
PE14MC02	2	PESCADO	2	1
PE14MC02	3	HUEVO	4	1
PE14MC03	1	POLLO	4.5	1
PE14MC03	2	PESCADO	3	1
PE14MC03	3	HUEVO	3.59999990463257	1
PE14MC04	1	POLLO	4.80000019073486	1
PE14MC04	2	CARNE	12	1
PE14MC04	3	PESCADO	3	1
PE14MC05	1	POLLO	5	1
PE14MC05	2	HUEVO	3.20000004768372	1
PE14MC05	3	PESCADO	3	1
PE14MC06	1	PESCADO	2.5	1
