placeid	locentid	codeloc	routeacc	transpor	timeschl
PE01C01	1	6	1	1	20
PE01C02	1	6	2	1	5
PE01C02	2	6	2	1	5
PE01C02	3	6	2	5	3
PE01C02	4	6	2	1	5
PE01C02	5	6	1	5	3
PE02C01	1	2	2	1	10
PE02C01	2	3	2	1	60
PE02C01	3	2	2	7	10
PE02C02	1	6	2	1	30
PE02C02	2	3	2	1	45
PE02C03	1	6	2	1	15
PE02C04	1	6	1	1	10
PE02C04	2	6	1	5	15
PE02C04	3	6	1	5	15
PE03C01	1	2	3	1	5
PE03C01	2	3	3	1	20
PE03C01	3	3	3	1	15
PE03C01	4	3	3	1	25
PE03C04	1	2	2	1	5
PE03C04	2	3	2	1	15
PE03C04	3	3	2	1	18
PE03C05	1	2	2	1	10
PE03C06	1	2	3	1	30
PE03C07	1	2	3	1	20
PE03C08	1	4	2	1	5
PE03C08	2	2	2	1	30
PE03C08	3	2	2	1	30
PE03C08	4	2	2	1	30
PE03C08	5	2	2	1	60
PE03C09	1	2	2	1	5
PE04C01	1	4	2	1	10
PE04C02	1	6	1	1	10
PE04C02	2	4	3	1	30
PE04C02	3	3	3	1	30
PE04C02	4	3	3	1	30
PE04C02	5	4	3	1	45
PE04C03	1	4	1	1	10
PE04C04	1	3	2	1	10
PE04C05	1	4	1	1	35
PE04C06	1	3	3	1	10
PE04C08	1	4	2	1	20
PE04C10	1	6	3	1	10
PE05C01	1	6	3	1	20
PE05C03	1	6	2	1	15
PE05C04	1	6	1	1	5
PE05C04	2	3	2	1	30
PE05C04	3	3	2	1	20
PE05C04	4	3	2	1	20
PE05C05	1	2	1	1	5
PE05C07	1	2	2	1	20
PE05C08	1	2	2	1	20
PE05C09	1	3	2	1	51
PE05C10	1	1	1	1	10
PE05C10	2	4	2	3	15
PE05C11	1	2	5	99	-99
PE05C11	2	2	2	1	25
PE05C11	3	2	2	1	20
PE06C01	1	6	5	1	20
PE06C01	2	6	2	1	20
PE06C01	3	6	2	1	20
PE06C01	4	6	2	1	20
PE06C01	5	6	2	1	10
PE06C02	1	6	5	1	20
PE06C02	2	6	2	1	20
PE06C02	3	6	2	1	20
PE06C02	4	6	2	1	20
PE06C02	5	6	2	1	10
PE07C01	1	6	1	1	-77
PE07C01	2	6	1	1	15
PE07C01	3	6	1	1	5
PE07C01	4	6	1	1	15
PE07C01	5	6	1	1	10
PE07C02	1	6	1	1	-77
PE07C02	2	6	1	1	10
PE07C02	3	6	1	1	15
PE07C02	4	6	1	1	10
PE07C02	5	6	1	1	20
PE07C03	1	6	1	1	8
PE07C03	2	6	1	1	12
PE07C03	3	6	1	1	20
PE07C04	1	6	1	1	5
PE07C04	2	6	1	1	10
PE07C04	3	6	1	1	10
PE07C04	4	6	1	1	10
PE07C04	5	6	1	1	20
PE08C01	1	6	1	1	10
PE08C01	2	6	1	7	10
PE08C01	3	6	1	5	5
PE08C02	1	6	1	1	-77
PE08C02	2	6	1	1	15
PE08C02	3	6	1	1	15
PE08C02	4	6	1	7	15
PE08C02	5	6	1	1	5
PE09C01	1	1	2	1	-77
PE09C01	2	6	2	1	10
PE09C01	3	6	2	1	15
PE09C01	4	6	2	1	10
PE09C02	1	6	2	1	8
PE09C02	2	6	1	1	30
PE09C02	3	3	2	1	18
PE09C03	1	4	2	1	-77
PE09C03	2	4	2	1	20
PE09C05	1	6	2	1	10
PE09C05	2	4	2	6	8
PE09C06	1	1	2	1	-77
PE09C06	2	2	2	1	25
PE09C06	3	2	2	1	20
PE09C06	4	2	2	1	25
PE09C07	1	1	2	1	-77
PE09C07	2	2	2	1	25
PE09C07	3	2	2	1	20
PE09C07	4	2	2	1	25
PE09C08	1	6	2	1	8
PE09C08	2	2	2	1	60
PE09C08	3	3	2	1	90
PE09C09	1	2	1	1	10
PE09C09	2	6	2	1	25
PE10C01	1	6	1	7	5
PE10C01	2	6	1	7	7
PE10C01	3	6	1	7	5
PE10C01	4	6	1	7	10
PE10C01	5	6	1	7	10
PE10C03	1	6	1	1	-77
PE10C03	2	6	1	6	15
