commid	rsid	module	section	module2	section2	module3	section3	ageres	sexres	capac	livres
VN007	11	2	1	 	3	 	 	39	1	4	3
VN007	12	2	3	 	 	 	 	39	2	4	23
VN007	13	1	2	 	3	 	4	32	1	8	32
VN007	14	1	2	 	3	 	4	53	2	8	53
VN007	15	1	5	 	 	 	 	45	2	10	45
VN007	16	2	5	 	1	 	3	35	1	8	35
VN007	17	1	5	 	1	2	3	35	2	8	35
VN007	18	1	5	 	 	 	 	37	2	10	30
VN007	88	 	 	 	 	 	 	99	99	99	99
VN007	99	 	 	 	 	 	 	99	99	99	99
VN021	1	1	 	2	 	 	 	46	2	1	46
VN021	2	1	3	2	4	 	 	42	2	6	26
VN021	3	1	1	 	4	 	 	39	1	8	39
VN021	4	2	1	 	5	 	 	28	1	1	28
VN021	5	2	4	1	5	 	 	37	1	3	37
VN021	6	2	2	 	3	 	 	41	2	4	1
VN021	7	2	 	 	 	 	 	58	1	4	4
VN021	8	1	 	2	 	 	 	27	1	8	27
VN021	9	1	 	2	 	 	 	29	2	8	29
VN021	10	1	5	 	 	 	 	38	2	10	38
VN021	11	1	5	 	 	 	 	49	2	10	30
VN021	99	 	 	 	 	 	 	99	99	99	99
VN021	88	 	 	 	 	 	 	99	99	99	99
VN019	1	1	1	 	2	 	3	51	1	1	41
VN019	2	 	1	 	2	 	 	46	1	8	36
VN019	3	 	2	 	 	 	 	42	1	8	42
VN019	4	 	3	 	5	 	 	32	2	6	32
VN019	5	 	3	 	4	 	 	34	2	8	34
VN019	6	 	3	 	4	 	 	37	1	8	34
VN019	7	 	4	 	6	 	3	30	1	2	30
VN019	8	2	6	 	 	 	 	44	1	8	35
VN019	9	2	6	 	 	 	 	36	2	8	36
VN019	10	2	1	 	 	 	 	30	1	2	30
VN019	11	 	2	 	3	 	5	37	1	1	37
VN019	12	 	1	 	 	 	 	27	1	8	27
VN019	13	 	1	 	3	 	 	50	2	4	41
VN019	14	 	3	 	 	 	 	32	1	4	32
VN019	15	 	4	 	 	 	 	48	2	3	34
