commid	anmlfdid	price	account
VN026	1	27	1
VN026	2	42	1
VN026	3	12	1
VN028	1	30	1
VN028	2	40	1
VN028	3	2	4
VN029	1	22	1
VN029	2	35	1
VN029	3	70	1
VN018	1	25	1
VN018	2	16	4
VN018	3	48	1
VN017	1	17	4
VN017	2	25	1
VN017	3	20	1
VN015	1	30	1
VN015	2	4	1
VN014	1	1.5	4
VN014	2	43	1
VN014	3	73	1
VN014	4	20	1
VN013	1	70	1
VN013	2	22	1
VN013	3	14	4
VN023	1	28000	1
VN023	2	12500	1
VN023	3	12000	4
VN024	1	27	1
VN024	2	42	1
VN024	3	10	1
VN036	1	15	1
VN036	2	30	1
VN036	3	70	1
VN035	1	15	1
VN035	2	37	1
VN035	3	70	1
VN007	1	1.70000004768372	4
VN007	2	45	1
VN007	3	80	1
VN007	4	25	1
VN021	1	28	1
VN021	2	45	1
VN021	3	15	4
VN019	1	27	1
VN019	2	45	1
VN019	3	4	1
VN020	1	28	1
VN020	2	1.20000004768372	4
VN020	3	3.20000004768372	1
VN033	1	1.5	4
VN033	2	40	1
VN033	3	15	1
VN002	1	35	1
VN002	2	20	1
VN002	3	1.5	4
VN027	1	27	1
VN027	2	42	1
VN027	3	10	1
VN016	1	26	1
VN016	2	3.5	1
VN016	3	1.20000004768372	4
VN025	1	28	1
VN025	2	42	1
VN025	3	12	1
VN032	1	14.5	1
VN032	2	1.5	4
VN032	3	38	1
VN022	1	30000	1
VN022	2	14000	4
VN022	3	15000	1
VN011	1	1	4
VN011	2	42	1
VN011	3	70	1
VN011	4	25	1
VN011	5	18	1
VN012	1	1.5	4
VN012	2	18	1
VN012	3	30	1
VN009	1	14	4
VN009	2	60	1
VN009	3	8	1
VN010	1	1.39999997615814	4
VN010	2	45	1
VN010	3	70	1
VN010	4	20	1
VN010	5	25	1
VN010	6	8	1
VN034	1	14	1
VN034	2	1.5	4
VN034	3	40	1
VN001	1	25	1
VN001	2	12	4
VN001	3	15	1
VN006	1	15	1
VN006	2	35	1
VN006	3	1.29999995231628	4
VN004	1	20	1
VN004	2	35	1
VN004	3	1.5	4
VN005	1	60	1
VN005	2	15	4
VN005	3	20	1
VN003	1	30	1
VN003	2	30	1
VN003	3	12	4
VN008	1	15	4
VN008	2	70	1
VN008	3	20	1
