commid	locltyid	code	route	trnsptnt	timearrv
VN026	1	2	2	4	15
VN026	2	1	1	4	6
VN028	1	1	1	4	5
VN029	1	1	5	1	15
VN018	1	2	1	4	15
VN018	2	2	1	4	10
VN018	3	2	1	4	8
VN018	4	2	1	4	5
VN018	5	2	1	4	5
VN017	1	2	1	4	5
VN017	2	2	1	4	10
VN017	3	2	1	4	13
VN017	4	2	1	4	10
VN017	5	2	1	4	15
VN015	1	2	3	1	10
VN015	2	2	3	1	15
VN015	3	2	2	1	50
VN015	4	2	2	1	70
VN015	5	2	2	1	120
VN014	1	2	5	3	10
VN014	2	2	5	3	20
VN014	3	2	2	3	20
VN014	4	2	5	3	5
VN014	5	2	5	11	40
VN013	1	2	1	3	10
VN013	2	2	1	3	10
VN013	3	2	1	3	15
VN013	4	2	1	3	25
VN023	1	2	5	4	5
VN023	2	2	5	4	5
VN023	3	2	5	4	5
VN023	4	2	5	4	5
VN023	5	2	5	4	5
VN024	1	2	2	4	15
VN024	2	1	1	4	6
VN036	1	1	5	4	5
VN036	2	1	5	4	5
VN036	3	1	4	11	30
VN035	1	1	5	12	5
VN035	2	1	5	12	7
VN035	3	1	5	12	7
VN007	1	2	1	10	3
VN007	2	1	1	5	3
VN007	3	2	1	30	3
VN021	1	2	1	4	5
VN021	2	2	1	4	10
VN021	3	2	1	4	8
VN021	4	2	1	4	10
VN021	5	2	1	4	15
VN019	1	2	3	1	40
VN019	2	2	3	1	70
VN020	1	2	2	4	20
VN020	2	2	2	4	15
VN020	3	2	2	4	20
VN020	4	2	2	4	15
VN020	5	2	2	4	30
VN033	1	1	1	4	4
VN002	1	2	1	4	10
VN002	2	2	2	4	20
VN002	3	2	1	4	30
VN002	4	2	1	4	25
VN002	5	2	1	4	15
VN027	1	2	2	4	15
VN027	2	1	1	4	6
VN016	1	2	2	4	15
VN016	2	2	2	4	35
VN016	3	2	2	4	50
VN016	4	2	2	4	90
VN016	5	2	2	4	60
VN025	1	2	2	4	15
VN025	2	1	1	4	6
VN032	1	1	1	4	5
VN022	1	2	5	4	5
VN022	2	2	5	4	7
VN022	3	2	5	4	8
VN022	4	2	5	4	6
VN022	5	2	5	4	10
VN011	1	2	1	99	401
VN011	2	2	2	10	0
VN011	3	2	1	15	4
VN011	4	2	2	15	4
VN012	1	2	2	3	25
VN012	2	2	2	3	20
VN012	3	2	2	3	25
VN012	4	2	2	1	10
VN009	1	2	2	4	18
VN009	2	2	1	4	15
VN009	3	2	1	4	15
VN009	4	2	1	4	18
VN009	5	2	2	4	25
VN010	1	2	1	3	10
VN010	2	2	1	3	15
VN010	3	2	99	3	20
VN034	1	1	1	4	10
VN001	1	2	2	3	15
VN001	2	2	2	3	10
VN001	3	2	2	3	10
VN001	4	2	2	3	15
VN001	5	2	2	3	15
VN006	1	2	2	3	10
VN006	2	2	1	4	15
VN006	3	2	1	4	10
VN004	1	2	1	4	20
VN004	2	2	1	3	15
VN004	3	2	1	4	10
VN005	1	2	2	4	15
VN005	2	77	2	4	10
VN003	1	2	1	4	5
VN008	1	2	2	3	20
VN008	2	2	2	3	20
VN008	3	2	2	3	10
VN008	4	2	2	3	20
