FORMNO	CHILDID	CDINT	EVERSCH	ENRSCH	SINGLSEX	SCTYPE	GRADNOW	TMSCHMIN	TRANSSCH	DANGSCH	SCHRISK1	SCHRISK2	SCHRISK3	MISSCH	WMISSC1	WMISSC2	WMISSC3	SEAMIS01	SEAMIS02	SEAMIS03	DAYMISS	BESTSCH1	BESTSCH2	BESTSCH3	WORSTSC1	WORSTSC2	WORSTSC3	GRADCOMP	AGESTOP	XSINGLSX	XSCTYPE	XTMSCHMN	XTRNSSCH	XDANGSCH	XSCHRISK	SCHWHY1	SCHWHY2	SCHWHY3	CSLEEP	CCHCARE	CHHCHORE	CNPAYWRK	CPAYWORK	CSCHOOL	CSTUDY	CPLAY	CHLDWORK	PAYLIKE1	PAYLIKE2	PAYLIKE3	PYNOLIK1	PYNOLIK2	PYNOLIK3	SCHWRK	SCHMISS	WRKINJ	WRKINJ1	WRKINJ2	WRKINJ3	PPVTLOW	PPVTHIGH	STRTHRPP	STRTMNPP	PPVT001	PPVT002	PPVT003	PPVT004	PPVT005	PPVT006	PPVT007	PPVT008	PPVT009	PPVT010	PPVT011	PPVT012	SET01ERR	PPVT013	PPVT014	PPVT015	PPVT016	PPVT017	PPVT018	PPVT019	PPVT020	PPVT021	PPVT022	PPVT023	PPVT024	SET02ERR	PPVT025	PPVT026	PPVT027	PPVT028	PPVT029	PPVT030	PPVT031	PPVT032	PPVT033	PPVT034	PPVT035	PPVT036	SET03ERR	PPVT037	PPVT038	PPVT039	PPVT040	PPVT041	PPVT042	PPVT043	PPVT044	PPVT045	PPVT046	PPVT047	PPVT048	SET04ERR	PPVT049	PPVT050	PPVT051	PPVT052	PPVT053	PPVT054	PPVT055	PPVT056	PPVT057	PPVT058	PPVT059	PPVT060	SET05ERR	PPVT061	PPVT062	PPVT063	PPVT064	PPVT065	PPVT066	PPVT067	PPVT068	PPVT069	PPVT070	PPVT071	PPVT072	SET06ERR	PPVT073	PPVT074	PPVT075	PPVT076	PPVT077	PPVT078	PPVT079	PPVT080	PPVT081	PPVT082	PPVT083	PPVT084	SET07ERR	PPVT085	PPVT086	PPVT087	PPVT088	PPVT089	PPVT090	PPVT091	PPVT092	PPVT093	PPVT094	PPVT095	PPVT096	SET08ERR	PPVT097	PPVT098	PPVT099	PPVT100	PPVT101	PPVT102	PPVT103	PPVT104	PPVT105	PPVT106	PPVT107	PPVT108	SET09ERR	PPVT109	PPVT110	PPVT111	PPVT112	PPVT113	PPVT114	PPVT115	PPVT116	PPVT117	PPVT118	PPVT119	PPVT120	SET10ERR	PPVT121	PPVT122	PPVT123	PPVT124	PPVT125	PPVT126	PPVT127	PPVT128	PPVT129	PPVT130	PPVT131	PPVT132	SET11ERR	PPVT133	PPVT134	PPVT135	PPVT136	PPVT137	PPVT138	PPVT139	PPVT140	PPVT141	PPVT142	PPVT143	PPVT144	SET12ERR	PPVT145	PPVT146	PPVT147	PPVT148	PPVT149	PPVT150	PPVT151	PPVT152	PPVT153	PPVT154	PPVT155	PPVT156	SET13ERR	PPVT157	PPVT158	PPVT159	PPVT160	PPVT161	PPVT162	PPVT163	PPVT164	PPVT165	PPVT166	PPVT167	PPVT168	SET14ERR	PPVT169	PPVT170	PPVT171	PPVT172	PPVT173	PPVT174	PPVT175	PPVT176	PPVT177	PPVT178	PPVT179	PPVT180	SET15ERR	PPVT181	PPVT182	PPVT183	PPVT184	PPVT185	PPVT186	PPVT187	PPVT188	PPVT189	PPVT190	PPVT191	PPVT192	SET16ERR	PPVT193	PPVT194	PPVT195	PPVT196	PPVT197	PPVT198	PPVT199	PPVT200	PPVT201	PPVT202	PPVT203	PPVT204	SET17ERR	FINHRPP	FINMNPP	CEILING	MINERR	language1	language2	source	score_ppvt	rscorelang_ppvt	CONDPP	YNOADQ01	YNOADQ02	PPFWLANG	PPCDLANG	STRTHRWM	STRTMRWM	LEVLREAD	LEVLWRIT	MATH01	MATH02	MATH03	MATH04	MATH05	MATH06	MATH07	MATH08	MATH09	MATH10	FINHRRWM	FINMNRWM	score_math	rscorelang_math	CONDRWAQ	YNORWM01	YNORWM02	CHEALTHY	CFODFRQ1	CFODFRQ2	CFODFRQ3	CFODFRQ4	CFODFRQ5	CFODFRQ6	CFODFRQ7	CFOODTOT	CFDDIV00	CFDDIV01	CFDDIV02	CFDDIV03	CFDDIV04	CFDDIV05	CFDDIV06	CFDDIV07	CFDDIV08	CFDDIV09	CFDDIV10	CFDDIV11	CFDDIV12	CFDDIV13	CFDIVTOT	MENARCHE	VOICE	HAIRCHIN	CANYHELP	WHOHELP	CHELP01	CHELP02	CHELP03	CHELP04	CHELP05	CHELP06	FRIEND	LEAD	INCGAME	HARDTALK	HELPCHLD	UNDERFIF	WORKWITH	WOTALK	WOHELP	PAYTALK	GRPMEM01	GRPMEM02	GRPMEM03	GRPMEM04	GRPMEM05	GRPMEM06	GRPMEM07	GRPMEM08	GRPATT01	GRPATT02	GRPATT03	GRPATT04	GRPATT05	GRPATT06	GRPATT07	GRPATT08	CFAMSON	CLADDER	CFARLAD	CHLPMV1	CHLPMV2	CHLPMV3	CHLPDWN1	CHLPDWN2	CHLPDWN3	CFAMDTR	CSCUSEFL	CNSCUSE	CHFUTURE	CGRDLIKE	CEXPGRAD	CYDRPOT1	CYDRPOT2	CYDRPOT3	TR1	TR2	TR3	SV1	SV2	TR4	SV5	SV6	AG1	AG2	AG3	PS1	PS2	PS7	PS3	SD1	SD2	WHYBAD1	WHYBAD2	WHYBAD3	PS4	PS8	SD3	AG4	SD4	PS5	SD5	TEABAD1	TEABAD2	TEABAD3	PS6	AG5	PS9	OBEY	NOTALK	LOVED	NOSUPP	SPEAK	FAIRPUN	SISLESS	TIMATT	BROLESS	BROFREE	SISFREE	PARWOR	DECISION	PARDEC	WHATDEC	MINDS	AMBITION	CCIRCUM1	CCIRCUM2	CREAS1	CREAS2	CRELCIRC	ETTMSTUD	ETYNOTIM	ETWISH	ETHMCNST
R28YRS	ET011001	1/25/2007	1	1	0	4	6	20	1	1	1	88	88	0	88	88	88	88	88	88	3	5	88	88	29	88	88	88	88	88	88	-88	88	88	88	88	88	88	9	0	0	0	0	8	3	4	0	88	88	88	88	88	88	1	0	0	88	88	88	85	204	10	45	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	1	2	3	1	4	2	3	2	3	1	1	88	88	88	88	88	88	88	88	88	88	88	88	3	88	88	88	88	88	88	88	88	88	88	88	88	4	88	88	88	88	88	88	88	88	88	88	88	88	3	88	88	88	88	88	88	88	88	88	88	88	88	2	88	88	88	88	88	88	88	88	88	88	88	88	5	88	88	88	88	88	88	88	88	88	88	88	88	3	88	88	88	88	88	88	88	88	88	88	88	88	6	88	88	88	88	88	88	88	88	88	88	88	88	6	88	88	88	88	88	88	88	88	88	88	88	88	3	11	15	204	36	1	1	3	106	341.325042724609	1	88	88	2	2	11	17	4	3	419	55	8	2	2	1	2	1	4	46	11	35	6	304.540954589844	1	88	88	2	0	1	0	1	0	1	0	3	0	1	1	0	0	0	0	0	1	1	1	1	0	0	6	88	0	0	1	3	1	1	0	0	0	1	11	3	1	2	2	88	88	88	88	88	0	1	0	0	0	0	0	0	88	1	88	88	88	88	88	88	2	3	5	2	8	15	9	5	88	2	1	88	14	14	1	88	88	88	1	1	3	1	1	2	1	3	1	1	1	2	4	4	1	2	4	88	88	88	4	3	3	1	2	1	3	88	88	88	4	1	1	1	2	1	4	2	4	4	1	3	3	3	4	0	88	88	88	14	3	3	88	88	4	1	88	88	1
R28YRS	ET011002	1/29/2007	1	1	0	1	6	15	1	1	1	88	88	0	88	88	88	88	88	88	1	5	11	88	18	16	88	88	88	88	88	-88	88	88	88	88	88	88	10	1	1	0	0	7	2	3	0	88	88	88	88	88	88	3	0	1	2	88	88	85	204	9	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	1	4	3	1	3	2	3	2	3	1	1	4	3	4	4	4	4	3	4	1	2	1	3	4	4	2	2	3	3	1	4	2	1	2	4	3	2	2	2	3	2	4	1	2	4	3	1	4	3	4	3	2	1	4	1	2	4	4	2	3	1	3	2	4	4	2	3	1	3	4	1	2	4	1	4	2	2	1	4	2	4	1	2	1	4	2	3	1	2	4	2	1	3	4	2	3	2	1	3	3	1	1	4	1	3	3	1	3	2	4	2	3	1	2	1	4	2	3	1	2	4	3	2	3	2	3	1	4	9	30	204	23	1	1	3	117	365.059204101563	1	88	88	2	2	9	45	4	3	319	45	8	2	2	1	2	1	7	120	9	50	6	304.540954589844	1	88	88	2	0	1	1	1	1	1	0	5	0	1	1	0	0	0	0	0	1	0	1	0	0	0	4	88	77	0	1	17	1	1	1	1	1	1	3	1	1	2	2	88	88	88	88	88	0	0	0	1	1	0	1	0	88	88	88	2	2	88	3	88	2	6	3	15	12	88	8	11	88	2	1	88	34	14	1	88	88	88	2	3	4	2	1	2	4	1	1	1	3	1	4	4	1	1	4	88	88	88	4	4	3	1	4	4	4	88	88	88	4	4	1	4	4	1	4	1	4	4	4	4	4	4	4	1	1	1	1	34	3	4	9	12	4	1	88	88	99
R28YRS	ET011003	1/13/2007	1	1	1	2	7	15	1	1	77	77	77	0	88	88	88	88	88	88	1	10	14	88	8	10	24	88	88	88	88	-88	88	88	88	88	88	88	10	0	2	0	0	8	1	3	0	88	88	88	88	88	88	3	0	0	88	88	88	61	144	8	15	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	1	2	3	4	3	2	1	4	2	3	1	0	2	4	3	2	1	3	2	1	2	4	3	3	2	2	4	1	4	4	1	4	2	3	2	2	2	3	2	2	4	2	3	1	3	4	1	3	1	3	3	4	2	2	3	1	1	3	2	1	2	3	4	4	2	4	3	2	2	3	2	1	3	2	3	3	5	2	2	3	3	2	2	4	4	2	2	3	2	8	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	8	55	144	25	1	1	3	67	275.095489501953	1	88	88	2	2	9	10	4	3	419	45	12	2	2	1	2	4	7	400	9	55	8	363.300170898438	1	88	88	2	0	1	0	1	0	1	0	3	0	1	0	1	0	0	0	1	1	1	0	1	0	0	6	0	88	88	1	19	1	0	0	0	0	0	4	3	2	3	3	88	88	88	88	88	0	0	1	0	0	0	0	0	88	88	1	88	88	88	88	88	2	4	6	4	18	88	5	8	88	2	1	88	11	14	1	88	88	88	1	1	2	3	2	1	2	2	1	4	1	1	4	4	1	1	4	88	88	88	4	4	1	1	4	2	4	88	88	88	4	3	1	1	3	1	4	1	2	2	1	1	4	4	4	0	88	88	88	31	3	3	88	88	4	1	88	88	0
R28YRS	ET011004	1/29/2007	1	1	0	4	5	30	1	0	88	88	88	0	88	88	88	88	88	88	3	10	5	9	29	88	88	88	88	88	88	-88	88	88	88	88	88	88	9	0	1.29999995231628	0	0	8.30000019073486	2	3	0	88	88	88	88	88	88	1	0	0	88	88	88	73	120	8	20	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	3	1	1	3	2	1	2	4	2	4	1	3	3	1	4	3	1	3	1	3	2	3	3	5	4	3	4	3	4	4	3	4	1	2	1	3	3	4	4	4	4	3	4	4	2	2	1	4	4	8	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	8	40	120	17	1	1	3	61	262.889373779297	1	88	88	2	2	8	40	4	3	419	45	6	2	2	1	2	4	7	114	8	55	7	326.094543457031	1	88	88	1	0	1	0	1	1	1	0	4	0	1	1	1	0	0	0	0	1	1	1	1	0	0	7	88	0	0	1	1	1	1	1	1	1	1	3	2	1	2	2	88	88	88	88	88	0	1	0	0	0	0	0	0	88	2	88	88	88	88	88	88	2	3	6	15	8	23	8	9	16	2	1	88	13	14	1	88	88	88	1	1	1	1	1	1	3	4	1	1	1	1	4	4	1	4	4	88	88	88	4	4	1	1	4	1	4	88	88	88	88	88	88	1	1	1	4	1	1	3	1	3	2	2	4	0	88	88	88	14	3	2	19	21	4	1	88	88	1
R28YRS	ET011005	2/4/2007	1	1	0	3	6	60	1	1	1	88	88	0	88	88	88	88	88	88	2	5	6	88	7	25	88	88	88	88	88	-88	88	88	88	88	88	88	8	1	2	0	0	10	1	1	0	88	88	88	88	88	88	3	0	0	88	88	88	1	144	5	0	4	3	1	1	3	1	2	3	4	2	2	3	1	2	1	3	1	3	1	1	4	3	4	3	4	2	1	3	4	4	2	2	2	2	2	1	4	3	2	2	4	2	3	2	1	3	4	4	2	3	1	2	3	1	1	2	3	2	1	4	2	3	3	1	2	4	1	2	3	3	3	2	1	3	2	2	2	4	1	4	2	1	2	2	2	1	2	3	3	4	5	2	2	1	2	2	1	4	2	3	2	3	1	3	3	2	4	4	4	4	3	4	2	2	2	4	6	2	1	2	3	1	1	4	2	1	1	2	3	5	2	1	3	1	3	1	1	2	3	1	3	2	7	1	3	2	2	4	1	4	3	1	2	1	1	10	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	5	50	144	49	1	1	3	49	236.668792724609	1	88	88	2	2	6	0	4	2	3010	45	8	2	2	1	2	3	7	60	6	25	6	304.540954589844	1	88	88	1	0	1	0	1	0	1	1	4	0	1	0	1	0	0	0	0	1	1	0	0	0	0	4	0	88	88	1	1	1	1	1	1	1	1	4	3	1	3	2	88	88	88	88	88	0	0	0	0	0	0	0	0	88	88	88	88	88	88	88	88	1	2	4	15	18	20	1	5	15	1	1	88	14	14	1	88	88	88	1	1	2	2	2	1	2	4	1	2	2	1	4	4	3	1	4	88	88	88	4	4	1	1	4	2	4	88	88	88	4	4	1	1	1	1	4	2	1	4	1	4	4	4	4	0	88	88	88	14	5	5	88	88	6	1	88	88	1
R28YRS	ET011006	1/24/2007	1	1	1	1	6	15	6	1	1	88	88	0	88	88	88	88	88	88	0	16	12	10	16	88	88	88	88	88	88	-88	88	88	88	88	88	88	8	0	2	0	0	8	4	2	0	88	88	88	88	88	88	3	0	0	88	88	88	109	204	4	50	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	4	3	3	1	1	4	2	1	2	4	3	1	2	4	4	3	3	1	2	1	1	1	3	3	4	3	2	1	4	1	2	4	3	2	3	4	2	4	4	2	2	3	1	3	2	1	3	4	2	4	5	2	2	3	3	4	2	2	2	3	2	4	3	6	4	2	4	3	3	1	4	2	1	4	3	2	7	4	1	3	2	1	4	3	2	1	3	2	4	7	4	2	3	2	2	3	4	1	2	2	4	3	7	5	20	204	36	1	1	3	99	329.797058105469	1	88	88	2	2	3	10	4	3	419	45	8	2	2	1	2	4	7	40	3	35	8	363.300170898438	1	88	88	1	0	1	0	1	1	1	0	4	0	1	0	1	0	0	0	0	1	1	1	1	0	0	6	0	88	88	1	1	1	1	0	0	0	0	2	3	3	2	3	88	88	88	88	88	0	0	0	0	0	0	0	0	88	88	88	88	88	88	88	88	2	5	4	1	17	88	1	8	88	2	1	88	11	14	1	88	88	88	3	2	3	3	3	3	4	4	2	4	1	2	4	4	1	2	4	88	88	88	3	4	1	2	4	2	3	88	88	88	4	3	2	1	3	2	4	1	2	3	1	3	4	4	3	0	88	88	88	11	2	3	16	30	3	1	88	88	1
R28YRS	ET011007	2/1/2007	1	1	0	1	6	15	1	0	88	88	88	0	88	88	88	88	88	88	3	6	5	11	16	8	88	88	88	88	88	-88	88	88	88	88	88	88	10	0	3	0	0	7	2	1	0	88	88	88	88	88	88	3	0	0	88	88	88	73	204	9	40	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	3	3	1	1	3	2	1	2	4	3	4	1	1	4	1	4	4	1	4	2	3	2	3	1	2	3	2	4	3	4	4	3	4	1	2	1	3	2	4	2	2	3	3	1	4	2	1	2	4	3	2	2	4	3	2	77	1	2	1	3	1	4	3	2	3	2	1	4	1	1	4	4	2	1	2	3	1	4	3	2	3	1	3	4	1	2	2	1	4	0	2	1	4	2	4	1	2	1	4	2	3	1	2	4	2	1	3	4	3	3	2	1	3	3	1	2	3	3	3	4	1	3	2	4	2	3	1	2	2	4	2	3	1	1	4	3	1	4	2	3	2	0	10	0	204	16	1	1	3	124	386.306915283203	1	88	88	2	2	10	10	4	3	419	45	8	2	2	1	1	4	7	60	10	25	7	326.094543457031	1	88	88	2	0	1	0	1	1	1	0	4	0	1	1	0	0	0	0	0	0	1	0	1	0	0	4	0	88	88	1	1	1	1	1	1	1	1	5	3	1	3	1	88	88	88	88	88	0	0	1	1	0	0	0	0	88	88	1	1	88	88	88	88	2	5	3	15	2	18	1	7	5	2	1	88	27	14	1	88	88	88	2	2	1	1	1	1	2	4	1	2	1	1	2	2	1	1	4	88	88	88	4	4	1	1	4	1	4	88	88	88	4	4	1	1	1	1	4	2	3	88	88	88	88	88	4	0	88	88	88	27	3	4	22	9	4	1	88	88	1
R28YRS	ET011008	1/13/2007	1	1	0	4	4	30	1	1	1	88	88	0	88	88	88	88	88	88	0	1	10	88	16	88	88	88	88	88	88	-88	88	88	88	88	88	88	9	0	1	0	0	8	2	4	0	88	88	88	88	88	88	3	0	0	88	88	88	85	204	9	15	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	1	4	3	1	4	2	3	2	3	1	0	3	2	4	3	4	1	3	4	1	2	1	3	1	4	3	3	3	1	1	4	2	4	2	4	3	2	2	4	4	3	3	3	2	2	4	1	3	3	5	3	2	1	4	2	3	4	3	3	2	2	3	5	4	2	4	3	2	3	4	2	4	3	1	4	6	2	2	4	3	2	3	4	1	4	2	4	2	6	4	2	4	4	1	2	4	3	2	3	4	1	6	1	1	3	3	2	4	2	4	1	4	2	2	7	4	1	2	1	1	3	4	2	3	3	3	1	8	9	40	204	46	1	1	3	93	321.885681152344	1	88	88	2	2	6	45	4	3	419	45	8	2	2	1	4	4	7	120	7	15	7	326.094543457031	1	88	88	1	0	1	0	1	1	1	0	4	0	1	0	1	0	0	1	0	1	1	1	1	0	0	7	0	88	88	1	2	1	1	1	0	0	1	4	2	1	2	1	88	88	88	88	88	0	0	0	0	0	0	0	0	88	88	88	88	88	88	88	88	2	3	4	1	17	88	16	8	1	2	1	88	11	14	1	88	88	88	1	2	1	4	3	3	4	3	1	4	2	1	4	3	1	2	4	88	88	88	3	4	2	1	4	2	3	88	88	88	4	3	1	1	3	2	3	2	2	4	1	3	4	3	4	0	88	88	88	11	2	3	16	88	4	1	88	88	1
R28YRS	ET011009	1/26/2007	1	1	0	4	7	30	1	0	88	88	88	0	88	88	88	88	88	88	2	6	10	88	21	88	88	88	88	88	88	-88	88	88	88	88	88	88	9	0	1	0	0	9	1	3	0	88	88	88	88	88	88	1	0	0	88	88	88	85	168	10	34	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	1	4	3	1	4	2	3	2	3	1	0	2	2	4	3	4	4	3	4	1	2	1	3	1	4	4	3	3	3	1	4	2	1	2	4	2	3	2	4	1	1	1	4	2	1	4	1	4	3	4	3	2	1	2	1	1	4	3	2	3	2	3	2	4	3	2	3	1	1	4	2	4	2	1	4	3	2	2	2	4	1	1	3	1	1	3	3	88	8	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	10	57	168	21	1	1	3	88	312.391998291016	1	88	88	2	2	11	0	4	3	419	45	8	2	2	1	2	4	7	120	11	9	8	363.300170898438	1	88	88	1	0	1	1	1	1	1	0	5	0	1	0	1	0	0	0	0	1	1	0	1	0	0	5	0	88	88	1	1	1	1	1	1	0	1	2	1	2	3	2	88	88	88	88	88	0	0	0	0	0	0	0	0	88	88	88	88	88	88	88	88	2	3	5	2	18	88	5	15	16	2	1	88	25	14	1	88	88	88	2	3	1	2	4	2	2	3	1	2	1	2	3	3	1	3	4	88	88	88	3	3	2	1	2	2	3	88	88	88	4	4	3	1	1	1	1	1	4	4	4	4	4	4	4	0	88	88	88	25	3	4	9	12	4	1	88	88	1
R28YRS	ET011010	1/26/2007	1	1	0	4	6	30	1	0	88	88	88	1	16	88	88	2	88	88	7	16	1	88	16	25	88	88	88	88	88	-88	88	88	88	88	88	88	10	0	3	0	0	8	2	1	0	88	88	88	88	88	88	1	0	0	88	88	88	73	204	9	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	3	1	1	3	2	1	2	4	3	3	1	2	4	4	4	1	1	4	2	3	3	3	1	3	3	2	4	3	3	4	3	4	2	2	1	3	4	4	4	1	3	1	1	2	2	2	2	4	4	5	2	4	3	2	1	2	2	1	4	1	1	3	3	4	2	1	2	1	1	3	4	2	1	2	3	4	4	3	2	3	2	3	4	2	4	2	1	4	3	2	1	2	3	1	1	3	1	1	2	3	3	4	4	2	4	1	1	2	3	2	1	3	4	3	4	4	1	3	4	4	3	1	4	2	3	1	1	3	2	1	3	1	3	4	3	1	1	1	3	2	5	9	45	204	39	1	1	3	106	343.133361816406	1	88	88	2	2	9	50	4	3	67	45	8	2	2	1	2	4	7	280	10	20	7	326.094543457031	1	88	88	3	0	1	0	1	0	1	0	3	0	1	0	1	0	0	0	0	1	1	0	1	0	0	5	0	88	88	1	2	1	1	1	1	1	1	3	2	2	1	3	88	88	88	88	88	0	0	0	0	0	0	1	0	88	88	88	88	88	88	2	88	2	5	6	15	15	88	15	16	5	2	1	88	40	14	1	88	88	88	1	1	2	2	2	1	1	2	1	3	1	2	4	4	1	1	4	88	88	88	4	4	1	1	4	1	4	88	88	88	88	88	88	2	4	1	4	1	2	4	1	4	4	4	4	0	88	88	88	11	3	3	88	88	4	1	88	88	1
