FORMNO	CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
R28YRS	ET011001	1	1	0	0	1
R28YRS	ET011001	2	2	0	0	1
R28YRS	ET011001	3	10	0	0	1
R28YRS	ET011002	1	1	0	0	1
R28YRS	ET011002	2	5	1	0	0
R28YRS	ET011002	3	10	0	0	1
R28YRS	ET011003	1	1	1	1	2
R28YRS	ET011003	2	6	1	1	2
R28YRS	ET011003	3	9	1	0	1
R28YRS	ET011004	1	1	1	0	0
R28YRS	ET011004	2	5	1	0	0
R28YRS	ET011004	3	2	1	0	0
R28YRS	ET011004	4	10	0	0	0
R28YRS	ET011005	1	1	1	0	1
R28YRS	ET011005	2	3	0	0	1
R28YRS	ET011005	3	5	0	0	1
R28YRS	ET011005	4	9	0	1	1
R28YRS	ET011005	5	12	0	0	1
R28YRS	ET011006	1	2	1	0	0
R28YRS	ET011006	2	1	1	0	0
R28YRS	ET011006	3	12	0	0	0
R28YRS	ET011007	1	9	0	0	2
R28YRS	ET011007	2	5	1	0	0
R28YRS	ET011008	1	1	1	0	0
R28YRS	ET011008	2	21	1	0	0
R28YRS	ET011008	3	12	1	0	0
R28YRS	ET011008	4	2	1	0	0
R28YRS	ET011009	1	2	1	0	1
R28YRS	ET011009	2	1	1	0	0
R28YRS	ET011009	3	5	1	0	1
R28YRS	ET011010	1	1	1	0	1
R28YRS	ET011010	2	5	1	0	1
R28YRS	ET011010	3	2	1	0	1
R28YRS	ET011012	1	1	1	0	0
R28YRS	ET011012	2	2	1	0	0
R28YRS	ET011012	3	5	1	1	0
R28YRS	ET011012	4	12	1	1	0
R28YRS	ET011013	1	23	0	0	1
R28YRS	ET011013	2	1	1	0	0
R28YRS	ET011013	3	2	1	0	0
R28YRS	ET011014	1	7	0	1	0
R28YRS	ET011015	1	1	0	0	1
R28YRS	ET011015	2	10	0	0	1
R28YRS	ET011015	3	12	0	0	1
R28YRS	ET011015	4	5	0	0	1
R28YRS	ET011016	1	1	1	0	0
R28YRS	ET011016	2	5	1	0	0
R28YRS	ET011017	1	1	1	0	0
R28YRS	ET011017	2	23	0	0	0
R28YRS	ET011017	3	10	0	0	1
R28YRS	ET011017	4	2	0	0	0
R28YRS	ET011018	1	1	1	0	0
R28YRS	ET011018	2	2	1	1	0
R28YRS	ET011018	3	17	0	1	1
R28YRS	ET011019	1	1	1	0	0
R28YRS	ET011019	2	2	1	0	0
R28YRS	ET011019	3	5	1	0	0
R28YRS	ET011019	4	12	0	0	1
R28YRS	ET011020	1	1	1	0	0
R28YRS	ET011020	2	5	1	0	0
R28YRS	ET011020	3	2	1	0	0
R28YRS	ET011021	1	1	0	0	1
R28YRS	ET011021	2	5	1	0	1
R28YRS	ET011021	3	10	0	0	1
R28YRS	ET011022	1	1	0	0	1
R28YRS	ET011022	2	14	0	0	1
R28YRS	ET011022	3	12	0	0	1
R28YRS	ET011023	1	8	1	1	0
R28YRS	ET011023	2	6	1	1	0
R28YRS	ET011023	3	5	1	1	0
R28YRS	ET011024	1	1	0	0	1
R28YRS	ET011024	2	5	0	0	1
R28YRS	ET011024	3	12	0	0	1
