FORMNO	CHILDID	WORKID	WORKACT	WORKPAY	PAYNAME	RANKPAY
R28YRS	ET011013	1	2	1	0	1
R28YRS	ET011022	1	7	1	1	1
R28YRS	ET011031	1	5	1	1	1
R28YRS	ET021028	1	4	2	0	1
R28YRS	ET041010	1	4	1	2	77
R28YRS	ET041011	1	4	1	1	1
R28YRS	ET041021	1	4	2	2	1
R28YRS	ET041022	1	7	1	0	1
R28YRS	ET051034	1	7	1	1	1
R28YRS	ET061018	1	7	2	1	1
R28YRS	ET061026	1	1	2	1	1
R28YRS	ET061029	1	1	1	2	1
R28YRS	ET061041	1	7	1	1	1
R28YRS	ET071038	1	4	1	2	77
R28YRS	ET071040	1	1	1	0	1
R28YRS	ET071043	1	5	1	1	1
R28YRS	ET081004	1	1	1	2	1
R28YRS	ET081005	1	1	1	0	1
R28YRS	ET081006	1	7	1	2	1
R28YRS	ET081006	2	1	1	2	88
R28YRS	ET081007	1	1	1	2	1
R28YRS	ET081010	1	1	1	2	1
R28YRS	ET081011	1	1	1	2	1
R28YRS	ET081013	1	1	1	2	1
R28YRS	ET081015	1	1	1	0	1
R28YRS	ET081017	1	7	3	2	88
R28YRS	ET081017	2	1	2	1	1
R28YRS	ET081020	1	1	1	0	1
R28YRS	ET081021	1	1	1	1	1
R28YRS	ET081025	1	1	1	2	88
R28YRS	ET081025	2	4	1	2	1
R28YRS	ET081028	1	1	1	0	1
R28YRS	ET081029	1	1	1	2	1
R28YRS	ET081031	1	1	1	2	1
R28YRS	ET081032	1	1	1	2	1
R28YRS	ET081037	1	4	1	1	1
R28YRS	ET081037	2	1	1	1	88
R28YRS	ET081037	3	6	1	0	88
R28YRS	ET081040	1	1	1	2	88
R28YRS	ET081040	2	7	3	2	1
R28YRS	ET081041	1	1	1	2	1
R28YRS	ET081041	2	3	1	2	88
R28YRS	ET081043	1	1	1	2	1
R28YRS	ET081044	1	1	1	0	1
R28YRS	ET081046	1	1	1	0	88
R28YRS	ET081046	2	3	1	0	1
R28YRS	ET081047	1	1	1	0	1
R28YRS	ET081048	1	1	1	1	1
R28YRS	ET081050	1	7	3	2	1
R28YRS	ET081050	2	1	1	2	88
R28YRS	ET091002	1	1	1	0	1
R28YRS	ET091034	1	6	1	0	1
R28YRS	ET101043	1	5	1	0	77
R28YRS	ET111006	1	6	1	2	1
R28YRS	ET111025	1	1	1	0	1
R28YRS	ET121001	1	4	1	1	1
R28YRS	ET121004	1	5	1	1	88
R28YRS	ET121009	1	4	1	1	1
R28YRS	ET121044	1	4	3	2	1
R28YRS	ET121055	1	1	1	0	1
R28YRS	ET131002	1	4	1	0	1
R28YRS	ET131004	1	7	1	2	1
R28YRS	ET131006	1	7	1	1	1
R28YRS	ET131007	1	4	1	1	1
R28YRS	ET131015	1	4	1	1	1
R28YRS	ET131018	1	4	1	0	1
R28YRS	ET131018	2	7	2	1	88
R28YRS	ET131020	1	3	1	0	1
R28YRS	ET141002	1	4	1	2	1
R28YRS	ET141006	1	4	1	1	1
R28YRS	ET161010	1	1	1	1	77
R28YRS	ET161010	2	6	4	0	1
R28YRS	ET161019	1	1	1	0	1
R28YRS	ET161036	1	1	1	2	1
R28YRS	ET161036	2	2	1	2	99
R28YRS	ET171036	1	5	1	1	77
R28YRS	ET181018	1	1	1	0	1
R28YRS	ET181031	1	5	1	1	1
