FORMNO	CHILDID	LOANID	LOANYEAR	LOANWHO	LOANAMNT	LOANWHY	LOANPAID	LOANYNOP	LOANRSID
R28YRS	ET011001	1	1998	8	200	3	1	88	3
R28YRS	ET011001	2	1999	8	300	2	0	11	3
R28YRS	ET011003	1	1999	5	2000	2	0	11	1
R28YRS	ET011004	1	1997	5	1000	19	0	11	2
R28YRS	ET011007	1	1998	8	200	10	1	88	1
R28YRS	ET011009	1	1997	7	2000	3	0	6	2
R28YRS	ET011010	1	1995	5	300	19	1	88	1
R28YRS	ET011013	1	1998	7	100	4	0	12	2
R28YRS	ET011014	1	1998	6	100	6	1	88	2
R28YRS	ET011015	1	1998	6	1200	10	1	88	4
R28YRS	ET011017	1	1996	4	2000	15	0	11	16
R28YRS	ET011019	1	1997	7	2000	17	1	88	1
R28YRS	ET011021	1	1997	8	9000	10	0	11	2
R28YRS	ET011022	1	1996	5	300	3	0	9	2
R28YRS	ET011023	1	1999	8	500	8	0	11	2
R28YRS	ET011026	1	1997	7	2000	3	0	11	2
R28YRS	ET011027	1	1997	7	2000	19	0	6	1
R28YRS	ET011028	1	1997	6	50	2	1	88	2
R28YRS	ET011028	2	1998	6	100	2	1	88	2
R28YRS	ET011030	1	1998	8	600	2	0	11	1
R28YRS	ET011031	1	1996	6	500	10	1	88	1
R28YRS	ET011031	2	1998	6	200	10	0	11	2
R28YRS	ET011033	1	1995	5	500	3	1	88	2
R28YRS	ET011033	2	1999	4	500	2	0	11	2
R28YRS	ET011034	1	1999	8	200	2	0	11	3
R28YRS	ET011035	1	1994	8	260	7	0	11	1
R28YRS	ET011035	2	1996	5	350	2	0	11	1
R28YRS	ET011036	1	1998	5	2182	8	0	11	1
R28YRS	ET011037	1	1999	7	1000	2	0	11	1
R28YRS	ET011038	1	1997	7	2000	19	1	88	2
R28YRS	ET011038	2	1998	8	300	4	1	88	2
R28YRS	ET011040	1	1999	8	2000	4	0	11	1
R28YRS	ET011042	1	1998	7	2000	3	1	88	2
R28YRS	ET011043	1	1999	8	300	2	0	11	4
R28YRS	ET011044	1	1999	4	50	19	1	88	88
R28YRS	ET011046	1	1996	5	250	8	1	88	1
R28YRS	ET011048	1	1996	5	1000	10	1	88	2
R28YRS	ET021001	1	1999	6	320	19	0	6	2
R28YRS	ET021002	1	1995	4	100	17	1	88	2
R28YRS	ET021002	2	1998	4	200	13	1	88	2
R28YRS	ET021003	1	1996	2	1000	3	1	88	1
R28YRS	ET021006	1	1998	5	3000	10	0	11	2
R28YRS	ET021007	1	1996	7	640	15	1	88	1
R28YRS	ET021007	2	1997	7	560	15	1	88	1
R28YRS	ET021007	3	1998	7	1000	15	0	8	1
R28YRS	ET021010	1	1994	5	4000	13	1	88	1
R28YRS	ET021013	1	1997	7	1000	12	0	12	1
R28YRS	ET021013	2	1999	8	300	8	0	12	1
R28YRS	ET021014	1	1998	5	12000	5	0	9	2
R28YRS	ET021015	1	1998	2	1000	2	0	12	1
R28YRS	ET021015	2	1999	8	500	15	0	12	2
R28YRS	ET021016	1	1998	2	300	2	1	88	1
R28YRS	ET021019	1	1995	6	50	7	1	88	1
R28YRS	ET021019	2	1998	6	80	4	0	12	1
R28YRS	ET021020	1	1998	4	3000	15	0	12	1
R28YRS	ET021021	1	1998	7	1000	4	0	8	2
R28YRS	ET021022	1	1996	7	1000	3	1	88	2
R28YRS	ET021022	2	1997	7	3000	3	1	88	2
R28YRS	ET021025	1	1998	4	300	7	0	11	1
R28YRS	ET021027	1	1998	4	1000	19	0	6	1
R28YRS	ET021029	1	1998	8	500	7	0	12	2
R28YRS	ET021033	1	1998	8	1500	2	1	88	2
R28YRS	ET021037	1	1996	7	950	4	1	88	2
R28YRS	ET021040	1	1997	5	2000	3	0	6	2
R28YRS	ET021041	1	1998	2	4000	19	0	8	1
R28YRS	ET021042	1	1998	8	100	2	0	3	1
R28YRS	ET021044	1	1998	8	3000	10	0	3	2
R28YRS	ET021046	1	1999	8	300	15	0	11	2
R28YRS	ET031002	1	1998	8	3500	19	0	6	1
R28YRS	ET031004	1	1999	8	3500	10	0	11	2
R28YRS	ET031004	2	1999	2	850	15	0	8	1
R28YRS	ET031008	1	1995	8	2000	2	0	12	1
R28YRS	ET031009	1	1999	4	100	2	0	12	1
R28YRS	ET031011	1	1997	4	500	19	1	88	2
R28YRS	ET031012	1	1994	7	800	19	1	88	2
R28YRS	ET031014	1	1997	4	3000	19	0	1	1
R28YRS	ET031016	1	1998	7	1000	19	0	11	2
R28YRS	ET031022	1	1997	5	2000	2	1	88	1
R28YRS	ET031022	2	1999	5	5000	2	0	8	1
R28YRS	ET031025	1	1999	8	50	2	1	88	2
R28YRS	ET031027	1	1997	5	2000	13	0	12	1
R28YRS	ET031029	1	1998	5	500	19	0	11	2
R28YRS	ET031030	1	1997	4	2000	4	0	11	3
R28YRS	ET031033	1	1998	8	800	2	0	77	1
R28YRS	ET031035	1	1995	6	500	7	1	88	1
R28YRS	ET031036	1	1997	4	20	17	1	88	2
R28YRS	ET031039	1	1996	7	500	3	1	88	2
R28YRS	ET031039	2	1997	7	2000	3	0	6	2
R28YRS	ET031042	1	1997	4	2000	19	0	6	2
R28YRS	ET031046	1	1998	7	1000	4	1	88	2
R28YRS	ET031048	1	1999	6	300	13	0	8	1
R28YRS	ET041001	1	1995	7	500	19	1	88	2
R28YRS	ET041001	2	1997	7	500	19	1	88	2
R28YRS	ET041002	1	1996	7	3000	8	1	88	1
R28YRS	ET041003	1	1995	6	400	7	1	88	1
R28YRS	ET041003	2	1998	6	250	7	1	88	1
R28YRS	ET041003	3	1999	6	200	7	1	88	1
R28YRS	ET041004	1	1997	8	50	19	1	88	1
R28YRS	ET041005	1	1998	4	500	2	0	6	1
R28YRS	ET041007	1	1997	6	100	4	1	88	1
R28YRS	ET041008	1	1995	8	80	6	1	88	1
R28YRS	ET041009	1	1996	7	1000	19	1	88	1
R28YRS	ET041009	2	1998	4	500	2	1	88	1
R28YRS	ET041010	1	1998	4	1000	19	1	88	2
R28YRS	ET041011	1	1994	7	4000	8	1	88	2
R28YRS	ET041011	2	1997	7	2000	15	1	88	2
R28YRS	ET041011	3	1998	4	2000	15	0	11	2
R28YRS	ET041012	1	1998	7	1000	19	1	88	2
R28YRS	ET041014	1	1998	7	2500	19	0	6	2
R28YRS	ET041014	2	1997	4	3000	19	0	9	1
R28YRS	ET041015	1	1996	6	1000	15	1	88	1
R28YRS	ET041015	2	1997	7	1500	6	0	8	1
R28YRS	ET041015	3	1998	8	500	10	1	88	1
R28YRS	ET041015	4	1998	6	500	6	1	88	1
R28YRS	ET041018	1	1996	7	1000	2	1	88	1
R28YRS	ET041018	2	1999	4	1500	7	0	11	1
R28YRS	ET041020	1	1996	7	1000	8	1	88	2
R28YRS	ET041021	1	1998	8	200	7	0	6	3
R28YRS	ET041023	1	1997	4	150	2	0	8	1
R28YRS	ET041026	1	1998	4	30	7	1	88	1
R28YRS	ET041028	1	1998	8	40	6	0	11	1
R28YRS	ET041029	1	1998	4	1000	19	0	8	1
R28YRS	ET041030	1	1998	7	700	19	1	88	1
R28YRS	ET041030	2	1999	7	500	19	0	8	1
R28YRS	ET041033	1	1995	7	2000	19	1	88	1
R28YRS	ET041033	2	1997	7	4000	19	1	88	1
R28YRS	ET041033	3	1998	7	4500	19	1	88	1
R28YRS	ET041033	4	1999	7	5000	19	0	8	1
R28YRS	ET041034	1	1998	7	1050	1	0	8	1
R28YRS	ET041037	1	1996	7	750	19	1	88	1
R28YRS	ET041039	1	1999	4	40	2	0	11	3
R28YRS	ET041040	1	1998	7	600	19	1	88	1
R28YRS	ET041041	1	1998	6	300	6	1	88	1
R28YRS	ET041041	2	1999	4	300	6	0	11	2
R28YRS	ET041042	1	1999	4	500	17	0	8	1
R28YRS	ET041043	1	1993	7	1000	4	1	88	1
R28YRS	ET041043	2	1994	7	2000	4	1	88	1
R28YRS	ET041043	3	1995	7	3000	4	1	88	1
R28YRS	ET041043	4	1996	7	4000	4	1	88	1
R28YRS	ET041043	5	1997	7	5000	4	1	88	1
R28YRS	ET041044	1	1995	4	200	2	0	11	2
R28YRS	ET041044	2	1999	4	507.5	16	0	11	2
R28YRS	ET041045	1	1998	5	300	10	0	8	1
R28YRS	ET041047	1	1998	4	2000	19	0	11	1
R28YRS	ET041047	2	1998	6	1500	19	0	11	1
R28YRS	ET051001	1	1998	7	1000	1	0	8	2
R28YRS	ET051002	1	1996	7	700	1	0	11	1
R28YRS	ET051003	1	1999	8	2000	4	0	11	1
R28YRS	ET051005	1	1998	7	810	1	0	8	1
R28YRS	ET051006	1	1994	7	300	1	1	88	1
R28YRS	ET051007	1	1998	6	1500	1	0	8	1
R28YRS	ET051009	1	1998	7	900	1	0	8	3
R28YRS	ET051011	1	1998	7	900	1	0	11	1
R28YRS	ET051012	1	1995	7	1000	19	1	88	1
R28YRS	ET051012	2	1996	7	1500	2	1	88	1
R28YRS	ET051012	3	1997	7	1500	2	1	88	1
R28YRS	ET051012	4	1998	7	1500	7	1	88	1
R28YRS	ET051014	1	1997	4	200	4	1	88	1
R28YRS	ET051014	2	1998	4	200	4	0	11	1
R28YRS	ET051016	1	1997	7	800	1	0	8	1
R28YRS	ET051017	1	1995	7	700	8	1	88	1
R28YRS	ET051017	2	1998	6	900	1	0	11	1
R28YRS	ET051018	1	1998	7	900	1	1	88	1
R28YRS	ET051019	1	1997	6	900	1	0	8	1
R28YRS	ET051020	1	1997	8	50	2	1	88	1
R28YRS	ET051020	2	1998	8	50	2	1	88	1
R28YRS	ET051024	1	1995	7	400	4	1	88	1
R28YRS	ET051024	2	1996	7	400	4	1	88	1
R28YRS	ET051024	3	1997	7	300	4	1	88	1
R28YRS	ET051024	4	1998	7	900	4	0	8	1
R28YRS	ET051025	1	1997	77	1000	1	0	8	1
R28YRS	ET051026	1	1998	4	500	7	0	11	1
R28YRS	ET051027	1	1998	7	800	1	0	11	1
R28YRS	ET051028	1	1998	5	1500	1	0	8	1
R28YRS	ET051029	1	1995	7	1000	19	1	88	4
R28YRS	ET051029	2	1996	7	1500	2	1	88	4
R28YRS	ET051029	3	1997	7	1500	2	1	88	4
R28YRS	ET051029	4	1998	7	1500	7	1	88	4
R28YRS	ET051031	1	1998	7	1000	1	0	8	3
R28YRS	ET051032	1	1998	7	540	1	0	8	1
R28YRS	ET051035	1	1997	7	900	8	0	11	1
