FORMNO	CHILDID	PASSID	PASSET	NUMPRNT	NUMPASS	VALPASS	DECPASS
R28YRS	ET011001	1	23	1	2	200	3
R28YRS	ET011013	1	15	0	21	160	2
R28YRS	ET011017	1	30	-88	-88	-88	88
R28YRS	ET011019	1	21	0	1	300	1
R28YRS	ET011020	1	30	-88	-88	-88	88
R28YRS	ET011021	1	30	-88	-88	-88	88
R28YRS	ET011026	1	15	0	3	30	2
R28YRS	ET011031	1	17	0	9	45	1
R28YRS	ET011033	1	18	0	6	100	1
R28YRS	ET011034	1	15	0	16	78	3
R28YRS	ET011036	1	13	0	4	235	1
R28YRS	ET011037	1	30	-88	-88	-88	88
R28YRS	ET011039	1	9	0	2	140	2
R28YRS	ET011041	1	14	0	50	2500	3
R28YRS	ET011045	1	12	0	0	200	90
R28YRS	ET021008	1	12	0	4	250	1
R28YRS	ET021009	1	15	2	2	-77	1
R28YRS	ET021014	1	13	1	8	160	1
R28YRS	ET021016	1	23	0	7	200	80
R28YRS	ET021021	1	15	1	0	30	90
R28YRS	ET021023	1	15	0	5	80	80
R28YRS	ET021029	1	23	0	6	180	80
R28YRS	ET021032	1	20	1	1	45	1
R28YRS	ET021035	1	23	0	2	40	80
R28YRS	ET021037	1	15	0	16	320	80
R28YRS	ET021039	1	15	4	1	50	2
R28YRS	ET021041	1	9	3	0	-88	90
R28YRS	ET021042	1	30	0	2	15	1
R28YRS	ET021050	1	23	0	4	20	2
R28YRS	ET031002	1	23	1	0	-77	90
R28YRS	ET031006	1	24	0	1	-77	80
R28YRS	ET031009	1	26	0	1	20	1
R28YRS	ET031018	1	15	2	2	100	1
R28YRS	ET031019	1	13	11	11	80	1
R28YRS	ET031021	1	23	0	20	1000	3
R28YRS	ET031026	1	13	0	1	15	1
R28YRS	ET031027	1	13	0	5	500	80
R28YRS	ET031031	1	15	0	5	400	2
R28YRS	ET031035	1	13	0	4	150	80
R28YRS	ET031037	1	26	1	1	30	6
R28YRS	ET031039	1	10	1	5	4600	80
R28YRS	ET031042	1	23	0	5	500	1
R28YRS	ET031046	1	23	0	4	4000	2
R28YRS	ET031048	1	16	1	0	-77	90
R28YRS	ET041002	1	1	0	1	18	1
R28YRS	ET041002	2	30	2	0	-88	90
R28YRS	ET041005	1	16	1	0	-88	90
R28YRS	ET041006	1	1	0	15	175	1
R28YRS	ET041007	1	15	0	8	20	1
R28YRS	ET041010	1	24	0	1	0	88
R28YRS	ET041012	1	16	1	0	-88	90
R28YRS	ET041013	1	1	0	3	64	2
R28YRS	ET041014	1	24	0	1	0	80
R28YRS	ET041016	1	30	-88	-88	-88	88
R28YRS	ET041019	1	30	0	2	1	1
R28YRS	ET041021	1	15	0	10	70	3
R28YRS	ET041022	1	1	0	5	172	5
R28YRS	ET041022	2	6	0	2	55	5
R28YRS	ET041023	1	30	0	2	1	1
R28YRS	ET041025	1	27	0	4	-77	2
R28YRS	ET041026	1	30	4	0	-88	90
R28YRS	ET041029	1	23	0	14	41	80
R28YRS	ET041031	1	16	1	0	-88	90
R28YRS	ET041033	1	24	1	0	-88	90
R28YRS	ET041033	2	23	2	2	10	80
