FORMNO	CHILDID	CROPID	CROP	QNTHARV	VLCRSLD	CROPCOST
R28YRS	IN011010	1	53	165	90000	72000
R28YRS	IN011018	1	53	78	33180	24000
R28YRS	IN011043	1	53	1300	669000	350000
R28YRS	IN011043	2	48	900	45000	210000
R28YRS	IN011043	3	67	3750	356250	150000
R28YRS	IN011043	4	48	2500	1125000	400000
R28YRS	IN021001	1	48	3	6000	88
R28YRS	IN021002	1	48	1.05	4500	0
R28YRS	IN021004	1	48	0	0	1500
R28YRS	IN021005	1	71	5	15000	6090
R28YRS	IN021005	2	48	0	0	700
R28YRS	IN021006	1	57	1	0	0
R28YRS	IN021006	2	30	20	0	0
R28YRS	IN021006	3	52	12	0	0
R28YRS	IN021007	1	18	4	7400	5000
R28YRS	IN021009	1	18	3	5100	3500
R28YRS	IN021009	2	30	.04	0	1000
R28YRS	IN021010	1	30	.8	450	100
R28YRS	IN021010	2	30	.8	400	75
R28YRS	IN021013	1	53	7	3500	5000
R28YRS	IN021013	2	60	1	2000	700
R28YRS	IN021016	1	53	5	0	2000
R28YRS	IN021017	1	53	45.6	8000	11100
R28YRS	IN021018	1	31	-77	-77	-77
R28YRS	IN021018	2	53	15	-77	6850
R28YRS	IN021026	1	53	7.6	0	2500
R28YRS	IN021026	2	37	3	0	1000
R28YRS	IN021026	3	18	3	5550	4500
R28YRS	IN021029	1	53	15.2	0	5300
R28YRS	IN021029	2	18	4	7200	4000
R28YRS	IN021031	1	53	15	4200	5000
R28YRS	IN021032	1	18	6	10800	8000
R28YRS	IN021032	2	53	-77	0	1500
R28YRS	IN021033	1	53	6.75	0	1350
R28YRS	IN021033	2	18	8	12000	7090
R28YRS	IN021035	1	53	4	0	0
R28YRS	IN021036	1	53	15	8000	4000
R28YRS	IN021036	2	71	4	12000	7000
R28YRS	IN021038	1	18	3	5100	400
R28YRS	IN021039	1	53	11.25	0	5000
R28YRS	IN021040	1	21	0	0	8000
R28YRS	IN021043	1	48	8	24000	3000
R28YRS	IN031013	1	53	300	20000	64000
R28YRS	IN031017	1	45	0	0	6000
R28YRS	IN031038	1	53	9	10000	7000
R28YRS	IN031038	2	30	3	2000	700
R28YRS	IN031043	1	53	288	157439	129600
R28YRS	IN031043	2	30	32	78750	45000
R28YRS	IN041001	1	30	.6	1080	300
R28YRS	IN041001	2	30	.3	280	120
R28YRS	IN041001	3	30	.6	1200	300
R28YRS	IN041001	4	37	.3	360	120
R28YRS	IN041001	5	52	.18	180	80
R28YRS	IN041001	6	52	.3	300	100
R28YRS	IN041002	1	48	1	2000	0
R28YRS	IN041002	2	30	0	0	-77
R28YRS	IN041003	1	30	1	0	300
R28YRS	IN041004	1	53	0	0	4000
R28YRS	IN041004	2	30	.6	0	0
R28YRS	IN041004	3	57	1.2	0	0
R28YRS	IN041004	4	48	4.5	13500	500
R28YRS	IN041005	1	48	3	12000	1500
R28YRS	IN041005	2	30	1.2	1800	500
R28YRS	IN041005	3	52	1	0	300
R28YRS	IN041005	4	57	1	0	300
R28YRS	IN041005	5	16	.3	0	400
R28YRS	IN041005	6	75	.6	300	200
R28YRS	IN041005	7	53	10	0	2000
R28YRS	IN041005	8	71	.3	0	500
R28YRS	IN041006	1	48	5	15000	0
R28YRS	IN041006	2	53	10	-77	1500
R28YRS	IN041006	3	57	1.2	700	0
R28YRS	IN041006	4	52	1.5	-77	0
R28YRS	IN041006	5	30	.5	800	0
R28YRS	IN041006	6	24	.24	120	0
R28YRS	IN041006	7	75	1.5	1200	0
R28YRS	IN041006	8	30	.5	1500	0
R28YRS	IN041007	1	48	6	18000	0
R28YRS	IN041007	2	37	4	0	0
R28YRS	IN041007	3	30	3	5000	3000
R28YRS	IN041007	4	74	1	2500	1000
R28YRS	IN041007	5	57	.25	0	0
R28YRS	IN041007	6	52	2	0	500
R28YRS	IN041007	7	52	.5	0	500
R28YRS	IN041009	1	53	5	-77	2000
R28YRS	IN041009	2	48	0	-77	1000
R28YRS	IN041009	3	30	.3	-77	0
R28YRS	IN041010	1	53	4.5	0	1000
R28YRS	IN041010	2	30	2.5	0	2000
R28YRS	IN041011	1	53	11	6360	1100
R28YRS	IN041011	2	30	.5	750	200
R28YRS	IN041011	3	37	.6	480	150
R28YRS	IN041011	4	52	.3	150	0
R28YRS	IN041011	5	52	.2	100	0
R28YRS	IN041011	6	57	.5	250	100
R28YRS	IN041012	1	48	-77	-77	-77
R28YRS	IN041012	2	53	7.5	0	1500
R28YRS	IN041012	3	45	-77	1000	500
R28YRS	IN041012	4	24	-77	300	0
R28YRS	IN041012	5	99	.2	200	0
R28YRS	IN041013	1	53	0	0	2000
R28YRS	IN041013	2	48	.5	1500	200
R28YRS	IN041013	3	74	.5	1500	250
R28YRS	IN041013	4	57	.3	0	0
R28YRS	IN041013	5	30	.15	0	0
R28YRS	IN041014	1	57	.6	0	150
R28YRS	IN041014	2	52	.45	0	150
R28YRS	IN041014	3	53	6	0	1500
R28YRS	IN041014	4	30	.6	300	200
R28YRS	IN041014	5	37	.9	0	300
R28YRS	IN041015	1	48	0	0	500
R28YRS	IN041016	1	53	6	0	1000
R28YRS	IN041016	2	45	-77	1800	0
R28YRS	IN041016	3	48	4	15000	0
R28YRS	IN041019	1	30	1.2	0	500
R28YRS	IN041020	1	53	4.5	1080	2000
R28YRS	IN041022	1	74	1.5	3750	1200
R28YRS	IN041022	2	48	.8	2400	800
R28YRS	IN041022	3	30	.2	60	0
R28YRS	IN041022	4	52	.2	20	0
R28YRS	IN041022	5	79	-77	200	100
R28YRS	IN041022	6	53	4.8	1500	2000
R28YRS	IN041023	1	74	7	17500	4000
R28YRS	IN041023	2	48	4	11600	1000
R28YRS	IN041023	3	30	1.5	2000	800
R28YRS	IN041023	4	37	.6	0	0
R28YRS	IN041023	5	57	1.5	0	200
R28YRS	IN041023	6	52	1.2	600	0
R28YRS	IN041023	7	52	1	0	0
R28YRS	IN041023	8	52	.1	0	0
R28YRS	IN041024	1	48	4	11600	1000
R28YRS	IN041024	2	74	3	7500	2000
R28YRS	IN041024	3	30	1	4050	800
R28YRS	IN041025	1	48	2	6400	500
R28YRS	IN041025	2	54	2000	5000	600
R28YRS	IN041025	3	74	1	3000	500
R28YRS	IN041025	4	30	2	2400	200
R28YRS	IN041026	1	74	1.5	4500	2000
R28YRS	IN041026	2	48	1.2	3700	1200
R28YRS	IN041026	3	54	-77	4000	1500
R28YRS	IN041026	4	4	-77	1500	300
R28YRS	IN041026	5	30	.2	300	100
R28YRS	IN041035	1	53	36	8100	5000
R28YRS	IN041039	1	53	21	7500	8000
R28YRS	IN041045	1	53	6	0	5000
R28YRS	IN041046	1	53	4.8	0	350
R28YRS	IN041046	2	48	2	6000	0
R28YRS	IN041047	1	53	6	0	2000
R28YRS	IN041047	2	48	2	4000	0
R28YRS	IN041047	3	30	2.4	4320	1000
R28YRS	IN041048	1	53	15	0	2500
R28YRS	IN041048	2	30	1.2	1000	400
R28YRS	IN041048	3	48	0	0	1300
R28YRS	IN041050	1	53	-77	4000	0
R28YRS	IN051001	1	53	24.3	0	9000
R28YRS	IN051003	1	53	5	0	2200
R28YRS	IN051003	2	30	.2	0	200
R28YRS	IN051004	1	53	6.4	0	5000
R28YRS	IN051005	1	53	20	5000	8000
R28YRS	IN051006	1	53	7	0	2400
R28YRS	IN051006	2	60	.2	300	100
R28YRS	IN051008	1	53	4	0	5000
