FORMNO	CHILDID	PASSID	PASSET	NUMPASS	VALPASS	DECPASS
R28YRS	IN011001	1	8	3	150	1
R28YRS	IN011006	1	15	2	3000	4
R28YRS	IN011007	1	11	1	25000	1
R28YRS	IN011010	1	5	3	21000	2
R28YRS	IN011010	2	4	5	500	2
R28YRS	IN011011	1	15	5	1000	3
R28YRS	IN011015	1	25	0	-88	88
R28YRS	IN011016	1	23	1	1000	1
R28YRS	IN011018	1	1	8	1000	3
R28YRS	IN011018	2	4	1	400	3
R28YRS	IN011019	1	25	1	500	1
R28YRS	IN011021	1	21	1	4000	2
R28YRS	IN011022	1	23	10	6000	88
R28YRS	IN011025	1	30	8	500	1
R28YRS	IN011028	1	30	4	800	80
R28YRS	IN011030	1	11	2	1700	2
R28YRS	IN011031	1	1	4	250	5
R28YRS	IN011032	1	2	1	2000	1
R28YRS	IN011033	1	30	4	2000	1
R28YRS	IN011037	1	15	5	1500	2
R28YRS	IN011042	1	13	15	500	3
R28YRS	IN011043	1	1	30	5000	1
R28YRS	IN011043	2	7	2	400000	1
R28YRS	IN011043	3	3	5	15000	1
R28YRS	IN011046	1	2	0	2500	2
R28YRS	IN011047	1	12	1	300	2
R28YRS	IN011050	1	15	6	2000	1
R28YRS	IN021001	1	1	4	105	1
R28YRS	IN021002	1	1	4	100	1
R28YRS	IN021003	1	1	4	200	2
R28YRS	IN021004	1	1	4	100	80
R28YRS	IN021005	1	1	5	50	1
R28YRS	IN021005	2	1	8	150	1
R28YRS	IN021006	1	1	3	150	1
R28YRS	IN021007	1	1	4	270	1
R28YRS	IN021007	2	4	1	400	1
R28YRS	IN021009	1	1	8	400	80
R28YRS	IN021010	1	1	3	300	1
R28YRS	IN021013	1	1	2	80	1
R28YRS	IN021013	2	2	1	10000	1
R28YRS	IN021013	3	4	1	200	1
R28YRS	IN021014	1	1	4	200	2
R28YRS	IN021015	1	1	2	15	2
R28YRS	IN021016	1	4	4	350	2
R28YRS	IN021017	1	2	1	500	3
R28YRS	IN021017	2	4	1	350	3
R28YRS	IN021019	1	8	2	50	1
R28YRS	IN021020	1	2	3	200	1
R28YRS	IN021021	1	1	5	150	80
R28YRS	IN021022	1	1	4	250	1
R28YRS	IN021023	1	1	4	150	80
R28YRS	IN021024	1	25	1	700	1
R28YRS	IN021026	1	4	1	300	1
R28YRS	IN021026	2	1	2	100	1
R28YRS	IN021029	1	30	1	50	2
R28YRS	IN021030	1	1	2	50	1
R28YRS	IN021030	2	4	1	80	1
R28YRS	IN021031	1	1	4	200	80
R28YRS	IN021031	2	4	1	200	6
R28YRS	IN021032	1	1	3	250	1
R28YRS	IN021033	1	23	4	1000	1
R28YRS	IN021034	1	1	10	500	80
R28YRS	IN021035	1	1	3	150	1
R28YRS	IN021036	1	1	5	350	1
R28YRS	IN021037	1	1	3	100	2
R28YRS	IN021038	1	1	4	150	80
R28YRS	IN021039	1	1	1	400	3
R28YRS	IN021042	1	1	8	300	80
R28YRS	IN021043	1	1	3	100	3
R28YRS	IN021044	1	1	4	120	80
R28YRS	IN021046	1	25	1	10000	1
R28YRS	IN021047	1	1	1	500	1
R28YRS	IN021048	1	1	4	150	1
R28YRS	IN021050	1	1	3	100	80
R28YRS	IN031003	1	2	1	1000	80
R28YRS	IN031004	1	30	0	88	88
R28YRS	IN031007	1	30	-88	2000	90
R28YRS	IN031011	1	22	22	2000	2
R28YRS	IN031011	2	24	1	77	80
R28YRS	IN031015	1	23	2	1500	2
R28YRS	IN031023	1	25	0	-88	88
R28YRS	IN031025	1	17	15	500	1
R28YRS	IN031027	1	17	10	1500	3
R28YRS	IN031028	1	23	3	1000	3
R28YRS	IN031029	1	25	1	5000	1
R28YRS	IN031032	1	23	1	200	3
R28YRS	IN031032	2	2	0	-88	88
R28YRS	IN031035	1	13	5	2500	2
R28YRS	IN031036	1	1	1	800	80
R28YRS	IN031038	1	30	2	15000	5
R28YRS	IN031039	1	21	1	2500	1
R28YRS	IN031042	1	30	10	-88	2
R28YRS	IN031043	1	7	1	200000	1
R28YRS	IN031043	2	5	1	10000	1
R28YRS	IN031043	3	2	1	7000	1
R28YRS	IN031043	4	3	1	600	1
R28YRS	IN031048	1	21	1	1200	1
R28YRS	IN031050	1	23	10	4000	1
R28YRS	IN041001	1	1	5	200	80
R28YRS	IN041002	1	1	4	700	1
R28YRS	IN041003	1	1	3	20	1
R28YRS	IN041004	1	23	5	500	8
R28YRS	IN041005	1	4	1	200	1
R28YRS	IN041005	2	1	5	150	80
R28YRS	IN041006	1	4	1	150	1
R28YRS	IN041006	2	1	6	150	1
R28YRS	IN041007	1	8	-77	0	2
R28YRS	IN041009	1	1	4	200	1
R28YRS	IN041009	2	4	1	100	1
R28YRS	IN041010	1	1	4	150	1
R28YRS	IN041011	1	1	5	400	1
R28YRS	IN041011	2	4	2	200	1
R28YRS	IN041012	1	1	5	200	80
R28YRS	IN041013	1	1	6	200	2
R28YRS	IN041014	1	1	6	200	80
R28YRS	IN041014	2	4	1	150	1
R28YRS	IN041016	1	4	1	100	1
R28YRS	IN041019	1	1	4	200	1
R28YRS	IN041020	1	1	4	150	3
R28YRS	IN041021	1	1	5	300	1
R28YRS	IN041022	1	1	6	200	80
R28YRS	IN041022	2	4	2	300	1
R28YRS	IN041023	1	30	9	180	1
R28YRS	IN041024	1	30	6	200	1
R28YRS	IN041025	1	1	5	300	2
R28YRS	IN041025	2	4	2	300	2
R28YRS	IN041026	1	1	6	200	80
R28YRS	IN041033	1	1	2	50	2
R28YRS	IN041034	1	25	1	25000	1
R28YRS	IN041035	1	25	1	500	1
R28YRS	IN041035	2	23	3	500	1
R28YRS	IN041036	1	21	1	1000	1
R28YRS	IN041037	1	23	3	300	1
R28YRS	IN041039	1	1	4	50	1
R28YRS	IN041040	1	23	3	1100	1
R28YRS	IN041041	1	21	1	1000	6
R28YRS	IN041042	1	25	1	20000	1
R28YRS	IN041044	1	25	1	500	1
R28YRS	IN041045	1	1	12	300	2
R28YRS	IN041045	2	4	1	30	2
R28YRS	IN041046	26	 	 	 	 
R28YRS	IN041047	1	1	6	200	3
R28YRS	IN041047	2	4	1	50	3
R28YRS	IN041048	1	1	5	300	1
R28YRS	IN041049	1	21	1	2000	1
R28YRS	IN041050	1	22	15	5000	1
R28YRS	IN051001	1	1	9	500	80
R28YRS	IN051001	2	4	1	200	80
R28YRS	IN051002	1	1	3	150	1
R28YRS	IN051003	1	1	5	600	1
R28YRS	IN051004	1	23	2	1000	1
R28YRS	IN051005	1	13	4	2000	1
R28YRS	IN051009	1	1	8	300	1
R28YRS	IN051010	1	23	2	500	1
R28YRS	IN051011	1	23	12	1000	4
R28YRS	IN051011	2	30	1	2000	4
R28YRS	IN051012	1	1	9	500	1
R28YRS	IN051012	2	2	1	200	1
R28YRS	IN051013	1	1	10	500	80
R28YRS	IN051014	1	23	1	100	1
R28YRS	IN051016	1	1	2	60	3
R28YRS	IN051017	1	12	3	1100	3
R28YRS	IN051018	1	23	8	900	3
R28YRS	IN051020	1	1	3	90	1
R28YRS	IN051021	1	1	6	200	80
R28YRS	IN051022	1	1	4	150	80
R28YRS	IN051023	1	12	2	400	1
R28YRS	IN051023	2	 	 	 	 
R28YRS	IN051025	1	1	2	50	1
R28YRS	IN051026	1	1	8	1500	2
R28YRS	IN051027	1	13	10	800	1
R28YRS	IN051029	1	1	2	80	80
R28YRS	IN051030	1	1	3	80	80
R28YRS	IN051031	1	1	5	200	2
R28YRS	IN051035	1	13	12	800	1
R28YRS	IN051036	1	1	6	400	2
R28YRS	IN051036	2	3	1	700	2
R28YRS	IN051037	1	1	4	100	3
R28YRS	IN051040	1	1	2	50	80
R28YRS	IN051044	1	23	5	1500	80
R28YRS	IN051048	1	4	2	300	80
R28YRS	IN051048	2	1	8	400	80
R28YRS	IN051049	1	25	1	20000	4
R28YRS	IN061001	1	3	1	3000	8
R28YRS	IN061001	2	4	1	200	8
R28YRS	IN061001	3	5	1	1000	8
R28YRS	IN061002	1	1	5	1000	1
R28YRS	IN061002	2	3	1	2000	1
R28YRS	IN061003	1	1	4	1500	1
R28YRS	IN061004	1	1	7	600	2
R28YRS	IN061006	1	5	1	8000	2
R28YRS	IN061006	2	1	5	500	2
R28YRS	IN061007	1	5	1	150	80
R28YRS	IN061007	2	1	14	430	80
R28YRS	IN061008	1	12	5	2000	2
R28YRS	IN061008	2	2	1	1200	2
R28YRS	IN061009	1	4	1	150	80
R28YRS	IN061009	2	1	10	300	80
R28YRS	IN061010	1	30	5	5000	31
R28YRS	IN061011	1	1	3	150	80
R28YRS	IN061013	1	1	4	120	180
R28YRS	IN061015	1	4	2	500	80
R28YRS	IN061015	2	1	10	500	80
R28YRS	IN061016	1	1	6	500	80
R28YRS	IN061017	1	1	5	1000	1
R28YRS	IN061017	2	2	1	10000	1
R28YRS	IN061017	3	4	1	1000	1
R28YRS	IN061018	1	1	8	1000	2
R28YRS	IN061019	1	1	5	1000	3
R28YRS	IN061019	2	2	1	7000	3
R28YRS	IN061020	1	23	1	250	1
R28YRS	IN061021	1	1	4	800	1
R28YRS	IN061023	1	1	3	100	1
R28YRS	IN061024	1	30	6	340	1
R28YRS	IN061025	1	1	6	300	80
R28YRS	IN061027	1	1	3	50	80
R28YRS	IN061030	1	4	1	100	2
R28YRS	IN061030	2	1	10	300	2
R28YRS	IN061031	1	11	7	650	80
R28YRS	IN061032	1	1	6	400	1
R28YRS	IN061032	2	1	1	200	1
R28YRS	IN061033	1	23	8	1100	2
R28YRS	IN061034	1	11	3	300	1
R28YRS	IN061035	1	4	2	500	80
R28YRS	IN061035	2	5	1	6000	80
R28YRS	IN061035	3	3	1	500	80
R28YRS	IN061037	1	23	4	200	1
R28YRS	IN061038	1	5	1	6000	3
R28YRS	IN061038	2	3	1	400	4
R28YRS	IN061038	3	8	10	1500	4
R28YRS	IN061039	1	13	8	1000	1
R28YRS	IN061040	1	25	2	3000	1
R28YRS	IN061041	1	1	8	350	80
R28YRS	IN061041	2	1	4	250	80
R28YRS	IN061042	1	23	2	3000	1
R28YRS	IN061043	1	1	3	200	1
R28YRS	IN061043	2	8	5	200	1
R28YRS	IN061046	1	13	5	500	2
R28YRS	IN061047	1	30	4	250	1
R28YRS	IN061049	1	1	2	200	1
R28YRS	IN061050	1	1	5	500	80
R28YRS	IN071001	1	1	4	150	80
R28YRS	IN071002	1	15	2	60	80
R28YRS	IN071004	1	1	3	150	80
R28YRS	IN071005	1	1	4	200	2
R28YRS	IN071005	2	1	4	200	2
R28YRS	IN071006	1	1	5	400	80
R28YRS	IN071007	1	11	4	400	1
R28YRS	IN071008	1	23	5	400	80
R28YRS	IN071009	1	23	3	2000	1
R28YRS	IN071011	1	3	1	150	1
R28YRS	IN071011	2	23	8	500	1
R28YRS	IN071011	3	30	16	2500	1
R28YRS	IN071012	1	1	10	600	1
R28YRS	IN071012	2	4	1	200	1
R28YRS	IN071013	1	1	8	500	80
R28YRS	IN071014	1	4	1	200	1
R28YRS	IN071014	2	1	6	300	1
R28YRS	IN071015	1	1	6	300	2
R28YRS	IN071015	2	4	1	200	2
R28YRS	IN071016	1	1	4	200	1
R28YRS	IN071016	2	4	1	200	1
R28YRS	IN071016	3	3	1	2000	1
R28YRS	IN071018	1	1	2	100	1
R28YRS	IN071019	1	1	2	150	80
R28YRS	IN071020	1	4	2	120	1
R28YRS	IN071020	2	1	8	200	1
R28YRS	IN071021	1	1	6	300	80
R28YRS	IN071022	1	1	4	200	1
R28YRS	IN071023	1	23	9	3000	1
R28YRS	IN071025	1	1	6	250	1
R28YRS	IN071026	1	1	5	300	80
R28YRS	IN071029	1	1	2	50	2
R28YRS	IN071031	1	5	1	15000	3
R28YRS	IN071031	2	1	6	200	3
R28YRS	IN071033	1	1	4	300	1
R28YRS	IN071033	2	3	1	1000	1
R28YRS	IN071034	1	4	2	250	2
R28YRS	IN071034	2	1	8	400	2
R28YRS	IN071035	1	4	1	120	3
R28YRS	IN071035	2	1	10	300	1
R28YRS	IN071036	1	1	2	50	1
R28YRS	IN071037	1	1	6	350	80
R28YRS	IN071038	1	4	2	600	80
R28YRS	IN071038	2	1	8	500	80
R28YRS	IN071039	1	1	4	75	1
R28YRS	IN071040	1	2	1	3500	80
R28YRS	IN071040	2	15	10	4000	80
R28YRS	IN071043	1	1	3	150	3
R28YRS	IN071044	1	25	1	20000	80
R28YRS	IN071045	1	30	2	60	80
R28YRS	IN071046	1	13	7	400	80
R28YRS	IN071047	1	30	1	2000	1
R28YRS	IN071047	2	23	4	900	1
R28YRS	IN081003	1	1	2	100	1
R28YRS	IN081008	1	1	10	200	1
R28YRS	IN081008	2	4	1	200	1
R28YRS	IN081012	1	1	2	500	1
R28YRS	IN081012	2	1	10	100	1
R28YRS	IN081013	1	1	3	30	1
R28YRS	IN081015	1	12	4	350	1
R28YRS	IN081015	2	2	1	15000	1
R28YRS	IN081017	1	1	3	10	1
R28YRS	IN081018	1	30	4	400	2
R28YRS	IN081019	1	12	2	200	80
R28YRS	IN081019	2	2	1	17000	80
R28YRS	IN081021	1	1	6	400	1
R28YRS	IN081022	1	12	4	400	1
R28YRS	IN081022	2	2	1	16000	1
R28YRS	IN081023	1	1	3	300	80
R28YRS	IN081025	1	8	10	150	1
R28YRS	IN081026	1	1	4	200	80
R28YRS	IN081027	1	1	4	500	1
R28YRS	IN081028	1	30	10	150	1
R28YRS	IN081030	1	1	4	170	80
R28YRS	IN081031	1	1	4	200	1
R28YRS	IN081032	1	2	1	15000	1
R28YRS	IN081032	2	4	2	2000	1
R28YRS	IN081032	3	3	1	3000	1
R28YRS	IN081033	1	1	4	150	1
R28YRS	IN081034	1	1	15	700	2
R28YRS	IN081034	2	4	2	600	2
R28YRS	IN081035	1	1	4	500	2
R28YRS	IN081036	1	1	6	200	3
R28YRS	IN081038	1	1	15	5000	1
R28YRS	IN081039	1	1	3	400	80
R28YRS	IN081040	1	1	10	200	2
R28YRS	IN081041	1	1	8	150	1
R28YRS	IN081042	1	1	4	160	1
R28YRS	IN081043	1	1	8	250	1
R28YRS	IN081045	1	25	2	600000	1
R28YRS	IN081046	1	1	4	20	1
R28YRS	IN081048	1	30	2	2400	2
R28YRS	IN091001	1	1	6	380	1
R28YRS	IN091002	1	5	1	4500	1
R28YRS	IN091002	2	1	5	100	1
R28YRS	IN091004	1	1	4	150	1
R28YRS	IN091004	2	5	1	8000	1
R28YRS	IN091005	1	1	5	65	1
R28YRS	IN091006	1	5	4	60	1
R28YRS	IN091007	1	1	4	150	1
R28YRS	IN091008	1	1	4	100	1
R28YRS	IN091009	1	1	3	60	1
R28YRS	IN091010	1	4	1	1500	80
R28YRS	IN091010	2	1	10	700	88
R28YRS	IN091010	3	7	0	-88	88
R28YRS	IN091011	1	1	4	100	1
R28YRS	IN091012	1	8	3	50	1
R28YRS	IN091013	1	1	10	600	5
R28YRS	IN091014	1	1	5	250	80
R28YRS	IN091015	1	1	5	250	1
