childid	workid	workact	workpay	payname	rankpay
PE018003	1	18	1	0	1
PE018004	1	2	1	0	1
PE018005	1	4	1	2	1
PE018032	1	4	1	1	1
PE018038	1	4	1	2	1
PE018039	1	4	1	0	1
PE018039	2	1	1	2	1
PE018045	1	2	1	0	1
PE018048	1	3	1	1	1
PE018048	2	14	1	1	 
PE028001	1	17	1	1	1
PE028007	1	17	1	1	1
PE028010	1	2	1	2	1
PE028010	2	4	1	1	 
PE028011	1	2	2	2	1
PE028012	1	1	1	2	1
PE028013	1	2	1	2	1
PE028018	1	2	1	0	1
PE028022	1	18	1	2	1
PE038009	1	17	2	2	1
PE038010	1	1	1	2	 
PE038010	2	17	1	2	1
PE038014	1	16	1	2	 
PE038014	2	17	1	2	1
PE038014	3	4	1	2	 
PE038016	1	1	1	2	1
PE038023	1	4	1	1	 
PE048001	1	4	1	2	1
PE048002	1	14	1	2	 
PE048002	2	2	1	2	1
PE048008	1	18	1	1	1
PE048012	1	1	1	1	1
PE048015	1	17	1	1	1
PE048025	1	4	1	1	 
PE048025	2	18	1	0	1
PE048025	3	18	1	0	 
PE048025	4	18	2	1	 
PE058004	1	1	1	2	1
PE058006	1	1	1	2	1
PE058008	1	1	1	0	1
PE058011	1	1	2	0	1
PE058012	1	15	1	2	1
PE058013	1	18	1	2	 
PE058013	2	16	2	1	1
PE058014	1	1	1	1	1
PE058015	1	1	1	0	1
PE058016	1	5	1	1	1
PE058019	1	4	1	1	1
PE058019	2	18	2	2	 
PE058021	1	1	1	1	1
PE058027	1	1	1	2	1
PE068008	1	17	3	2	1
PE068012	1	4	1	1	1
PE068017	1	2	1	1	1
PE068020	1	4	1	0	1
PE068023	1	4	1	1	1
PE068024	1	4	1	2	1
PE078001	1	4	1	1	1
PE078005	1	3	2	2	1
PE078010	1	5	1	1	1
PE078036	1	5	1	2	1
PE078049	1	4	1	2	1
PE078052	1	2	1	1	1
PE088004	1	5	1	2	1
PE088004	2	5	1	2	1
PE088011	1	17	1	1	1
PE088029	1	5	1	1	1
PE088032	1	4	1	2	1
PE088032	2	5	1	0	1
PE098006	1	2	2	0	 
PE098006	2	1	2	0	1
PE098013	1	18	1	2	1
PE098016	1	1	1	0	 
PE098016	2	1	1	0	1
PE098019	1	1	1	0	 
PE098019	2	17	1	0	1
PE098019	3	13	1	0	 
PE098019	4	5	1	0	 
PE098020	1	4	1	2	1
PE098022	1	1	1	2	1
PE098022	2	1	3	0	 
PE098022	3	1	1	2	 
PE098022	4	1	1	2	 
PE098024	1	1	1	0	 
PE098024	2	1	1	0	1
PE098025	1	1	1	1	1
PE098027	1	1	1	1	1
PE098028	1	1	1	1	1
PE108004	1	5	1	2	1
PE108008	1	4	1	2	1
PE108008	2	17	1	2	1
PE118003	1	1	1	2	1
PE118003	2	2	1	2	 
PE118003	3	2	1	0	 
PE118003	4	17	2	0	 
PE118004	1	4	1	0	1
PE118007	1	1	1	1	1
PE118008	1	17	1	0	1
PE118008	2	1	2	1	1
PE118011	1	2	1	1	1
PE118011	2	17	1	1	 
PE118013	1	1	1	1	1
PE118014	1	1	1	0	1
PE118015	1	17	1	0	1
PE118015	2	1	1	2	 
PE118015	3	1	2	0	 
PE118017	1	1	1	0	1
PE118017	2	1	1	0	1
PE118021	1	1	1	2	1
PE118022	1	1	1	1	1
PE118022	2	15	1	1	 
PE118022	3	17	1	1	 
PE118022	4	14	1	1	 
PE118022	5	1	2	2	 
PE118029	1	17	1	1	1
PE118030	1	1	3	2	1
PE128004	1	4	1	2	1
PE128008	1	12	2	1	1
PE128011	1	3	1	1	1
PE128016	1	4	2	2	1
PE128019	1	4	1	1	1
PE128022	1	4	1	0	1
PE128022	2	4	1	2	 
PE128027	1	5	1	1	1
PE128029	1	4	1	2	1
PE128038	1	4	1	1	1
PE128039	1	5	1	0	1
PE128046	1	4	1	0	1
PE128046	2	2	1	1	 
PE128050	1	5	1	1	1
PE138009	1	12	1	2	1
PE138009	2	14	2	1	1
PE138011	1	5	1	1	1
PE138020	1	5	1	2	 
PE138020	2	4	1	2	1
PE138020	3	5	1	2	 
PE138021	1	4	1	2	1
PE138024	1	14	1	1	1
PE138025	1	5	1	1	1
PE138026	1	4	1	1	1
PE138034	1	4	1	2	 
PE138034	2	17	1	2	1
PE138038	1	2	1	2	1
PE138039	1	1	1	0	1
PE138046	1	2	1	1	1
PE138052	1	2	1	2	1
PE138053	1	5	2	1	1
PE148004	1	17	1	2	 
PE148004	2	2	1	1	1
PE148011	1	2	3	1	1
PE148013	1	5	3	2	 
PE148013	2	4	1	2	1
PE148013	3	1	1	2	 
PE148015	1	17	1	1	1
PE148016	1	2	1	1	1
PE148017	1	5	1	2	1
PE148018	1	5	1	2	1
PE148021	1	5	1	2	1
