childid	cropid	crop	qntharv
PE018003	1	53	150
PE018003	2	4	96000
PE018012	1	53	140
PE018016	1	4	1560
PE028003	1	53	400
PE028007	1	4	240
PE028007	2	89	4
PE028007	3	44	2
PE028008	1	4	5000
PE028009	1	4	3600
PE028009	2	44	20
PE028011	1	4	1600
PE028012	1	4	144
PE028013	1	4	1080
PE028015	1	4	1440
PE028016	1	4	4692
PE028017	1	4	1200
PE028017	2	53	160
PE028018	1	4	36
PE028020	1	4	2500
PE028021	1	53	1180
PE028022	1	53	58
PE028023	1	53	400
PE028024	1	53	800
PE028025	1	53	10
PE028025	2	69	1
PE028025	3	89	10
PE038001	1	44	2
PE038001	2	55	1
PE038002	1	44	20
PE038002	2	75	20
PE038002	3	55	60
PE038002	4	99	2
PE038002	5	101	1
PE038002	6	12	1
PE038002	7	69	1
PE038003	1	55	10
PE038003	2	44	4
PE038003	3	75	4
PE038004	1	44	8
PE038004	2	75	9
PE038004	3	55	8
PE038004	4	89	5
PE038006	1	44	5
PE038006	2	75	12
PE038006	3	99	1
PE038006	4	55	10
PE038006	5	26	1
PE038007	1	44	500
PE038007	2	53	500
PE038008	1	44	12
PE038008	2	75	2
PE038008	3	99	5
PE038008	4	89	3
PE038009	1	44	6
PE038009	2	99	1
PE038009	3	89	1
PE038011	1	75	5
PE038011	2	44	7
PE038012	1	44	6
PE038015	1	44	3
PE038015	2	99	1
PE038015	3	55	7
PE038015	4	89	7
PE038015	5	56	20
PE038015	6	12	2
PE038015	7	69	1
PE038016	1	44	3
PE038016	2	75	3
PE038016	3	89	2
PE038017	1	44	2
PE038019	1	75	5
PE038019	2	99	3
PE038019	3	44	8
PE038019	4	96	10
PE038019	5	86	5
PE038019	6	69	10
PE038019	7	12	4
PE038020	1	44	4
PE038020	2	75	10
PE038020	3	69	10
PE038020	4	96	8
PE038020	5	67	3
PE038021	1	99	8
PE038021	2	96	30
PE038021	3	86	4
PE038021	4	55	20
PE038021	5	44	2
PE038021	6	102	6
PE038021	7	108	3
