childid	foodid	foodcode	foodnum	foodamt	foodcost
PE018003	1	10	96	5	.699999988079071
PE018004	1	10	360	2	.200000002980232
PE018004	2	10	40	5	.800000011920929
PE018005	1	1	12	1	2.20000004768372
PE018005	2	8	12	2	2
PE018007	1	10	140	2	.5
PE018010	1	10	210	1	1
PE018011	1	10	160	1	.5
PE018011	2	9	160	1	.200000002980232
PE018012	1	10	200	1	.5
PE018012	2	9	140	1	.200000002980232
PE018013	1	10	196	2	.200000002980232
PE018013	2	9	160	1	.100000001490116
PE018016	1	1	240	3	.5
PE018017	1	10	180	1	.5
PE018018	1	1	160	1	2
PE018018	2	9	140	1	1
PE018019	1	1	360	2	.5
PE018019	2	9	200	1	.100000001490116
PE018019	3	8	1	2	2
PE018019	4	6	1	1	2
PE018019	5	5	1	1	1
PE018019	6	15	1	1	2
PE018019	7	10	200	1	1.5
PE018020	1	10	336	3	1
PE018020	2	9	160	1	1
PE018022	1	9	200	2	.200000002980232
PE018026	1	10	160	1	.800000011920929
PE018028	1	10	198	1	1
PE018029	1	10	210	2	1
PE018031	1	1	160	3	.5
PE018031	2	9	160	3	.100000001490116
PE018035	1	10	190	1	2
PE018035	2	9	190	1	.100000001490116
PE018038	1	1	12	1	2
PE018038	2	3	12	2	1
PE018039	1	10	288	2	.5
PE018039	2	1	96	2	2
PE018040	1	10	200	1	.5
PE018044	1	10	240	1	2
PE018044	2	9	180	1	.200000002980232
PE018046	1	10	210	1	.5
PE018047	1	10	20	1	1
PE028006	1	1	12	5	2
PE028007	1	10	288	1	1
PE028008	1	10	180	1	1
PE028011	1	10	12	.5	.5
PE028014	1	10	330	2	1
PE028014	2	1	1	6	2.20000004768372
PE028014	3	8	1	1	2
PE028014	4	5	1	1	3
PE028014	5	8	1	2	1.5
PE028014	6	11	1	250	.5
PE028014	7	6	1	1	1.60000002384186
PE028016	1	1	300	1	.5
PE028017	1	1	4	6	2.20000004768372
PE028020	1	1	12	2	2.20000004768372
PE028020	2	3	12	1	1.20000004768372
PE028022	1	1	3	3	2.29999995231628
PE028022	2	8	3	1	1.5
PE028022	3	10	120	1	.5
PE028022	4	5	1	1	3.5
PE028022	5	11	1	500	1.10000002384186
PE028022	6	15	1	500	.800000011920929
PE028022	7	6	1	500	1.20000004768372
PE028023	1	1	4	4	2.20000004768372
PE038001	1	1	2	5	10
PE038001	2	3	2	2	1
