childid	grpid	group	idgrp	yearmem	bengrp1	bengrp2	frqatten	leadmem	yearlead	parepost	whyjoin	inflnce
PE018003	1	23	2	2006	13	5	2	1	2007	0	16	0
PE018003	2	32	1	2006	6	 	2	0	 	 	 	 
PE018006	1	18	4	1958	8	 	1	0	 	 	 	 
PE018008	1	22	1	1990	5	 	2	1	1990	0	17	0
PE018009	1	7	2	2006	11	11	2	0	 	 	 	 
PE018012	1	23	2	2006	6	 	3	1	2006	0	3	3
PE018012	2	7	2	2006	4	 	3	1	2006	0	6	2
PE018013	1	23	2	2001	6	 	3	1	2001	0	2	3
PE018015	1	22	1	2006	4	 	1	1	2006	0	6	3
PE018023	1	18	2	2006	8	 	2	0	 	 	 	 
PE018026	1	31	2	2006	6	 	3	1	2006	0	15	3
PE018026	2	23	2	2007	13	 	3	1	2007	0	8	3
PE018028	1	23	2	2004	6	 	1	1	2004	0	9	3
PE018040	1	23	6	1994	5	 	7	1	2007	0	7	3
PE018042	1	7	2	2007	4	7	2	1	2007	0	6	3
PE018043	1	20	1	2006	5	 	3	1	2006	0	6	3
PE018043	2	20	1	1982	11	 	2	1	2007	0	16	3
PE018043	3	6	2	2004	5	 	2	0	 	 	 	 
PE018043	4	6	7	2004	5	 	2	0	 	 	 	 
PE018046	1	5	1	2003	12	 	2	0	 	 	 	 
PE018047	1	22	1	2004	3	4	3	1	2007	0	15	3
PE028001	1	32	1	2007	6	 	2	0	 	 	 	 
PE028002	1	31	1	2007	6	 	2	0	 	 	 	 
PE028003	1	4	2	2005	6	 	2	1	2005	0	1	2
PE028007	1	23	2	2006	6	 	7	1	2006	1	7	2
PE028013	1	32	1	2006	6	 	3	0	 	 	 	 
PE028013	2	7	1	2007	2	 	7	1	2007	0	16	2
PE028016	1	5	1	2005	1	 	1	0	 	 	 	 
PE028018	1	23	2	2004	6	 	3	0	 	 	 	 
PE028020	1	20	1	2006	7	 	3	1	2007	0	2	2
PE028020	2	23	2	2003	11	 	3	1	2007	0	2	2
