childid	posid	id	posheld	posfirst	posyears	postill	posrel	posout	poseffec
PE018009	1	1	8	2001	5	1	1	8	3
PE038006	1	2	18	2004	2	1	0	10	3
PE038008	1	1	23	1998	8	1	1	7	3
PE048001	1	1	22	2005	1	1	0	6	3
PE048025	1	1	27	2006	1	1	0	16	3
PE058022	1	1	18	2006	0	0	0	1	2
PE058028	1	2	18	2005	1	0	0	17	2
PE088013	1	4	18	1997	10	1	1	9	3
PE088027	1	2	18	2000	7	1	0	6	3
PE088027	2	2	18	2004	2	1	0	17	3
PE098023	1	1	18	2004	3	1	0	 	2
PE108003	1	4	24	2004	3	1	0	4	2
PE108007	1	2	22	1992	6	0	0	7	3
PE118011	1	1	22	2006	0	1	0	4	2
PE118030	1	1	20	2003	4	1	1	8	3
PE138020	1	1	22	2006	1	1	0	16	2
PE138026	1	2	18	2007	0	1	0	17	0
PE138032	1	2	22	2007	0	1	0	9	3
PE148008	1	1	22	2005	2	1	1	2	0
PE148028	1	5	22	2004	3	1	0	2	0
PE148034	1	1	22	2007	0	1	0	1	3
PE148049	1	1	22	2007	0	1	0	17	0
PE158013	1	1	24	2006	1	1	0	10	3
PE158014	1	1	22	2001	5	1	1	10	0
PE158031	1	1	18	2006	0	1	0	1	0
PE158033	1	6	8	2005	1	1	1	10	2
PE158042	1	1	25	2006	1	0	0	2	2
PE158049	1	1	22	2006	0	1	0	17	3
PE158049	2	1	25	1993	2	0	0	17	3
PE168001	12	1	18	1995	11	1	0	10	3
PE168002	1	1	22	2006	0	1	0	2	0
PE168011	1	1	18	2005	1	1	0	1	0
PE168020	1	1	27	2003	3	1	0	17	3
PE178003	1	1	21	2007	0	1	1	1	2
PE178006	1	1	18	2006	0	1	0	7	0
PE178029	1	1	24	2007	0	1	0	7	0
PE178031	1	3	22	2007	0	1	0	1	0
PE188007	1	1	18	2005	1	1	0	9	2
PE188025	1	1	18	2006	0	1	0	1	0
PE188026	1	1	21	2005	1	1	0	17	2
PE198027	1	2	18	2005	2	1	0	1	0
PE208028	1	1	13	1995	12	1	0	8	3
